"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1977"	"1977 Canadian F1 GP"	"March"	"21"	"DNF"	"Engine"
"1977"	"1977 USA F1 GP"	"March"	"24"	"18"	""
"1977"	"1977 Italian F1 GP"	"March"	"24"	"7"	""
"1977"	"1977 Dutch F1 GP"	"March"	"0"	"DNQ"	"No Time"
"1977"	"1977 Austrian F1 GP"	"March"	"22"	"9"	""
"1977"	"1977 German F1 GP"	"March"	"0"	"DNQ"	"No Time"
"1977"	"1977 British F1 GP"	"March"	"26"	"10"	""
"1977"	"1977 French F1 GP"	"March"	"0"	"DNQ"	"No Time"
"1977"	"1977 Swedish F1 GP"	"March"	"20"	"15"	""
"1977"	"1977 Belgian F1 GP"	"March"	"24"	"10"	""
"1977"	"1977 Spanish F1 GP"	"March"	"22"	"12"	""
"1976"	"1976 French F1 GP"	"Ensign"	"26"	"18"	""
"1976"	"1976 Belgian F1 GP"	"Brabham"	"19"	"DNF"	"Halfshaft"
