"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1994"	"1994 Australian F1 GP"	"Pacific"	"0"	"DNQ"	"No Time"
"1994"	"1994 Japanese F1 GP"	"Pacific"	"0"	"DNQ"	"No Time"
"1994"	"1994 European F1 GP"	"Pacific"	"0"	"DNQ"	"No Time"
"1994"	"1994 Portuguese F1 GP"	"Pacific"	"0"	"DNQ"	"No Time"
"1994"	"1994 Italian F1 GP"	"Pacific"	"0"	"DNQ"	"No Time"
"1994"	"1994 Belgian F1 GP"	"Pacific"	"0"	"DNQ"	"No Time"
"1994"	"1994 Hungarian F1 GP"	"Pacific"	"0"	"DNQ"	"No Time"
"1994"	"1994 German F1 GP"	"Pacific"	"0"	"DNQ"	"No Time"
"1994"	"1994 British F1 GP"	"Pacific"	"0"	"DNQ"	"No Time"
"1994"	"1994 French F1 GP"	"Pacific"	"0"	"DNQ"	"No Time"
"1994"	"1994 Canadian F1 GP"	"Pacific"	"0"	"DNQ"	"No Time"
"1994"	"1994 Spanish F1 GP"	"Pacific"	"26"	"DNF"	"Spun off"
"1994"	"1994 Monaco F1 GP"	"Pacific"	"24"	"DNF"	"Physical"
"1994"	"1994 San Marino F1 GP"	"Pacific"	"0"	"DNQ"	"No Time"
"1994"	"1994 Pacific F1 GP"	"Pacific"	"0"	"DNQ"	"No Time"
"1994"	"1994 Brazilian F1 GP"	"Pacific"	"28"	"DNQ"	"No Time"
"1992"	"1992 Hungarian F1 GP"	"March"	"17"	"9"	""
"1992"	"1992 German F1 GP"	"March"	"22"	"13"	""
"1992"	"1992 British F1 GP"	"March"	"0"	"DNQ"	"No Time"
"1992"	"1992 French F1 GP"	"March"	"0"	"DNQ"	"No Time"
"1992"	"1992 Canadian F1 GP"	"March"	"20"	"14"	""
"1992"	"1992 Monaco F1 GP"	"March"	"0"	"DNQ"	"No Time"
"1992"	"San Marino Grand Prix"	"March"	"24"	"13"	""
"1992"	"1992 Spanish F1 GP"	"March"	"23"	"12"	""
"1992"	"1992 Brazilian F1 GP"	"March"	"0"	"DNQ"	"No Time"
"1992"	"1992 Mexican F1 GP"	"March"	"0"	"DNQ"	"No Time"
"1992"	"1992 South African F1 GP"	"March"	"0"	"DNQ"	"No Time"
