"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1956"	"1956 Belgian F1 GP"	"Ferrari"	"8"	"2"	""
"1955"	"1955 Belgian F1 GP"	"Ferrari"	"8"	"4"	""
"1955"	"1955 Monaco F1 GP"	"Ferrari"	"15"	"8"	""
"1954"	"1954 German F1 GP"	"Gordini"	"4"	"DNF"	"Wheel"
"1954"	"1954 French F1 GP"	"Gordini"	"19"	"DNF"	"Axle"
"1954"	"1954 Belgian F1 GP"	"Gordini"	"10"	"DNF"	"Engine"
"1953"	"1953 Swiss F1 GP"	"HWM"	"16"	"DNF"	"Engine"
"1953"	"1953 Belgian F1 GP"	"HWM"	"11"	"10"	""
"1952"	"1952 Dutch F1 GP"	"Simca"	"11"	"DNF"	"Clutch"
"1952"	"1952 German F1 GP"	"HWM"	"13"	"DNF"	"Gearbox"
"1952"	"1952 Belgian F1 GP"	"HWM"	"8"	"5"	""
"1956"	"1956 Belgian F1 GP"	"Ferrari"	"8"	"2"	""
