"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1959"	"1959 Indianapolis 500"	"Kurtis Kraft"	"27"	"9"	""
"1958"	"1958 Indianapolis 500"	"Kurtis Kraft"	"14"	"18"	"Throttle"
"1957"	"1957 Indianapolis 500"	"Kurtis Kraft"	"10"	"4"	""
"1956"	"1956 Indianapolis 500"	"Kurtis Kraft"	"8"	"33"	"Accident"
"1955"	"1955 Indianapolis 500"	"Kurtis Kraft"	"2"	"2"	""
"1954"	"1954 Indianapolis 500"	"Kurtis Kraft"	"32"	"8"	""
"1953"	"1953 Indianapolis 500"	"Kurtis Kraft"	"2"	"4"	""
"1953"	"1953 Indianapolis 500"	"Kurtis Kraft"	"17"	"25"	"Magneto"
"1950"	"1950 Indianapolis 500"	"Nichels"	"19"	"9"	""
"1955"	"1955 Indianapolis 500"	"Kurtis Kraft"	"2"	"2"	""
