"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"2017"	"2017 Hungarian F1 GP"	"Williams"	"19"	"DNF"	"Oil leak"
"2013"	"2013 Brazilian F1 GP"	"Force India"	"12"	"11"	""
"2013"	"2013 USA F1 GP"	"Force India"	"11"	"15"	""
"2013"	"2013 Abu Dhabi F1 GP"	"Force India"	"11"	"6"	""
"2013"	"2013 Indian F1 GP"	"Force India"	"12"	"8"	""
"2013"	"2013 Japanese F1 GP"	"Force India"	"12"	"11"	""
"2013"	"2013 Korean F1 GP"	"Force India"	"15"	"DNF"	"Spun off"
"2013"	"2013 Singapore F1 GP"	"Force India"	"17"	"20"	""
"2013"	"2013 Italian F1 GP"	"Force India"	"15"	"DNF"	"Collision"
"2013"	"2013 Belgian F1 GP"	"Force India"	"5"	"DNF"	"Accident"
"2013"	"2013 Hungarian F1 GP"	"Force India"	"18"	"18"	""
"2013"	"2013 German F1 GP"	"Force India"	"12"	"11"	""
"2013"	"2013 British F1 GP"	"Force India"	"22"	"9"	""
"2013"	"2013 Canadian F1 GP"	"Force India"	"17"	"7"	""
"2013"	"2013 Monaco F1 GP"	"Force India"	"17"	"9"	""
"2013"	"2013 Spanish F1 GP"	"Force India"	"10"	"7"	""
"2013"	"2013 Bahrain F1 GP"	"Force India"	"5"	"4"	""
"2013"	"2013 Chinese F1 GP"	"Force India"	"11"	"8"	""
"2013"	"2013 Malaysian F1 GP"	"Force India"	"15"	"DNF"	"Wheel nut"
"2013"	"2013 Australian F1 GP"	"Force India"	"9"	"8"	""
"2012"	"2012 Brazilian F1 GP"	"Force India"	"10"	"19"	""
"2012"	"2012 USA F1 GP"	"Force India"	"13"	"15"	""
"2012"	"2012 Abu Dhabi F1 GP"	"Force India"	"12"	"9"	""
"2012"	"2012 Indian F1 GP"	"Force India"	"16"	"12"	""
"2012"	"2012 Korean F1 GP"	"Force India"	"14"	"12"	""
"2012"	"2012 Japanese F1 GP"	"Force India"	"11"	"12"	""
"2012"	"2012 Singapore F1 GP"	"Force India"	"6"	"4"	""
"2012"	"2012 Italian F1 GP"	"Force India"	"4"	"8"	""
"2012"	"2012 Belgian F1 GP"	"Force India"	"9"	"10"	""
"2012"	"2012 Hungarian F1 GP"	"Force India"	"12"	"12"	""
"2012"	"2012 German F1 GP"	"Force India"	"9"	"11"	""
"2012"	"2012 British F1 GP"	"Force India"	"10"	"DNF"	"Puncture"
"2012"	"2012 European F1 GP"	"Force India"	"10"	"7"	""
"2012"	"2012 Canadian F1 GP"	"Force India"	"8"	"11"	""
"2012"	"2012 Monaco F1 GP"	"Force India"	"14"	"7"	""
"2012"	"2012 Spanish F1 GP"	"Force India"	"12"	"14"	""
"2012"	"2012 Bahrain F1 GP"	"Force India"	"10"	"6"	""
"2012"	"2012 Chinese F1 GP"	"Force India"	"15"	"12"	""
"2012"	"2012 Malaysian F1 GP"	"Force India"	"14"	"7"	""
"2012"	"2012 Australian F1 GP"	"Force India"	"15"	"10"	""
"2011"	"2011 Brazilian F1 GP"	"Force India"	"11"	"8"	""
"2011"	"2011 Abu Dhabi F1 GP"	"Force India"	"10"	"9"	""
"2011"	"2011 Indian F1 GP"	"Force India"	"12"	"13"	""
"2011"	"2011 Korean F1 GP"	"Force India"	"9"	"10"	""
"2011"	"2011 Japanese F1 GP"	"Force India"	"12"	"12"	""
"2011"	"2011 Singapore F1 GP"	"Force India"	"10"	"6"	""
"2011"	"2011 Italian F1 GP"	"Force India"	"11"	"8"	""
"2011"	"2011 Belgian F1 GP"	"Force India"	"17"	"11"	""
"2011"	"2011 Hungarian F1 GP"	"Force India"	"11"	"7"	""
"2011"	"2011 German F1 GP"	"Force India"	"12"	"13"	""
"2011"	"2011 British F1 GP"	"Force India"	"6"	"15"	""
"2011"	"2011 European F1 GP"	"Force India"	"12"	"14"	""
"2011"	"2011 Canadian F1 GP"	"Force India"	"11"	"18"	"Accident"
"2011"	"2011 Monaco F1 GP"	"Force India"	"13"	"12"	""
"2011"	"2011 Spanish F1 GP"	"Force India"	"16"	"12"	""
"2011"	"2011 Turkish F1 GP"	"Force India"	"13"	"DNF"	"Wheel"
"2011"	"2011 Chinese F1 GP"	"Force India"	"8"	"11"	""
"2011"	"2011 Malaysian F1 GP"	"Force India"	"14"	"10"	""
"2011"	"2011 Australian F1 GP"	"Force India"	"14"	"10"	""
