"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"2000"	"2000 Malaysian F1 GP"	"Sauber"	"20"	"DNF"	"Collision"
"2000"	"2000 Japanese F1 GP"	"Sauber"	"20"	"11"	""
"2000"	"2000 USA F1 GP"	"Sauber"	"9"	"8"	""
"2000"	"2000 Italian F1 GP"	"Sauber"	"16"	"8"	""
"2000"	"2000 Belgian F1 GP"	"Sauber"	"15"	"11"	""
"2000"	"2000 Hungarian F1 GP"	"Sauber"	"13"	"DNF"	"Transmission"
"2000"	"2000 German F1 GP"	"Sauber"	"19"	"DNF"	"Collision"
"2000"	"2000 Austrian F1 GP"	"Sauber"	"11"	"9"	""
"2000"	"2000 French F1 GP"	"Sauber"	"15"	"11"	""
"2000"	"2000 Canadian F1 GP"	"Sauber"	"19"	"10"	""
"2000"	"2000 Monaco F1 GP"	"Sauber"	"19"	"DNF"	"Spun off"
"2000"	"2000 European F1 GP"	"Sauber"	"15"	"7"	""
"2000"	"2000 Spanish F1 GP"	"Sauber"	"15"	"DNF"	"Spun off"
"2000"	"2000 British F1 GP"	"Sauber"	"13"	"11"	""
"2000"	"2000 San Marino F1 GP"	"Sauber"	"10"	"8"	""
"2000"	"2000 Brazilian F1 GP"	"Sauber"	"0"	"WD"	"Safety Concerns"
"2000"	"2000 Australian F1 GP"	"Sauber"	"19"	"DNF"	"Transmission"
"1999"	"1999 Japanese F1 GP"	"Sauber"	"17"	"11"	""
"1999"	"1999 Malaysian F1 GP"	"Sauber"	"17"	"DNF"	"Spun off"
"1999"	"1999 European F1 GP"	"Sauber"	"13"	"DNF"	"Collision"
"1999"	"1999 Italian F1 GP"	"Sauber"	"16"	"DNF"	"Spun off"
"1999"	"1999 Belgian F1 GP"	"Sauber"	"18"	"DNF"	"Spin"
"1999"	"1999 Hungarian F1 GP"	"Sauber"	"12"	"DNF"	"Spin"
"1999"	"1999 German F1 GP"	"Sauber"	"16"	"DNF"	"Collision"
"1999"	"1999 Austrian F1 GP"	"Sauber"	"16"	"6"	""
"1999"	"1999 British F1 GP"	"Sauber"	"12"	"6"	""
"1999"	"1999 French F1 GP"	"Sauber"	"11"	"DNF"	"Transmission"
"1999"	"1999 Canadian F1 GP"	"Sauber"	"18"	"6"	""
"1999"	"1999 Spanish F1 GP"	"Sauber"	"12"	"DNF"	"Transmission"
"1999"	"1999 Monaco F1 GP"	"Sauber"	"15"	"DNF"	"Suspension"
"1999"	"1999 San Marino F1 GP"	"Sauber"	"15"	"DNF"	"Spun off"
"1999"	"1999 Brazilian F1 GP"	"Sauber"	"15"	"DNF"	"Collision"
"1999"	"1999 Australian F1 GP"	"Sauber"	"14"	"DNF"	"Transmission"
"1998"	"1998 Japanese F1 GP"	"Arrows"	"18"	"DNF"	"Spun off"
"1998"	"1998 Luxembourg F1 GP"	"Arrows"	"17"	"DNF"	"Hydraulics"
"1998"	"1998 Italian F1 GP"	"Arrows"	"20"	"DNF"	"Spun off"
"1998"	"1998 Belgian F1 GP"	"Arrows"	"16"	"5"	""
"1998"	"1998 Hungarian F1 GP"	"Arrows"	"12"	"11"	""
"1998"	"1998 German F1 GP"	"Arrows"	"18"	"DNF"	"Throttle"
"1998"	"1998 Austrian F1 GP"	"Arrows"	"13"	"DNF"	"Collision"
"1998"	"1998 British F1 GP"	"Arrows"	"12"	"DNF"	"Spun off"
"1998"	"1998 French F1 GP"	"Arrows"	"17"	"14"	""
"1998"	"1998 Canadian F1 GP"	"Arrows"	"19"	"9"	""
"1998"	"1998 Monaco F1 GP"	"Arrows"	"12"	"6"	""
"1998"	"1998 Spanish F1 GP"	"Arrows"	"15"	"DNF"	"Engine"
"1998"	"1998 San Marino F1 GP"	"Arrows"	"18"	"DNF"	"Engine"
"1998"	"1998 Argentine F1 GP"	"Arrows"	"18"	"DNF"	"Gearbox"
"1998"	"1998 Brazilian F1 GP"	"Arrows"	"22"	"DNF"	"Gearbox"
"1998"	"1998 Australian F1 GP"	"Arrows"	"20"	"DNF"	"Gearbox"
"1997"	"1997 European F1 GP"	"Arrows"	"13"	"DNF"	"Spun off"
"1997"	"1997 Japanese F1 GP"	"Arrows"	"16"	"12"	""
"1997"	"1997 Luxembourg F1 GP"	"Arrows"	"15"	"5"	""
"1997"	"1997 Austrian F1 GP"	"Arrows"	"17"	"13"	""
"1997"	"1997 Italian F1 GP"	"Arrows"	"17"	"DNF"	"Suspension"
"1997"	"1997 Belgian F1 GP"	"Arrows"	"8"	"7"	""
"1997"	"1997 Hungarian F1 GP"	"Arrows"	"19"	"DNF"	"Electrical"
"1997"	"1997 German F1 GP"	"Arrows"	"16"	"DNF"	"Accident"
"1997"	"1997 British F1 GP"	"Arrows"	"17"	"DNF"	"Engine"
"1997"	"1997 French F1 GP"	"Arrows"	"16"	"DNF"	"Spun off"
"1997"	"1997 Canadian F1 GP"	"Arrows"	"16"	"8"	""
"1997"	"1997 Spanish F1 GP"	"Arrows"	"21"	"DNF"	"Engine"
"1997"	"1997 Monaco F1 GP"	"Arrows"	"16"	"DNF"	"Spun off"
"1997"	"1997 San Marino F1 GP"	"Arrows"	"17"	"DNF"	"Gearbox"
"1997"	"1997 Argentine F1 GP"	"Arrows"	"22"	"DNF"	"Engine"
"1997"	"1997 Brazilian F1 GP"	"Arrows"	"16"	"DNF"	"Suspension"
"1997"	"1997 Australian F1 GP"	"Arrows"	"22"	"10"	""
"1996"	"1996 Japanese F1 GP"	"Ligier"	"16"	"DNF"	"Spun off"
"1996"	"1996 Portuguese F1 GP"	"Ligier"	"18"	"DNF"	"Collision"
"1996"	"1996 Italian F1 GP"	"Ligier"	"14"	"6"	""
"1996"	"1996 Belgian F1 GP"	"Ligier"	"15"	"DNF"	"Electrical"
"1996"	"1996 Hungarian F1 GP"	"Ligier"	"15"	"DNF"	"Collision"
"1996"	"1996 German F1 GP"	"Ligier"	"11"	"DNF"	"Engine"
"1996"	"1996 British F1 GP"	"Ligier"	"17"	"DNF"	"Engine"
"1996"	"1996 French F1 GP"	"Ligier"	"11"	"DNF"	"Engine"
"1996"	"1996 Canadian F1 GP"	"Ligier"	"18"	"DNF"	"Engine"
