"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1996"	"1996 Japanese F1 GP"	"Minardi"	"18"	"12"	""
"1996"	"1996 Portuguese F1 GP"	"Minardi"	"19"	"16"	""
"1996"	"1996 Italian F1 GP"	"Minardi"	"18"	"DNF"	"Engine"
"1996"	"1996 Belgian F1 GP"	"Minardi"	"19"	"10"	""
"1996"	"1996 Hungarian F1 GP"	"Minardi"	"19"	"DNF"	"Suspension"
"1996"	"1996 German F1 GP"	"Minardi"	"18"	"12"	""
"1996"	"1996 British F1 GP"	"Minardi"	"19"	"DNF"	"Gearbox"
"1996"	"1996 French F1 GP"	"Minardi"	"18"	"12"	""
"1996"	"1996 Canadian F1 GP"	"Minardi"	"19"	"DNF"	"Collision"
"1996"	"1996 Spanish F1 GP"	"Minardi"	"18"	"DNF"	"Collision"
"1996"	"1996 Monaco F1 GP"	"Minardi"	"19"	"DNF"	"Collision"
"1996"	"1996 San Marino F1 GP"	"Minardi"	"18"	"9"	""
"1996"	"1996 European F1 GP"	"Minardi"	"19"	"12"	""
"1996"	"1996 Argentine F1 GP"	"Minardi"	"19"	"DNF"	"Transmission"
"1996"	"1996 Brazilian F1 GP"	"Minardi"	"18"	"10"	""
"1996"	"1996 Australian F1 GP"	"Minardi"	"17"	"DNF"	"Safety belt"
"1995"	"1995 Australian F1 GP"	"Minardi"	"17"	"6"	""
"1995"	"1995 Japanese F1 GP"	"Minardi"	"16"	"11"	""
"1995"	"1995 Pacific F1 GP"	"Minardi"	"14"	"13"	""
"1995"	"1995 European F1 GP"	"Minardi"	"16"	"9"	""
"1995"	"1995 Portuguese F1 GP"	"Minardi"	"17"	"DNF"	"Gearbox"
"1995"	"1995 Italian F1 GP"	"Minardi"	"19"	"DNF"	"Transmission"
"1995"	"1995 Belgian F1 GP"	"Minardi"	"17"	"10"	""
"1995"	"1995 Hungarian F1 GP"	"Minardi"	"15"	"9"	""
"1994"	"1994 Monaco F1 GP"	"Team Lotus"	"19"	"11"	""
"1994"	"1994 San Marino F1 GP"	"Team Lotus"	"22"	"DNF"	"Collision"
"1994"	"1994 Pacific F1 GP"	"Team Lotus"	"24"	"8"	""
"1994"	"1994 Brazilian F1 GP"	"Team Lotus"	"24"	"10"	""
"1993"	"1993 Australian F1 GP"	"Team Lotus"	"23"	"DNF"	"Accident"
"1993"	"1993 Japanese F1 GP"	"Team Lotus"	"20"	"13"	"Spun off"
"1993"	"1993 Portuguese F1 GP"	"Team Lotus"	"18"	"DNF"	"Spun off"
"1993"	"1993 Italian F1 GP"	"Team Lotus"	"26"	"11"	"Electrical"
