"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1974"	"1974 Brazilian F1 GP"	"Shadow"	"6"	"DNF"	"Overheating"
"1974"	"1974 Argentine F1 GP"	"Shadow"	"4"	"DNF"	"Accident"
"1973"	"1973 USA F1 GP"	"McLaren"	"7"	"5"	""
"1973"	"1973 Canadian F1 GP"	"McLaren"	"2"	"1"	""
"1973"	"1973 Italian F1 GP"	"McLaren"	"2"	"3"	""
"1973"	"1973 Austrian F1 GP"	"McLaren"	"4"	"DNF"	"Clutch"
"1973"	"1973 German F1 GP"	"McLaren"	"7"	"9"	""
"1973"	"1973 Dutch F1 GP"	"McLaren"	"6"	"4"	""
"1973"	"1973 British F1 GP"	"McLaren"	"3"	"1"	""
"1973"	"1973 Swedish F1 GP"	"McLaren"	"7"	"7"	""
"1973"	"1973 Monaco F1 GP"	"McLaren"	"15"	"5"	""
"1973"	"1973 Belgian F1 GP"	"McLaren"	"10"	"DNF"	"Accident"
"1973"	"1973 Spanish F1 GP"	"McLaren"	"5"	"4"	""
"1973"	"1973 South African F1 GP"	"McLaren"	"6"	"2"	""
"1973"	"1973 Brazilian F1 GP"	"McLaren"	"12"	"DNF"	"Gearbox"
"1973"	"1973 Argentine F1 GP"	"McLaren"	"11"	"8"	""
"1972"	"1972 USA F1 GP"	"McLaren"	"2"	"18"	"Electrical"
"1972"	"1972 Canadian F1 GP"	"McLaren"	"1"	"2"	""
"1972"	"1972 Italian F1 GP"	"McLaren"	"8"	"4"	""
"1972"	"1972 Austrian F1 GP"	"McLaren"	"4"	"3"	""
"1972"	"1972 British F1 GP"	"McLaren"	"3"	"3"	""
"1972"	"1972 Belgian F1 GP"	"McLaren"	"7"	"7"	""
"1972"	"1972 Spanish F1 GP"	"McLaren"	"11"	"5"	""
"1972"	"1972 South African F1 GP"	"McLaren"	"12"	"3"	""
"1972"	"1972 Argentine F1 GP"	"McLaren"	"3"	"DNF"	"Engine"
"1971"	"1971 USA F1 GP"	"Tyrrell"	"19"	"DNF"	"Clutch"
"1964"	"1964 Italian F1 GP"	"Team Lotus"	"18"	"13"	""
"1964"	"1964 German F1 GP"	"Team Lotus"	"18"	"14"	"Accident"
"1964"	"1964 British F1 GP"	"Team Lotus"	"22"	"DNF"	"Differential"
"1964"	"1963 Belgian F1 GP"	"Team Lotus"	"10"	"DSQ"	"Disqualified"
"1964"	"1964 Monaco F1 GP"	"Team Lotus"	"0"	"DNQ"	"No Time"
"1973"	"1973 Canadian F1 GP"	"McLaren"	"2"	"1"	""
"1973"	"1973 Italian F1 GP"	"McLaren"	"2"	"3"	""
"1973"	"1973 British F1 GP"	"McLaren"	"3"	"1"	""
"1973"	"1973 South African F1 GP"	"McLaren"	"6"	"2"	""
"1972"	"1972 Canadian F1 GP"	"McLaren"	"1"	"2"	""
"1972"	"1972 Austrian F1 GP"	"McLaren"	"4"	"3"	""
"1972"	"1972 British F1 GP"	"McLaren"	"3"	"3"	""
"1972"	"1972 South African F1 GP"	"McLaren"	"12"	"3"	""
"1972"	"1972 Canadian F1 GP"	"McLaren"	"1"	"2"	""
