"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1954"	"1954 British F1 GP"	"Cooper-Climax"	"24"	"DNF"	"Oil Leak"
"1953"	"1953 British F1 GP"	"Cooper-Climax"	"14"	"9"	""
"1952"	"1952 Italian F1 GP"	"Ferrari"	"0"	"DNQ"	"Did not qualify"
"1952"	"1952 British F1 GP"	"Ferrari"	"20"	"10"	""
"1952"	"1952 French F1 GP"	"Alta"	"13"	"DNF"	"Clutch"
"1951"	"1951 Italian F1 GP"	"Ferrari"	"19"	"DNF"	"Magneto"
"1951"	"1951 British F1 GP"	"Ferrari"	"8"	"9"	""
"1951"	"1951 French F1 GP"	"Ferrari"	"20"	"DNF"	"Engine"
"1951"	"1951 Swiss F1 GP"	"Ferrari"	"9"	"DNF"	"Accident"
"1950"	"1950 Italian F1 GP"	"Ferrari"	"18"	"7"	""
"1950"	"1950 French F1 GP"	"Ferrari"	"18"	"3"	""
"1950"	"1950 Monaco F1 GP"	"Ferrari"	"21"	"DNS"	"Engine"
"1950"	"1950 French F1 GP"	"Ferrari"	"18"	"3"	""
