"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1988"	"1988 Australian F1 GP"	"AGS"	"16"	"11"	"Electrical"
"1988"	"1988 Japanese F1 GP"	"AGS"	"18"	"8"	""
"1988"	"1988 Spanish F1 GP"	"AGS"	"13"	"DNF"	"Engine"
"1988"	"1988 Portuguese F1 GP"	"AGS"	"21"	"9"	""
"1988"	"1988 Italian F1 GP"	"AGS"	"23"	"DNF"	"Clutch"
"1988"	"1988 Belgian F1 GP"	"AGS"	"18"	"10"	""
"1988"	"1988 Hungarian F1 GP"	"AGS"	"23"	"DNF"	"Collision"
"1988"	"1988 German F1 GP"	"AGS"	"16"	"DNF"	"Throttle"
"1988"	"1988 British F1 GP"	"AGS"	"16"	"DNF"	"Broken wing"
"1988"	"1988 French F1 GP"	"AGS"	"17"	"DNF"	"Fuel Leak"
"1988"	"1988 Detroit F1 GP"	"AGS"	"11"	"DNF"	"Suspension"
"1988"	"1988 Canadian F1 GP"	"AGS"	"10"	"DNF"	"Suspension"
"1988"	"1988 Mexican F1 GP"	"AGS"	"19"	"12"	""
"1988"	"1988 Monaco F1 GP"	"AGS"	"12"	"DNF"	"Throttle"
"1988"	"1988 San Marino F1 GP"	"AGS"	"13"	"10"	""
"1988"	"1988 Brazilian F1 GP"	"AGS"	"19"	"DNF"	"Brakes"
"1987"	"1987 Australian F1 GP"	"Tyrrell"	"18"	"DNF"	"Spun Off"
"1987"	"1987 Japanese F1 GP"	"Tyrrell"	"25"	"12"	""
"1987"	"1987 Mexican F1 GP"	"Tyrrell"	"25"	"8"	""
"1987"	"1987 Spanish F1 GP"	"Tyrrell"	"15"	"7"	""
"1987"	"1987 Portuguese F1 GP"	"Tyrrell"	"21"	"12"	""
"1987"	"1987 Italian F1 GP"	"Tyrrell"	"24"	"12"	""
"1987"	"1987 Hungarian F1 GP"	"Tyrrell"	"14"	"9"	""
"1987"	"1987 German F1 GP"	"Tyrrell"	"22"	"4"	""
"1987"	"1987 British F1 GP"	"Tyrrell"	"22"	"DNF"	"Engine"
"1987"	"1987 French F1 GP"	"Tyrrell"	"25"	"6"	""
"1987"	"1987 Detroit F1 GP"	"Tyrrell"	"14"	"DNF"	"Wheel"
"1987"	"1987 Austrian F1 GP"	"Tyrrell"	"25"	"DNF"	"Accident"
"1987"	"1987 Monaco F1 GP"	"Tyrrell"	"23"	"DNF"	"Accident"
"1987"	"1987 Belgian F1 GP"	"Tyrrell"	"23"	"9"	""
"1987"	"1987 San Marino F1 GP"	"Tyrrell"	"20"	"8"	""
"1987"	"1987 Brazilian F1 GP"	"Tyrrell"	"20"	"11"	""
"1986"	"1986 Australian F1 GP"	"Tyrrell"	"10"	"5"	"Out of Fuel"
"1986"	"1986 Mexican F1 GP"	"Tyrrell"	"19"	"DNF"	"Turbo"
"1986"	"1986 Portuguese F1 GP"	"Tyrrell"	"23"	"DNF"	"Engine"
"1986"	"1986 Italian F1 GP"	"Tyrrell"	"23"	"9"	""
"1986"	"1986 Austrian F1 GP"	"Tyrrell"	"20"	"DNF"	"Engine"
"1986"	"1986 Hungarian F1 GP"	"Tyrrell"	"18"	"8"	""
"1986"	"1986 German F1 GP"	"Tyrrell"	"18"	"DNF"	"Engine"
"1986"	"1986 British F1 GP"	"Tyrrell"	"16"	"6"	""
"1986"	"1986 French F1 GP"	"Tyrrell"	"17"	"DNF"	"Fire"
"1986"	"1986 Detroit F1 GP"	"Tyrrell"	"18"	"9"	""
"1986"	"1986 Canadian F1 GP"	"Tyrrell"	"17"	"11"	""
"1986"	"1986 Belgian F1 GP"	"Tyrrell"	"18"	"12"	""
"1986"	"1986 Monaco F1 GP"	"Tyrrell"	"13"	"11"	""
"1986"	"1986 San Marino F1 GP"	"Tyrrell"	"22"	"DNF"	"Transmission"
"1986"	"1986 Spanish F1 GP"	"Tyrrell"	"20"	"DNF"	"Engine"
"1986"	"1986 Brazilian F1 GP"	"Tyrrell"	"18"	"7"	""
"1985"	"1985 Australian F1 GP"	"Ligier"	"18"	"3"	""
"1985"	"1985 South African F1 GP"	"Tyrrell"	"19"	"DNF"	"Accident"
"1985"	"1985 European F1 GP"	"Ligier"	"5"	"8"	""
"1985"	"1985 Belgian F1 GP"	"Ligier"	"18"	"9"	""
"1985"	"1985 Italian F1 GP"	"Ligier"	"19"	"10"	""
"1984"	"1994 Portuguese F1 GP"	"Renault"	"13"	"DNF"	"Transmission"
"1985"	"1985 Australian F1 GP"	"Ligier"	"18"	"3"	""
