"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1995"	"1995 German F1 GP"	"Minardi"	"20"	"DNF"	"Engine"
"1995"	"1995 British F1 GP"	"Minardi"	"15"	"7"	""
"1995"	"1995 French F1 GP"	"Minardi"	"20"	"DNF"	"Gearbox"
"1995"	"1995 Canadian F1 GP"	"Minardi"	"17"	"DNF"	"Throttle"
"1995"	"1995 Monaco F1 GP"	"Minardi"	"18"	"7"	""
"1995"	"1995 Spanish F1 GP"	"Minardi"	"19"	"14"	""
"1995"	"1995 San Marino F1 GP"	"Minardi"	"18"	"12"	""
"1995"	"1995 Argentine F1 GP"	"Minardi"	"16"	"DNF"	"Spun off"
"1995"	"1995 Brazilian F1 GP"	"Minardi"	"17"	"DNF"	"Gearbox"
"1994"	"1994 Australian F1 GP"	"Minardi"	"18"	"9"	""
"1994"	"1994 Japanese F1 GP"	"Minardi"	"16"	"DNF"	"Collision"
"1994"	"1994 European F1 GP"	"Minardi"	"17"	"15"	""
"1994"	"1994 Portuguese F1 GP"	"Minardi"	"18"	"12"	""
"1994"	"1994 Italian F1 GP"	"Minardi"	"18"	"DNF"	"Spun off"
"1994"	"1994 Belgian F1 GP"	"Minardi"	"10"	"8"	""
"1994"	"1994 Hungarian F1 GP"	"Minardi"	"15"	"DNF"	"Spun off"
"1994"	"1994 German F1 GP"	"Minardi"	"20"	"DNF"	"Collision"
"1994"	"1994 British F1 GP"	"Minardi"	"14"	"10"	""
"1994"	"1994 French F1 GP"	"Minardi"	"16"	"5"	""
"1994"	"1994 Canadian F1 GP"	"Minardi"	"15"	"9"	""
"1994"	"1994 Spanish F1 GP"	"Minardi"	"18"	"5"	""
"1994"	"1994 Monaco F1 GP"	"Minardi"	"9"	"DNF"	"Collision"
"1994"	"1994 San Marino F1 GP"	"Minardi"	"14"	"DNF"	"Spun off"
"1994"	"1994 Pacific F1 GP"	"Minardi"	"17"	"DNF"	"Spun off"
"1994"	"1994 Brazilian F1 GP"	"Minardi"	"15"	"8"	""
"1993"	"1993 Australian F1 GP"	"Minardi"	"16"	"DNF"	"Gearbox"
"1993"	"1993 Japanese F1 GP"	"Minardi"	"22"	"10"	""
"1993"	"1993 Portuguese F1 GP"	"Minardi"	"19"	"8"	""
"1993"	"1993 Italian F1 GP"	"Minardi"	"22"	"7"	""
"1993"	"1993 Belgian F1 GP"	"Minardi"	"21"	"DNF"	"Spun off"
