"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1954"	"1954 Spanish F1 GP"	"Maserati"	"15"	"9"	""
"1954"	"1954 German F1 GP"	"Maserati"	"19"	"DNF"	"Steering"
"1954"	"1954 British F1 GP"	"Maserati"	"10"	"DNF"	"Accident"
"1954"	"1954 French F1 GP"	"Maserati"	"6"	"4"	""
"1954"	"1954 Belgian F1 GP"	"Maserati"	"13"	"6"	""
"1954"	"1954 Argentine F1 GP"	"Maserati"	"10"	"7"	""
"1953"	"1953 Italian F1 GP"	"Maserati"	"23"	"11"	""
"1953"	"1953 German F1 GP"	"Connaught"	"15"	"DNF"	"Suspension"
"1953"	"1953 British F1 GP"	"Connaught"	"19"	"7"	""
"1953"	"1953 French F1 GP"	"Connaught"	"11"	"DNF"	"Differential"
"1952"	"1952 British F1 GP"	"Gordini"	"10"	"11"	""
"1952"	"1952 French F1 GP"	"Gordini"	"7"	"DNF"	"Axle"
"1952"	"1952 Belgian F1 GP"	"Simca"	"18"	"10"	""
"1952"	"1952 Swiss F1 GP"	"Simca"	"11"	"DNF"	"Engine"
"1951"	"1951 Spanish F1 GP"	"Maserati"	"19"	"DNF"	"Engine"
"1950"	"1950 Italian F1 GP"	"Maserati"	"15"	"DNF"	"Engine"
"1950"	"1950 Swiss F1 GP"	"Maserati"	"8"	"4"	""
"1950"	"1950 Monaco F1 GP"	"Maserati"	"15"	"5"	""
"1950"	"1950 British F1 GP"	"Maserati"	"5"	"DNF"	"Out of fuel"
