"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1974"	"1974 Swedish F1 GP"	"March"	"16"	"DNF"	"Suspension"
"1973"	"1973 French F1 GP"	"March"	"22"	"DNF"	"Overheating"
"1973"	"1973 Swedish F1 GP"	"March"	"14"	"DNF"	"Suspension"
"1972"	"1972 USA F1 GP"	"Team Lotus"	"16"	"10"	""
"1972"	"1972 Canadian F1 GP"	"Team Lotus"	"16"	"DNF"	"Engine"
"1972"	"1972 Italian F1 GP"	"BRM"	"10"	"12"	""
"1972"	"1972 German F1 GP"	"BRM"	"17"	"DNF"	"Engine"
"1972"	"1972 French F1 GP"	"BRM"	"18"	"DNF"	"Gearbox"
"1972"	"1972 Monaco F1 GP"	"BRM"	"16"	"DNF"	"Engine"
"1972"	"1972 Spanish F1 GP"	"BRM"	"10"	"DNF"	"Accident"
"1972"	"1972 Argentine F1 GP"	"BRM"	"7"	"DNF"	"Water leak"
"1971"	"1971 USA F1 GP"	"Team Lotus"	"9"	"DNF"	"Brakes"
"1971"	"1971 Canadian F1 GP"	"Team Lotus"	"7"	"5"	""
"1971"	"1971 Austrian F1 GP"	"Team Lotus"	"10"	"4"	""
"1971"	"1971 German F1 GP"	"Team Lotus"	"17"	"8"	""
"1971"	"1971 British F1 GP"	"Team Lotus"	"19"	"NC"	"Not classified"
"1971"	"1971 French F1 GP"	"Team Lotus"	"15"	"6"	""
"1971"	"1971 Dutch F1 GP"	"Team Lotus"	"6"	"DSQ"	"Disqualified"
"1971"	"1971 Monaco F1 GP"	"Team Lotus"	"12"	"DNF"	"Wheel bearing"
"1971"	"1971 Spanish F1 GP"	"Team Lotus"	"16"	"NC"	"Not Classified"
"1971"	"1971 South African F1 GP"	"Team Lotus"	"14"	"4"	""
"1970"	"1970 Mexican F1 GP"	"Team Lotus"	"12"	"NC"	"Not Classified"
"1970"	"1970 USA F1 GP"	"Team Lotus"	"9"	"3"	""
"1970"	"1970 USA F1 GP"	"Team Lotus"	"9"	"3"	""
