"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1989"	"1989 Australian F1 GP"	"Ligier"	"26"	"DNF"	"Collision"
"1989"	"1989 Spanish F1 GP"	"Ligier"	"0"	"DNQ"	"No Time"
"1989"	"1989 Portuguese F1 GP"	"Ligier"	"23"	"13"	""
"1989"	"1989 Italian F1 GP"	"Ligier"	"23"	"9"	""
"1989"	"1989 Belgian F1 GP"	"Ligier"	"17"	"DNF"	"Collision"
"1989"	"1989 Hungarian F1 GP"	"Ligier"	"0"	"DNQ"	"No Time"
"1989"	"1989 German F1 GP"	"Ligier"	"23"	"11"	""
"1989"	"1989 British F1 GP"	"Ligier"	"0"	"DNQ"	"No Time"
"1989"	"1989 French F1 GP"	"Ligier"	"18"	"DNF"	"Gearbox"
"1989"	"1989 Canadian F1 GP"	"Ligier"	"22"	"5"	""
"1989"	"1989 USA F1 GP"	"Ligier"	"0"	"DNQ"	"No Time"
"1989"	"1989 Mexican F1 GP"	"Ligier"	"25"	"14"	""
"1989"	"1989 Monaco F1 GP"	"Ligier"	"21"	"12"	""
"1989"	"1989 San Marino F1 GP"	"Ligier"	"0"	"DNQ"	"No Time"
"1989"	"1989 Brazilian F1 GP"	"Ligier"	"0"	"DNQ"	"No Time"
"1988"	"1988 Australian F1 GP"	"Ligier"	"23"	"DNF"	"Collision"
"1988"	"1988 Japanese F1 GP"	"Ligier"	"23"	"17"	""
"1988"	"1988 Spanish F1 GP"	"Ligier"	"19"	"DNF"	"Throttle"
"1988"	"1988 Portuguese F1 GP"	"Ligier"	"23"	"10"	""
"1988"	"1988 Italian F1 GP"	"Ligier"	"24"	"13"	""
"1988"	"1988 Belgian F1 GP"	"Ligier"	"17"	"DNF"	"Accident"
"1988"	"1988 Hungarian F1 GP"	"Ligier"	"25"	"DNF"	"Engine"
"1988"	"1988 German F1 GP"	"Ligier"	"17"	"17"	""
"1988"	"1988 British F1 GP"	"Ligier"	"25"	"18"	""
"1988"	"1988 French F1 GP"	"Ligier"	"0"	"DNQ"	"No Time"
"1988"	"1988 Detroit F1 GP"	"Ligier"	"20"	"DNF"	"Overheating"
"1988"	"1988 Canadian F1 GP"	"Ligier"	"20"	"DNF"	"Transmission"
"1988"	"1988 Mexican F1 GP"	"Ligier"	"20"	"DNF"	"Accident"
"1988"	"1988 Monaco F1 GP"	"Ligier"	"20"	"DNF"	"Engine"
"1988"	"1988 San Marino F1 GP"	"Ligier"	"0"	"DNQ"	"No Time"
"1988"	"1988 Brazilian F1 GP"	"Ligier"	"18"	"DNF"	"Clutch"
"1987"	"1987 Australian F1 GP"	"Ligier"	"20"	"DNF"	"Ignition"
