"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"2005"	"2005 USA F1 GP"	"Toyota"	"13"	"DNS"	"Withdrew"
"2004"	"2004 Brazilian F1 GP"	"Toyota"	"14"	"13"	""
"2004"	"2004 Chinese F1 GP"	"Toyota"	"13"	"DNF"	"Transmission"
"2004"	"2004 Italian F1 GP"	"Toyota"	"11"	"11"	""
"2004"	"2004 Belgian F1 GP"	"Toyota"	"20"	"10"	"Engine"
"2004"	"2004 Hungarian F1 GP"	"Toyota"	"15"	"DNF"	"Electronics"
"2001"	"2001 German F1 GP"	"Jordan"	"15"	"DNF"	"Collision"
"2001"	"2001 Canadian F1 GP"	"Jordan"	"12"	"7"	""
"2000"	"2000 Malaysian F1 GP"	"BAR"	"11"	"DNF"	"Engine"
"2000"	"2000 Japanese F1 GP"	"BAR"	"18"	"9"	""
"2000"	"2000 USA F1 GP"	"BAR"	"12"	"6"	""
"2000"	"2000 Italian F1 GP"	"BAR"	"17"	"6"	""
"2000"	"2000 Belgian F1 GP"	"BAR"	"13"	"12"	""
"2000"	"2000 Hungarian F1 GP"	"BAR"	"18"	"14"	""
"2000"	"2000 German F1 GP"	"BAR"	"12"	"DNF"	"Spun off"
"2000"	"2000 Austrian F1 GP"	"BAR"	"6"	"DNF"	"Engine"
"2000"	"2000 French F1 GP"	"BAR"	"19"	"DNF"	"Spun off"
"2000"	"2000 Canadian F1 GP"	"BAR"	"8"	"8"	""
"2000"	"2000 Monaco F1 GP"	"BAR"	"20"	"DNF"	"Spun off"
"2000"	"2000 European F1 GP"	"BAR"	"18"	"DNF"	"Spun off"
"2000"	"2000 Spanish F1 GP"	"BAR"	"16"	"8"	""
"2000"	"2000 British F1 GP"	"BAR"	"16"	"DNF"	"Spun off"
"2000"	"2000 San Marino F1 GP"	"BAR"	"14"	"12"	""
"2000"	"2000 Brazilian F1 GP"	"BAR"	"8"	"9"	""
"2000"	"2000 Australian F1 GP"	"BAR"	"16"	"6"	""
"1999"	"1999 Japanese F1 GP"	"BAR"	"18"	"12"	""
"1999"	"1999 Malaysian F1 GP"	"BAR"	"13"	"DNF"	"Engine"
"1999"	"1999 European F1 GP"	"BAR"	"17"	"8"	""
"1999"	"1999 Italian F1 GP"	"BAR"	"18"	"DNF"	"Wheel bearing"
"1999"	"1999 Belgian F1 GP"	"BAR"	"14"	"DNF"	"Gearbox"
"1999"	"1999 Hungarian F1 GP"	"BAR"	"17"	"13"	""
"1999"	"1999 German F1 GP"	"BAR"	"18"	"DNF"	"Engine"
"1999"	"1999 Austrian F1 GP"	"BAR"	"15"	"15"	"Clutch"
"1999"	"1999 British F1 GP"	"BAR"	"16"	"DNF"	"Suspension"
"1999"	"1999 French F1 GP"	"BAR"	"10"	"9"	""
"1999"	"1999 Canadian F1 GP"	"BAR"	"17"	"DNF"	"Spun off"
"1999"	"1999 Brazilian F1 GP"	"BAR"	"0"	"DNQ"	"Not qualified"
"1999"	"1999 Australian F1 GP"	"BAR"	"19"	"DNF"	"Gearbox"
