"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1993"	"1993 Australian F1 GP"	"Benetton"	"9"	"8"	"Fuel system"
"1993"	"1993 Japanese F1 GP"	"Benetton"	"10"	"DNF"	"Spun off"
"1993"	"1993 Portuguese F1 GP"	"Benetton"	"7"	"16"	"Accident"
"1993"	"1993 Italian F1 GP"	"Benetton"	"10"	"5"	""
"1993"	"1993 Belgian F1 GP"	"Benetton"	"8"	"6"	""
"1993"	"1993 Hungarian F1 GP"	"Benetton"	"5"	"2"	""
"1993"	"1993 German F1 GP"	"Benetton"	"7"	"5"	""
"1993"	"1993 British F1 GP"	"Benetton"	"5"	"3"	""
"1993"	"1993 French F1 GP"	"Benetton"	"12"	"10"	""
"1993"	"1993 Canadian F1 GP"	"Benetton"	"4"	"DNF"	"Physical"
"1993"	"1993 Monaco F1 GP"	"Benetton"	"6"	"DNF"	"Engine"
"1993"	"1993 Spanish F1 GP"	"Benetton"	"5"	"4"	""
"1993"	"1993 San Marino F1 GP"	"Benetton"	"11"	"DNF"	"Spun off"
"1993"	"1993 European F1 GP"	"Benetton"	"10"	"5"	""
"1993"	"1993 Brazilian F1 GP"	"Benetton"	"6"	"DNF"	"Suspension"
"1993"	"1993 South African F1 GP"	"Benetton"	"7"	"DNF"	"Spun off"
"1992"	"1992 Australian F1 GP"	"Williams"	"3"	"DNF"	"Engine"
"1992"	"1992 Japanese F1 GP"	"Williams"	"2"	"1"	""
"1992"	"1992 Portuguese F1 GP"	"Williams"	"2"	"DNF"	"Collision"
"1992"	"1992 Italian F1 GP"	"Williams"	"4"	"5"	""
"1992"	"1992 Belgian F1 GP"	"Williams"	"4"	"3"	""
"1992"	"1992 Hungarian F1 GP"	"Williams"	"1"	"DNF"	"Engine"
"1992"	"1992 German F1 GP"	"Williams"	"2"	"8"	"Spun Off"
"1992"	"1992 British F1 GP"	"Williams"	"2"	"2"	""
"1992"	"1992 French F1 GP"	"Williams"	"2"	"2"	""
"1992"	"1992 Canadian F1 GP"	"Williams"	"2"	"DNF"	"Gearbox"
"1992"	"1992 Monaco F1 GP"	"Williams"	"2"	"3"	""
"1992"	"San Marino Grand Prix"	"Williams"	"2"	"2"	""
"1992"	"1992 Spanish F1 GP"	"Williams"	"4"	"DNF"	"Spun Off"
"1992"	"1992 Brazilian F1 GP"	"Williams"	"2"	"2"	""
"1992"	"1992 Mexican F1 GP"	"Williams"	"2"	"2"	""
"1992"	"1992 South African F1 GP"	"Williams"	"4"	"2"	""
"1991"	"1991 Australian F1 GP"	"Williams"	"4"	"5"	""
"1991"	"1991 Japanese F1 GP"	"Williams"	"5"	"3"	""
"1991"	"1991 Spanish F1 GP"	"Williams"	"4"	"3"	""
"1991"	"1991 Portuguese F1 GP"	"Williams"	"1"	"1"	""
"1991"	"1991 Italian F1 GP"	"Williams"	"4"	"DNF"	"Gearbox"
"1991"	"1991 Belgian F1 GP"	"Williams"	"17"	"5"	""
"1991"	"1991 Hungarian F1 GP"	"Williams"	"2"	"3"	""
"1991"	"1991 German F1 GP"	"Williams"	"4"	"2"	""
"1991"	"1991 British F1 GP"	"Williams"	"3"	"DNF"	"Collision"
"1991"	"French Grand Prix"	"Williams"	"1"	"5"	""
"1991"	"1991 Mexican F1 GP"	"Williams"	"1"	"1"	""
"1991"	"1991 Canadian F1 GP"	"Williams"	"1"	"3"	""
"1991"	"1991 Monaco F1 GP"	"Williams"	"3"	"DNF"	"Spun Off"
"1991"	"1991 San Marino F1 GP"	"Williams"	"2"	"DNF"	"Electrical/Misfire"
"1991"	"1991 Brazilian F1 GP"	"Williams"	"2"	"2"	""
"1991"	"1991 USA F1 GP"	"Williams"	"3"	"DNF"	"Gearbox"
"1990"	"1990 Australian F1 GP"	"Williams"	"6"	"6"	""
"1990"	"1990 Japanese F1 GP"	"Williams"	"7"	"4"	""
"1990"	"1990 Spanish F1 GP"	"Williams"	"6"	"5"	""
"1990"	"1990 Portuguese F1 GP"	"Williams"	"5"	"7"	""
"1990"	"1990 Italian F1 GP"	"Williams"	"7"	"5"	""
"1990"	"1990 Belgian F1 GP"	"Williams"	"7"	"DNF"	"Gearbox"
"1990"	"1990 Hungarian F1 GP"	"Williams"	"2"	"4"	""
"1990"	"1990 German F1 GP"	"Williams"	"5"	"5"	""
"1990"	"1990 British F1 GP"	"Williams"	"7"	"DNF"	"Chassis"
"1990"	"1990 French F1 GP"	"Williams"	"6"	"6"	""
"1990"	"1990 Mexican F1 GP"	"Williams"	"2"	"9"	""
"1990"	"1990 Canadian F1 GP"	"Williams"	"9"	"DNF"	"Brakes"
"1990"	"1990 Monaco F1 GP"	"Williams"	"4"	"DNF"	"Distributor"
"1990"	"1990 San Marino F1 GP"	"Williams"	"3"	"1"	""
"1990"	"1990 Brazilian F1 GP"	"Williams"	"4"	"13"	"Oil Pressure"
"1990"	"1990 USA F1 GP"	"Williams"	"12"	"9"	""
"1989"	"1989 Australian F1 GP"	"Williams"	"6"	"3"	""
"1989"	"1989 Japanese F1 GP"	"Williams"	"5"	"2"	""
"1989"	"1989 Spanish F1 GP"	"Williams"	"6"	"5"	""
"1989"	"1989 Portuguese F1 GP"	"Williams"	"6"	"DNF"	"Overheating"
"1989"	"1989 Italian F1 GP"	"Williams"	"5"	"4"	""
"1989"	"1989 Belgian F1 GP"	"Williams"	"5"	"DNF"	"Collision"
"1989"	"1989 Hungarian F1 GP"	"Williams"	"1"	"DNF"	"Radiator"
"1989"	"1989 German F1 GP"	"Williams"	"5"	"4"	""
"1989"	"1989 British F1 GP"	"Williams"	"5"	"DNF"	"Radiator"
"1989"	"1989 French F1 GP"	"Williams"	"8"	"3"	""
"1989"	"1989 Canadian F1 GP"	"Williams"	"3"	"2"	""
"1989"	"1989 USA F1 GP"	"Williams"	"14"	"2"	""
"1989"	"1989 Mexican F1 GP"	"Williams"	"5"	"2"	""
"1989"	"1989 Monaco F1 GP"	"Williams"	"7"	"15"	""
"1989"	"1989 San Marino F1 GP"	"Williams"	"4"	"DNF"	"Engine"
"1989"	"1989 Brazilian F1 GP"	"Williams"	"2"	"DNF"	"Alternator"
"1988"	"1988 Australian F1 GP"	"Williams"	"6"	"4"	""
"1988"	"1988 Japanese F1 GP"	"Williams"	"11"	"6"	""
"1988"	"1988 Spanish F1 GP"	"Williams"	"7"	"5"	""
"1988"	"1988 Portuguese F1 GP"	"Williams"	"11"	"DNF"	"Radiator"
"1988"	"1988 Italian F1 GP"	"Williams"	"10"	"7"	""
"1988"	"1988 Belgian F1 GP"	"Williams"	"5"	"DNF"	"Engine"
"1988"	"1988 Hungarian F1 GP"	"Williams"	"6"	"6"	""
"1988"	"1988 German F1 GP"	"Williams"	"13"	"DNF"	"Spun Off"
"1988"	"1988 British F1 GP"	"Williams"	"15"	"8"	""
"1988"	"1988 French F1 GP"	"Williams"	"15"	"DNF"	"Brakes"
"1988"	"1988 Detroit F1 GP"	"Williams"	"10"	"DNF"	"Electrical"
"1988"	"1988 Canadian F1 GP"	"Williams"	"11"	"DNF"	"Engine"
"1988"	"1988 Mexican F1 GP"	"Williams"	"17"	"DNF"	"Engine"
"1988"	"1988 Monaco F1 GP"	"Williams"	"8"	"6"	""
"1988"	"1988 San Marino F1 GP"	"Williams"	"6"	"13"	""
"1988"	"1988 Brazilian F1 GP"	"Williams"	"8"	"DNF"	"Engine"
"1987"	"1987 Australian F1 GP"	"Williams"	"7"	"9"	"Oil Leak"
"1987"	"1987 Japanese F1 GP"	"Brabham"	"8"	"11"	""
"1987"	"1987 Mexican F1 GP"	"Brabham"	"8"	"3"	""
"1987"	"1987 Spanish F1 GP"	"Brabham"	"9"	"13"	""
"1987"	"1987 Portuguese F1 GP"	"Brabham"	"7"	"DNF"	"Engine"
"1987"	"1987 Italian F1 GP"	"Brabham"	"9"	"DNF"	"Engine"
"1987"	"1987 Hungarian F1 GP"	"Brabham"	"10"	"5"	""
"1987"	"1987 German F1 GP"	"Brabham"	"11"	"DNF"	"Ignition"
"1987"	"1987 British F1 GP"	"Brabham"	"11"	"DNF"	"Turbo"
"1987"	"1987 French F1 GP"	"Brabham"	"12"	"DNF"	"Differential"
"1987"	"1987 Detroit F1 GP"	"Brabham"	"9"	"9"	""
"1987"	"1987 Austrian F1 GP"	"Brabham"	"8"	"DNF"	"Engine"
"1987"	"1987 Monaco F1 GP"	"Brabham"	"10"	"DNF"	"Electrical"
"1987"	"1987 Belgian F1 GP"	"Brabham"	"8"	"DNF"	"Clutch"
"1987"	"1987 San Marino F1 GP"	"Brabham"	"7"	"9"	""
"1987"	"1987 Brazilian F1 GP"	"Brabham"	"11"	"DNF"	"Electrical"
"1986"	"1986 Australian F1 GP"	"Brabham"	"19"	"DNF"	"Electrical"
"1986"	"1986 Mexican F1 GP"	"Brabham"	"5"	"13"	"Spun Off"
"1986"	"1986 Portuguese F1 GP"	"Brabham"	"9"	"DNF"	"Engine"
"1986"	"1986 Italian F1 GP"	"Brabham"	"10"	"DNF"	"Accident"
"1986"	"1986 Austrian F1 GP"	"Brabham"	"4"	"DNF"	"Engine"
"1986"	"1986 Hungarian F1 GP"	"Brabham"	"14"	"DNF"	"Gearbox"
"1986"	"1986 German F1 GP"	"Brabham"	"7"	"DNF"	"Turbo"
"1986"	"1986 British F1 GP"	"Brabham"	"15"	"DNF"	"Engine"
"1986"	"1986 French F1 GP"	"Brabham"	"16"	"7"	""
"1986"	"1986 Detroit F1 GP"	"Brabham"	"8"	"6"	""
"1986"	"1986 Canadian F1 GP"	"Brabham"	"9"	"DNF"	"Turbo"
"1986"	"1986 Belgian F1 GP"	"Brabham"	"15"	"8"	""
"1986"	"1986 Monaco F1 GP"	"Brabham"	"6"	"DNF"	"Fuel Pump"
"1986"	"1986 San Marino F1 GP"	"Brabham"	"16"	"6"	"Out of Fuel"
"1986"	"1986 Spanish F1 GP"	"Brabham"	"14"	"DNF"	"Gearbox"
