"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1969"	"1969 German F1 GP"	"Brabham"	"20"	"6"	""
"1969"	"1969 Monaco F1 GP"	"Team Lotus"	"10"	"4"	""
"1968"	"1968 German F1 GP"	"BRM"	"20"	"14"	""
"1968"	"1968 British F1 GP"	"BRM"	"15"	"DNF"	"Radiator"
"1968"	"1968 French F1 GP"	"BRM"	"12"	"7"	""
"1968"	"1968 Dutch F1 GP"	"BRM"	"15"	"7"	""
"1968"	"1968 Belgian F1 GP"	"BRM"	"18"	"DNF"	"Oil Pipe"
"1968"	"1968 Monaco F1 GP"	"BRM"	"6"	"2"	""
"1967"	"1967 Canadian F1 GP"	"Cooper-Maserati"	"13"	"10"	""
"1965"	"1965 Mexican F1 GP"	"Team Lotus"	"17"	"6"	""
"1965"	"1965 USA F1 GP"	"Team Lotus"	"16"	"10"	""
"1965"	"1965 Italian F1 GP"	"Team Lotus"	"13"	"6"	""
"1965"	"1965 German F1 GP"	"Team Lotus"	"17"	"DNF"	"Water leak"
"1965"	"1965 Dutch F1 GP"	"Team Lotus"	"17"	"12"	""
"1965"	"1965 British F1 GP"	"Team Lotus"	"16"	"13"	""
"1965"	"1965 Belgian F1 GP"	"Team Lotus"	"13"	"14"	"Accident"
"1965"	"1965 Monaco F1 GP"	"Team Lotus"	"6"	"DNF"	"Wheel"
"1964"	"1964 British F1 GP"	"BRM"	"24"	"DNS"	"Withdrawn"
"1968"	"1968 Monaco F1 GP"	"BRM"	"6"	"2"	""
