"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"2006"	"2006 Brazilian F1 GP"	"Red Bull"	"22"	"12"	""
"2006"	"2006 Japanese F1 GP"	"Red Bull"	"18"	"13"	""
"2006"	"2006 Chinese F1 GP"	"Red Bull"	"10"	"12"	""
"2005"	"2005 Chinese F1 GP"	"Minardi"	"20"	"14"	"Out of fuel"
"2005"	"2005 Japanese F1 GP"	"Minardi"	"15"	"14"	""
"2005"	"2005 Brazilian F1 GP"	"Minardi"	"18"	"DNF"	"Engine"
"2005"	"2005 Belgian F1 GP"	"Minardi"	"17"	"13"	""
"2005"	"2005 Italian F1 GP"	"Minardi"	"18"	"18"	""
"2005"	"2005 Turkish F1 GP"	"Minardi"	"17"	"13"	""
"2005"	"2005 Hungarian F1 GP"	"Minardi"	"19"	"DNF"	"Hydraulic"
"2005"	"2005 German F1 GP"	"Minardi"	"17"	"18"	""
