"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"2021"	"2021 Italian F1 GP"	"Alfa Romeo"	"17"	"14"	""
"2021"	"2021 Dutch F1 GP"	"Alfa Romeo"	"16"	"15"	""
"2019"	"2019 Abu Dhabi F1 GP"	"Williams"	"19"	"19"	""
"2019"	"2019 Brazilian F1 GP"	"Williams"	"19"	"16"	""
"2019"	"2019 USA F1 GP"	"Williams"	"19"	"DNF"	"Hydraulics"
"2019"	"2019 Mexican F1 GP"	"Williams"	"20"	"18"	""
"2019"	"2019 Japanese F1 GP"	"Williams"	"20"	"17"	""
"2019"	"2019 Russian F1 GP"	"Williams"	"18"	"DNF"	"Strategic"
"2019"	"2019 Singapore F1 GP"	"Williams"	"19"	"16"	""
"2019"	"2019 Italian F1 GP"	"Williams"	"15"	"17"	""
"2019"	"2019 Belgian F1 GP"	"Williams"	"20"	"17"	""
"2019"	"2019 Hungarian F1 GP"	"Williams"	"19"	"19"	""
"2019"	"2019 German F1 GP"	"Williams"	"18"	"10"	""
"2019"	"2019 British F1 GP"	"Williams"	"20"	"15"	""
"2019"	"2019 Austrian F1 GP"	"Williams"	"17"	"20"	""
"2019"	"2019 French F1 GP"	"Williams"	"18"	"18"	""
"2019"	"2019 Canadian F1 GP"	"Williams"	"19"	"18"	""
"2019"	"2019 Monaco F1 GP"	"Williams"	"19"	"18"	""
"2019"	"2019 Spanish F1 GP"	"Williams"	"17"	"18"	""
"2019"	"2019 Azerbaijan F1 GP"	"Williams"	"18"	"16"	""
"2019"	"2019 Chinese F1 GP"	"Williams"	"18"	"17"	""
"2019"	"2019 Bahrain F1 GP"	"Williams"	"20"	"16"	""
"2019"	"2019 Australian F1 GP"	"Williams"	"20"	"17"	""
"2010"	"2010 Abu Dhabi F1 GP"	"Renault"	"11"	"5"	""
"2010"	"2010 Brazilian F1 GP"	"Renault"	"7"	"9"	""
"2010"	"2010 Korean F1 GP"	"Renault"	"8"	"5"	""
"2010"	"2010 Japanese F1 GP"	"Renault"	"3"	"DNF"	"Collision"
"2010"	"2010 Singapore F1 GP"	"Renault"	"8"	"7"	""
"2010"	"2010 Italian F1 GP"	"Renault"	"9"	"8"	""
"2010"	"2010 Belgian F1 GP"	"Renault"	"3"	"3"	""
"2010"	"2010 Hungarian F1 GP"	"Renault"	"8"	"DNF"	"Collision"
"2010"	"2010 German F1 GP"	"Renault"	"7"	"7"	""
"2010"	"2010 British F1 GP"	"Renault"	"6"	"23"	"Driveshaft"
"2010"	"2010 European F1 GP"	"Renault"	"6"	"5"	""
"2010"	"2010 Canadian F1 GP"	"Renault"	"8"	"7"	""
"2010"	"2010 Turkish F1 GP"	"Renault"	"7"	"6"	""
"2010"	"2010 Monaco F1 GP"	"Renault"	"2"	"3"	""
"2010"	"2010 Spanish F1 GP"	"Renault"	"7"	"8"	""
"2010"	"2010 Chinese F1 GP"	"Renault"	"8"	"5"	""
"2010"	"2010 Malaysian F1 GP"	"Renault"	"6"	"4"	""
"2010"	"2010 Australian F1 GP"	"Renault"	"9"	"2"	""
"2010"	"2010 Bahrain F1 GP"	"Renault"	"9"	"11"	""
"2009"	"2009 Abu Dhabi F1 GP"	"BMW Sauber"	"7"	"10"	""
"2009"	"2009 Brazilian F1 GP"	"BMW Sauber"	"8"	"2"	""
"2009"	"2009 Japanese F1 GP"	"BMW Sauber"	"9"	"9"	""
"2009"	"2009 Singapore F1 GP"	"BMW Sauber"	"7"	"8"	""
"2009"	"2009 Italian F1 GP"	"BMW Sauber"	"13"	"DNF"	"Oil leak"
"2009"	"2009 Belgian F1 GP"	"BMW Sauber"	"5"	"4"	""
"2009"	"2009 European F1 GP"	"BMW Sauber"	"10"	"8"	""
"2009"	"2009 Hungarian F1 GP"	"BMW Sauber"	"18"	"13"	""
"2009"	"2009 German F1 GP"	"BMW Sauber"	"16"	"14"	""
"2009"	"2009 British F1 GP"	"BMW Sauber"	"12"	"13"	""
"2009"	"2009 Turkish F1 GP"	"BMW Sauber"	"10"	"7"	""
"2009"	"2009 Monaco F1 GP"	"BMW Sauber"	"17"	"DNF"	"Brakes"
"2009"	"2009 Spanish F1 GP"	"BMW Sauber"	"10"	"11"	""
"2009"	"2009 Bahrain F1 GP"	"BMW Sauber"	"13"	"18"	""
"2009"	"2009 Chinese F1 GP"	"BMW Sauber"	"17"	"13"	""
