"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1956"	"1956 Italian F1 GP"	"Gordini"	"23"	"DNF"	"Chassis"
"1956"	"1956 German F1 GP"	"Gordini"	"15"	"DNF"	"Suspension"
"1956"	"1956 British F1 GP"	"Gordini"	"18"	"9"	""
"1956"	"1956 French F1 GP"	"Gordini"	"15"	"9"	""
"1956"	"1956 Monaco F1 GP"	"Gordini"	"12"	"DNF"	"Accident"
"1955"	"1955 British F1 GP"	"Gordini"	"11"	"DNF"	"Transmission"
"1955"	"1955 Dutch F1 GP"	"Gordini"	"11"	"DNF"	"Transmission"
"1955"	"1955 Monaco F1 GP"	"Gordini"	"13"	"DNF"	"Gearbox"
"1954"	"1954 Spanish F1 GP"	"Ferrari"	"17"	"DNF"	"Engine"
"1954"	"1954 Italian F1 GP"	"Ferrari"	"15"	"DNF"	"Engine"
"1954"	"1954 Swiss F1 GP"	"Ferrari"	"0"	"DNS"	"Accident"
"1954"	"1954 German F1 GP"	"Ferrari"	"12"	"9"	""
"1954"	"1954 British F1 GP"	"Ferrari"	"15"	"DNF"	"Engine"
"1954"	"1954 French F1 GP"	"Ferrari"	"12"	"3"	""
"1953"	"1953 Argentine F1 GP"	"Gordini"	"8"	"DNF"	"Wheel"
"1952"	"1952 Italian F1 GP"	"Gordini"	"7"	"14"	""
"1952"	"1952 Dutch F1 GP"	"Gordini"	"6"	"5"	""
"1952"	"1952 German F1 GP"	"Gordini"	"4"	"DNF"	"Accident"
"1952"	"1952 British F1 GP"	"Gordini"	"4"	"DNF"	"Clutch"
"1952"	"1952 French F1 GP"	"Gordini"	"5"	"4"	""
"1952"	"1952 Belgian F1 GP"	"Gordini"	"4"	"3"	""
"1952"	"1952 Swiss F1 GP"	"Gordini"	"3"	"DNF"	"Radiator"
"1951"	"1951 Spanish F1 GP"	"Simca"	"9"	"9"	""
"1951"	"1951 Italian F1 GP"	"Simca"	"13"	"DNF"	"Engine"
"1951"	"1951 German F1 GP"	"Simca"	"9"	"7"	""
"1951"	"1951 French F1 GP"	"Simca"	"23"	"DNF"	"Engine"
"1950"	"1950 Italian F1 GP"	"Simca"	"10"	"DNF"	"Transmission"
"1950"	"1950 French F1 GP"	"Simca"	"12"	"4"	""
"1950"	"1950 Monaco F1 GP"	"Simca"	"11"	"DNF"	"Accident"
