"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1983"	"1983 European F1 GP"	"Theodore"	"21"	"12"	""
"1983"	"1983 Italian F1 GP"	"Theodore"	"21"	"13"	""
"1983"	"1983 Dutch F1 GP"	"Theodore"	"20"	"12"	""
"1983"	"1983 Austrian F1 GP"	"Theodore"	"21"	"DNF"	"Gearbox"
"1983"	"1983 German F1 GP"	"Theodore"	"24"	"DNF"	"Engine"
"1983"	"1983 British F1 GP"	"Theodore"	"21"	"16"	""
"1983"	"1983 Canadian F1 GP"	"Theodore"	"21"	"DNF"	"Engine"
"1983"	"1983 Detroit F1 GP"	"Theodore"	"11"	"NC"	"No Time"
"1983"	"1983 Belgian F1 GP"	"Theodore"	"14"	"DNF"	"Engine"
"1983"	"1983 Monaco F1 GP"	"Theodore"	"0"	"DNPQ"	"No Time"
"1983"	"1983 San Marino F1 GP"	"Theodore"	"21"	"DNF"	"Spun off"
"1983"	"1983 French F1 GP"	"Theodore"	"22"	"DNF"	"Engine"
"1983"	"1983 USA West F1 GP"	"Theodore"	"18"	"DNF"	"Gearbox"
"1983"	"1983 Brazilian F1 GP"	"Theodore"	"14"	"NC"	"Not Classified"
"1982"	"1982 Caesars Palace F1 GP"	"Ensign"	"15"	"DNS"	"Engine"
"1982"	"1982 Italian F1 GP"	"Ensign"	"18"	"NC"	"Not Classified"
"1982"	"1982 Swiss F1 GP"	"Ensign"	"19"	"DNF"	"Engine"
"1982"	"1982 Austrian F1 GP"	"Ensign"	"16"	"DNF"	"Spun Off"
"1982"	"1982 German F1 GP"	"Ensign"	"21"	"8"	""
"1982"	"1982 French F1 GP"	"Ensign"	"0"	"DNQ"	"No Time"
"1982"	"1982 British F1 GP"	"Ensign"	"19"	"DNF"	"Engine"
"1982"	"1982 Dutch F1 GP"	"Ensign"	"0"	"DNQ"	"No Time"
"1982"	"1982 Canadian F1 GP"	"Ensign"	"20"	"DNF"	"Clutch"
"1982"	"1982 Detroit F1 GP"	"Ensign"	"11"	"DNF"	"Collision"
"1982"	"1982 Monaco F1 GP"	"Ensign"	"0"	"DNQ"	"No Time"
"1982"	"1982 Belgian F1 GP"	"Ensign"	"0"	"DNQ"	"No Time"
"1982"	"1982 USA West F1 GP"	"Ensign"	"19"	"DNF"	"Spun Off"
"1982"	"1982 Brazilian F1 GP"	"Ensign"	"0"	"DNQ"	"No Time"
"1982"	"1982 South African F1 GP"	"Ensign"	"0"	"DNQ"	"No Time"
