"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"2015"	"2015 Abu Dhabi F1 GP"	"Manor"	"19"	"19"	""
"2015"	"2015 Russian F1 GP"	"Manor"	"18"	"13"	""
"2015"	"2015 Italian F1 GP"	"Manor"	"14"	"16"	""
"2015"	"2015 Belgian F1 GP"	"Manor"	"17"	"15"	""
"2015"	"2015 Hungarian F1 GP"	"Manor"	"19"	"15"	""
"2015"	"2015 British F1 GP"	"Manor"	"20"	"12"	""
"2015"	"2015 Austrian F1 GP"	"Manor"	"16"	"14"	""
"2015"	"2015 Canadian F1 GP"	"Manor"	"16"	"DNF"	"Driveshaft"
"2015"	"2015 Monaco F1 GP"	"Manor"	"19"	"16"	""
"2015"	"2015 Spanish F1 GP"	"Manor"	"18"	"18"	""
"2015"	"2015 Bahrain F1 GP"	"Manor"	"19"	"17"	""
"2015"	"2015 Chinese F1 GP"	"Manor"	"20"	"16"	""
"2015"	"2015 Malaysian F1 GP"	"Manor"	"19"	"15"	""
"2015"	"2015 Australian F1 GP"	"Manor"	"0"	"DNQ"	""
