"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"2020"	"2020 Bahrain F1 GP"	"Haas"	"19"	"DNF"	"Crashed"
"2020"	"2020 Turkish F1 GP"	"Haas"	"18"	"DNF"	""
"2020"	"2020 E. Romagna F1 GP"	"Haas"	"16"	"12"	""
"2020"	"2020 Portuguese F1 GP"	"Haas"	"18"	"17"	""
"2020"	"2020 Eifel F1 GP"	"Haas"	"16"	"9"	""
"2020"	"2020 Russian F1 GP"	"Haas"	"16"	"17"	""
"2020"	"2020 Tuscan F1 GP"	"Haas"	"15"	"12"	""
"2020"	"2020 Italian F1 GP"	"Haas"	"16"	"12"	""
"2020"	"2020 Belgian F1 GP"	"Haas"	"17"	"15"	""
"2020"	"2020 Spanish F1 GP"	"Haas"	"17"	"19"	""
"2020"	"70th Anniversary F1 GP"	"Haas"	"13"	"16"	""
"2020"	"2020 British F1 GP"	"Haas"	"17"	"16"	""
"2020"	"2020 Hungarian F1 GP"	"Haas"	"18"	"16"	""
"2020"	"2020 Styrian F1 GP"	"Haas"	"20"	"13"	""
"2020"	"2020 Austrian F1 GP"	"Haas"	"15"	"DNF"	"Brakes"
"2019"	"2019 Abu Dhabi F1 GP"	"Haas"	"15"	"15"	""
"2019"	"2019 Brazilian F1 GP"	"Haas"	"7"	"13"	""
"2019"	"2019 USA F1 GP"	"Haas"	"15"	"15"	""
"2019"	"2019 Mexican F1 GP"	"Haas"	"18"	"17"	""
"2019"	"2019 Japanese F1 GP"	"Haas"	"10"	"13"	""
"2019"	"2019 Russian F1 GP"	"Haas"	"8"	"DNF"	"Collision"
"2019"	"2019 Singapore F1 GP"	"Haas"	"17"	"11"	""
"2019"	"2019 Italian F1 GP"	"Haas"	"13"	"16"	""
"2019"	"2019 Belgian F1 GP"	"Haas"	"9"	"13"	""
"2019"	"2019 Hungarian F1 GP"	"Haas"	"9"	"DNF"	"Water leak"
"2019"	"2019 German F1 GP"	"Haas"	"6"	"7"	""
"2019"	"2019 British F1 GP"	"Haas"	"14"	"DNF"	"Puncture damage"
"2019"	"2019 Austrian F1 GP"	"Haas"	"11"	"16"	""
"2019"	"2019 French F1 GP"	"Haas"	"16"	"DNF"	"Technical"
"2019"	"2019 Canadian F1 GP"	"Haas"	"14"	"14"	""
"2019"	"2019 Monaco F1 GP"	"Haas"	"13"	"10"	""
"2019"	"2019 Spanish F1 GP"	"Haas"	"7"	"10"	""
"2019"	"2019 Azerbaijan F1 GP"	"Haas"	"15"	"DNF"	"Brakes"
"2019"	"2019 Chinese F1 GP"	"Haas"	"10"	"11"	""
"2019"	"2019 Bahrain F1 GP"	"Haas"	"11"	"DNF"	"Collision"
"2019"	"2019 Australian F1 GP"	"Haas"	"6"	"DNF"	"Left front wheel"
"2018"	"2018 Abu Dhabi F1 GP"	"Haas"	"7"	"9"	""
"2018"	"2018 Brazilian F1 GP"	"Haas"	"8"	"8"	""
"2018"	"2018 Mexican F1 GP"	"Haas"	"18"	"16"	""
"2018"	"2018 USA F1 GP"	"Haas"	"8"	"DNF"	"Collision damage"
"2018"	"2018 Japanese F1 GP"	"Haas"	"5"	"8"	""
"2018"	"2018 Russian F1 GP"	"Haas"	"9"	"11"	""
"2018"	"2018 Singapore F1 GP"	"Haas"	"8"	"15"	""
"2018"	"2018 Italian F1 GP"	"Haas"	"6"	"DSQ"	"Floor"
"2018"	"2018 Belgian F1 GP"	"Haas"	"5"	"7"	""
"2018"	"2018 Hungarian F1 GP"	"Haas"	"10"	"10"	""
"2018"	"2018 German F1 GP"	"Haas"	"6"	"6"	""
"2018"	"2018 British F1 GP"	"Haas"	"8"	"DNF"	"Collision with Sainz"
"2018"	"2018 Austrian F1 GP"	"Haas"	"5"	"4"	""
"2018"	"2018 French F1 GP"	"Haas"	"10"	"11"	""
"2018"	"2018 Canadian F1 GP"	"Haas"	"20"	"12"	""
"2018"	"2018 Monaco F1 GP"	"Haas"	"18"	"15"	""
"2018"	"2018 Spanish F1 GP"	"Haas"	"10"	"DNF"	"Spun and collision"
"2018"	"2018 Azerbijan F1 GP"	"Haas"	"20"	"DNF"	"Spun off"
"2018"	"2018 Chinese F1 GP"	"Haas"	"10"	"17"	""
"2018"	"2018 Bahrain F1 GP"	"Haas"	"16"	"13"	""
"2018"	"2018 Australian F1 GP"	"Haas"	"6"	"DNF"	"Wheel nut"
"2017"	"2017 Abu Dhabi F1 GP"	"Haas"	"16"	"11"	""
"2017"	"2017 Brazilian F1 GP"	"Haas"	"11"	"15"	""
"2017"	"2017 Mexican F1 GP"	"Haas"	"15"	"15"	""
"2017"	"2017 USA F1 GP"	"Haas"	"12"	"14"	""
"2017"	"2017 Japanese F1 GP"	"Haas"	"13"	"9"	""
"2017"	"2017 Malaysian F1 GP"	"Haas"	"16"	"13"	""
"2017"	"2017 Singapore F1 GP"	"Haas"	"15"	"9"	""
"2017"	"2017 Italian F1 GP"	"Haas"	"20"	"15"	""
"2017"	"2017 Belgian F1 GP"	"Haas"	"11"	"7"	""
"2017"	"2017 Hungarian F1 GP"	"Haas"	"14"	"DNF"	"Wheel nut"
"2017"	"2017 British F1 GP"	"Haas"	"10"	"13"	""
"2017"	"2017 Austrian F1 GP"	"Haas"	"6"	"6"	""
"2017"	"2017 Azerbaijan F1 GP"	"Haas"	"16"	"13"	""
"2017"	"2017 Canadian F1 GP"	"Haas"	"14"	"10"	""
"2017"	"2017 Monaco F1 GP"	"Haas"	"8"	"8"	""
"2017"	"2017 Spanish F1 GP"	"Haas"	"14"	"10"	""
"2017"	"2017 Russian F1 GP"	"Haas"	"19"	"DNF"	"Collision"
"2017"	"2017 Bahrain F1 GP"	"Haas"	"9"	"8"	""
"2017"	"2017 Chinese F1 GP"	"Haas"	"19"	"11"	""
"2017"	"2017 Australian F1 GP"	"Haas"	"6"	"DNF"	"Watersystem"
"2016"	"2016 Abu Dhabi F1 GP"	"Haas"	"14"	"11"	""
"2016"	"2016 Brazilian F1 GP"	"Haas"	"7"	"DNS"	"Crashed in outlap"
"2016"	"2016 Mexican F1 GP"	"Haas"	"11"	"20"	""
"2016"	"2016 USA F1 GP"	"Haas"	"17"	"10"	""
"2016"	"2016 Japanese F1 GP"	"Haas"	"7"	"11"	""
"2016"	"2016 Malaysian F1 GP"	"Haas"	"12"	"DNF"	"Break failure"
"2016"	"2016 Singapore F1 GP"	"Haas"	"14"	"DNS"	"Brakes"
