"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1966"	"1966 Mexican F1 GP"	"Honda"	"13"	"8"	""
"1966"	"1966 USA F1 GP"	"Honda"	"18"	"DNF"	"Engine"
"1965"	"1965 Mexican F1 GP"	"Honda"	"10"	"5"	""
"1965"	"1965 USA F1 GP"	"Honda"	"12"	"13"	""
"1965"	"1965 Italian F1 GP"	"Honda"	"6"	"DNF"	"Ignition"
"1965"	"1965 French F1 GP"	"Honda"	"16"	"DNF"	"Ignition"
"1965"	"1965 Belgian F1 GP"	"Honda"	"11"	"DNF"	"Gearbox"
"1965"	"1965 Monaco F1 GP"	"Honda"	"15"	"DNF"	"Gearbox"
"1964"	"1964 USA F1 GP"	"Honda"	"14"	"DNF"	"Overheating"
"1964"	"1964 Italian F1 GP"	"Honda"	"10"	"DNF"	"Brakes"
"1964"	"1964 German F1 GP"	"Honda"	"22"	"13"	"Accident"
