"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1978"	"1978 Italian F1 GP"	"Team Lotus"	"5"	"DNF"	"Fatal Accident"
"1978"	"1978 Dutch F1 GP"	"Team Lotus"	"2"	"2"	""
"1978"	"1978 Austrian F1 GP"	"Team Lotus"	"1"	"1"	""
"1978"	"1978 German F1 GP"	"Team Lotus"	"2"	"DNF"	"Gearbox"
"1978"	"1978 British F1 GP"	"Team Lotus"	"1"	"DNF"	"Fuel System"
"1978"	"1978 French F1 GP"	"Team Lotus"	"5"	"2"	""
"1978"	"1978 Swedish F1 GP"	"Team Lotus"	"4"	"3"	""
"1978"	"1978 Spanish F1 GP"	"Team Lotus"	"2"	"2"	""
"1978"	"1978 Belgian F1 GP"	"Team Lotus"	"7"	"2"	""
"1978"	"1978 Monaco F1 GP"	"Team Lotus"	"7"	"DNF"	"Gearbox"
"1978"	"1978 USA West F1 GP"	"Team Lotus"	"6"	"4"	""
"1978"	"1978 South African F1 GP"	"Team Lotus"	"12"	"1"	""
"1978"	"1978 Brazilian F1 GP"	"Team Lotus"	"1"	"DNF"	"Collision"
"1978"	"1978 Argentine F1 GP"	"Team Lotus"	"3"	"5"	""
"1977"	"1977 Japanese F1 GP"	"Tyrrell"	"18"	"DNF"	"Accident"
"1977"	"1977 Canadian F1 GP"	"Tyrrell"	"3"	"DNF"	"Fuel Leak"
"1977"	"1977 USA F1 GP"	"Tyrrell"	"5"	"16"	""
"1977"	"1977 Italian F1 GP"	"Tyrrell"	"12"	"6"	""
"1977"	"1977 Dutch F1 GP"	"Tyrrell"	"7"	"DNF"	"Ignition"
"1977"	"1977 Austrian F1 GP"	"Tyrrell"	"15"	"5"	""
"1977"	"1977 German F1 GP"	"Tyrrell"	"14"	"9"	"Engine"
"1977"	"1977 British F1 GP"	"Tyrrell"	"16"	"DNF"	"Engine"
"1977"	"1977 French F1 GP"	"Tyrrell"	"17"	"12"	""
"1977"	"1977 Swedish F1 GP"	"Tyrrell"	"10"	"DNF"	"Ignition"
"1977"	"1977 Belgian F1 GP"	"Tyrrell"	"8"	"3"	""
"1977"	"1977 Monaco F1 GP"	"Tyrrell"	"4"	"DNF"	"Brakes"
"1977"	"1977 Spanish F1 GP"	"Tyrrell"	"15"	"8"	""
"1977"	"1977 USA West F1 GP"	"Tyrrell"	"10"	"DNF"	"Fuel System"
"1977"	"1977 South African F1 GP"	"Tyrrell"	"7"	"DNF"	"Fuel system"
"1977"	"1977 Brazilian F1 GP"	"Tyrrell"	"8"	"DNF"	"Accident"
"1977"	"1977 Argentine F1 GP"	"Tyrrell"	"14"	"DNF"	"Spun off"
"1976"	"1976 Japanese F1 GP"	"March"	"9"	"DNF"	"Engine"
"1976"	"1976 USA F1 GP"	"March"	"3"	"DNF"	"Suspension"
"1976"	"1976 Canadian F1 GP"	"March"	"2"	"9"	""
"1976"	"1976 Italian F1 GP"	"March"	"8"	"1"	""
"1976"	"1976 Dutch F1 GP"	"March"	"1"	"DNF"	"Oil Pressure"
"1976"	"1976 Austrian F1 GP"	"March"	"3"	"6"	""
"1976"	"1976 German F1 GP"	"March"	"11"	"DNF"	"Accident"
"1976"	"1976 British F1 GP"	"March"	"7"	"DNF"	"Fuel system"
"1976"	"1976 French F1 GP"	"March"	"6"	"19"	"Fuel System"
"1976"	"1976 Swedish F1 GP"	"March"	"9"	"7"	""
"1976"	"1976 Monaco F1 GP"	"March"	"0"	"DNF"	"Accident"
"1976"	"1976 Belgian F1 GP"	"March"	"10"	"DNF"	"Accident"
"1976"	"1976 Spanish F1 GP"	"March"	"16"	"DNF"	"Transmission"
"1976"	"1976 USA West F1 GP"	"March"	"6"	"10"	""
"1976"	"1976 South African F1 GP"	"March"	"13"	"DNF"	"Accident"
"1976"	"1976 Brazilian F1 GP"	"Team Lotus"	"18"	"DNF"	"Accident"
"1975"	"1975 USA F1 GP"	"Team Lotus"	"14"	"5"	""
"1975"	"1975 Italian F1 GP"	"Team Lotus"	"11"	"DNF"	"Engine"
"1975"	"1975 Austrian F1 GP"	"Team Lotus"	"13"	"5"	""
"1975"	"1975 German F1 GP"	"Team Lotus"	"18"	"DNF"	"Clutch"
"1975"	"1975 British F1 GP"	"Team Lotus"	"16"	"DNF"	"Engine"
"1975"	"1975 French F1 GP"	"Team Lotus"	"17"	"10"	""
"1975"	"1975 Dutch F1 GP"	"Team Lotus"	"16"	"15"	"Out of fuel"
"1975"	"1975 Swedish F1 GP"	"Team Lotus"	"9"	"9"	""
"1975"	"1975 Belgian F1 GP"	"Team Lotus"	"14"	"DNF"	"Brakes"
"1975"	"1975 Monaco F1 GP"	"Team Lotus"	"4"	"4"	""
"1975"	"1975 Spanish F1 GP"	"Team Lotus"	"12"	"DNF"	"Suspension"
"1975"	"1975 South African F1 GP"	"Team Lotus"	"8"	"10"	""
"1975"	"1975 Brazilian F1 GP"	"Team Lotus"	"16"	"15"	""
"1975"	"1975 Argentine F1 GP"	"Team Lotus"	"11"	"DNF"	"Engine"
"1974"	"1974 USA F1 GP"	"Team Lotus"	"19"	"DNF"	"Fuel System"
"1974"	"1974 Canadian F1 GP"	"Team Lotus"	"10"	"3"	""
"1974"	"1974 Italian F1 GP"	"Team Lotus"	"7"	"1"	""
"1974"	"1974 Austrian F1 GP"	"Team Lotus"	"6"	"DNF"	"Halfshaft"
"1974"	"1974 German F1 GP"	"Team Lotus"	"8"	"4"	""
"1974"	"1974 British F1 GP"	"Team Lotus"	"2"	"10"	""
"1974"	"1974 French F1 GP"	"Team Lotus"	"2"	"1"	""
"1974"	"1974 Dutch F1 GP"	"Team Lotus"	"10"	"8"	""
"1974"	"1974 Swedish F1 GP"	"Team Lotus"	"5"	"DNF"	"Halfshaft"
"1974"	"1974 Monaco F1 GP"	"Team Lotus"	"3"	"1"	""
"1974"	"1974 Belgian F1 GP"	"Team Lotus"	"5"	"DNF"	"Fuel Leak"
"1974"	"1974 Spanish F1 GP"	"Team Lotus"	"2"	"DNF"	"Engine"
"1974"	"1974 South African F1 GP"	"Team Lotus"	"16"	"DNF"	"Collision"
"1974"	"1974 Brazilian F1 GP"	"Team Lotus"	"4"	"6"	""
"1974"	"1974 Argentine F1 GP"	"Team Lotus"	"1"	"13"	""
"1973"	"1973 USA F1 GP"	"Team Lotus"	"1"	"1"	""
"1973"	"1973 Canadian F1 GP"	"Team Lotus"	"1"	"DNF"	"Suspension"
"1973"	"1973 Italian F1 GP"	"Team Lotus"	"1"	"1"	""
"1973"	"1973 Austrian F1 GP"	"Team Lotus"	"2"	"1"	""
"1973"	"1973 German F1 GP"	"Team Lotus"	"2"	"DNF"	"Ignition"
"1973"	"1973 Dutch F1 GP"	"Team Lotus"	"1"	"11"	"Engine"
"1973"	"1973 British F1 GP"	"Team Lotus"	"1"	"2"	""
"1973"	"1973 French F1 GP"	"Team Lotus"	"5"	"1"	""
"1973"	"1973 Swedish F1 GP"	"Team Lotus"	"1"	"2"	""
"1973"	"1973 Monaco F1 GP"	"Team Lotus"	"2"	"3"	""
"1973"	"1973 Belgian F1 GP"	"Team Lotus"	"1"	"DNF"	"Accident"
"1973"	"1973 Spanish F1 GP"	"Team Lotus"	"1"	"DNF"	"Gearbox"
"1973"	"1973 South African F1 GP"	"Team Lotus"	"4"	"11"	""
"1973"	"1973 Brazilian F1 GP"	"Team Lotus"	"1"	"DNF"	"Wheel"
"1973"	"1973 Argentine F1 GP"	"Team Lotus"	"5"	"DNF"	"Oil Pressure"
"1972"	"1972 USA F1 GP"	"March"	"26"	"4"	""
"1972"	"1972 Canadian F1 GP"	"March"	"3"	"DSQ"	"Push-start after collision"
"1972"	"1972 Italian F1 GP"	"March"	"24"	"9"	""
"1972"	"1972 Austrian F1 GP"	"March"	"11"	"12"	""
"1972"	"1972 German F1 GP"	"March"	"4"	"3"	""
"1972"	"1972 British F1 GP"	"March"	"8"	"7"	"Spun off"
"1972"	"1972 French F1 GP"	"March"	"9"	"5"	""
"1972"	"1972 Belgian F1 GP"	"March"	"14"	"9"	""
"1972"	"1972 Monaco F1 GP"	"March"	"15"	"11"	""
"1972"	"1972 Spanish F1 GP"	"March"	"9"	"DNF"	"Fuel Leak"
"1972"	"1972 South African F1 GP"	"March"	"9"	"5"	""
"1972"	"1972 Argentine F1 GP"	"March"	"10"	"6"	""
"1971"	"1971 USA F1 GP"	"March"	"11"	"3"	""
"1971"	"1971 Canadian F1 GP"	"March"	"6"	"2"	""
"1971"	"1971 Italian F1 GP"	"March"	"6"	"2"	""
"1971"	"1971 Austrian F1 GP"	"March"	"11"	"8"	""
"1971"	"1971 German F1 GP"	"March"	"7"	"5"	""
"1971"	"1971 British F1 GP"	"March"	"5"	"2"	""
"1971"	"1971 French F1 GP"	"March"	"12"	"DNF"	"Engine"
"1971"	"1971 Dutch F1 GP"	"March"	"13"	"4"	""
"1971"	"1971 Monaco F1 GP"	"March"	"8"	"2"	""
"1971"	"1971 Spanish F1 GP"	"March"	"13"	"DNF"	"Ignition"
"1971"	"1971 South African F1 GP"	"March"	"13"	"10"	""
"1970"	"1970 USA F1 GP"	"March"	"15"	"11"	""
"1970"	"1970 Canadian F1 GP"	"March"	"16"	"NC"	"Not Classified"
"1970"	"1970 Italian F1 GP"	"March"	"13"	"DNF"	"Engine"
"1970"	"1970 German F1 GP"	"March"	"19"	"DNF"	"Engine"
"1970"	"1970 British F1 GP"	"March"	"13"	"9"	""
"1970"	"1970 French F1 GP"	"March"	"9"	"DNF"	"Differential"
"1970"	"1970 Dutch F1 GP"	"March"	"16"	"9"	""
"1970"	"1970 Belgian F1 GP"	"March"	"9"	"NC"	"Not Classified"
"1970"	"1970 Monaco F1 GP"	"March"	"12"	"7"	""
"1978"	"1978 Dutch F1 GP"	"Team Lotus"	"2"	"2"	""
"1978"	"1978 Austrian F1 GP"	"Team Lotus"	"1"	"1"	""
"1978"	"1978 French F1 GP"	"Team Lotus"	"5"	"2"	""
"1978"	"1978 Swedish F1 GP"	"Team Lotus"	"4"	"3"	""
"1978"	"1978 Spanish F1 GP"	"Team Lotus"	"2"	"2"	""
"1978"	"1978 Belgian F1 GP"	"Team Lotus"	"7"	"2"	""
"1978"	"1978 South African F1 GP"	"Team Lotus"	"12"	"1"	""
"1977"	"1977 Belgian F1 GP"	"Tyrrell"	"8"	"3"	""
"1976"	"1976 Italian F1 GP"	"March"	"8"	"1"	""
"1974"	"1974 Canadian F1 GP"	"Team Lotus"	"10"	"3"	""
"1974"	"1974 Italian F1 GP"	"Team Lotus"	"7"	"1"	""
"1974"	"1974 French F1 GP"	"Team Lotus"	"2"	"1"	""
"1974"	"1974 Monaco F1 GP"	"Team Lotus"	"3"	"1"	""
"1973"	"1973 USA F1 GP"	"Team Lotus"	"1"	"1"	""
"1973"	"1973 Italian F1 GP"	"Team Lotus"	"1"	"1"	""
"1973"	"1973 Austrian F1 GP"	"Team Lotus"	"2"	"1"	""
"1973"	"1973 British F1 GP"	"Team Lotus"	"1"	"2"	""
"1973"	"1973 French F1 GP"	"Team Lotus"	"5"	"1"	""
"1973"	"1973 Swedish F1 GP"	"Team Lotus"	"1"	"2"	""
"1973"	"1973 Monaco F1 GP"	"Team Lotus"	"2"	"3"	""
"1972"	"1972 German F1 GP"	"March"	"4"	"3"	""
"1971"	"1971 USA F1 GP"	"March"	"11"	"3"	""
"1971"	"1971 Canadian F1 GP"	"March"	"6"	"2"	""
"1971"	"1971 Italian F1 GP"	"March"	"6"	"2"	""
