"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1962"	"1962 South African F1 GP"	"Lola"	"11"	"DNF"	"Fuel Leak"
"1962"	"1962 USA F1 GP"	"Lola"	"0"	"DNS"	"Car raced by Surtees"
"1962"	"1962 Italian F1 GP"	"Lola"	"13"	"DNF"	"Engine"
"1962"	"1962 German F1 GP"	"Lola"	"9"	"DNF"	"Gearbox"
"1962"	"1962 British F1 GP"	"Lola"	"11"	"DNF"	"battery"
"1962"	"1962 French F1 GP"	"Lola"	"14"	"DNF"	"Oil Pressure"
"1962"	"1962 Belgian F1 GP"	"Lola"	"0"	"WD"	"No Time"
"1962"	"1962 Monaco F1 GP"	"Lola"	"12"	"DNF"	"Suspension"
"1962"	"19625 Dutch F1 GP"	"Lola"	"17"	"DNF"	"Withdrew"
"1961"	"1961 USA F1 GP"	"Cooper-Climax"	"12"	"DNF"	"Engine"
"1961"	"1961 Italian F1 GP"	"Cooper-Climax"	"18"	"6"	""
"1961"	"1961 German F1 GP"	"Cooper-Climax"	"15"	"10"	""
"1961"	"1961 British F1 GP"	"Cooper-Climax"	"13"	"6"	""
"1961"	"1961 French F1 GP"	"Cooper-Climax"	"15"	"8"	""
"1960"	"1960 USA F1 GP"	"Cooper-Climax"	"15"	"8"	""
"1960"	"1960 British F1 GP"	"Aston Martin"	"13"	"DNF"	"Steering"
"1960"	"1960 Dutch F1 GP"	"Aston Martin"	"0"	"DNS"	"Non Starter"
"1960"	"1960 Monaco F1 GP"	"Cooper-Climax"	"12"	"DNF"	"Overheating"
"1959"	"1959 USA F1 GP"	"Cooper-Climax"	"11"	"DNF"	"Transmission"
"1959"	"1959 Italian F1 GP"	"Aston Martin"	"17"	"DNF"	"Engine"
"1959"	"1959 Portuguese F1 GP"	"Aston Martin"	"12"	"6"	""
"1959"	"1959 British F1 GP"	"Aston Martin"	"2"	"6"	""
"1959"	"1959 French F1 GP"	"Cooper-Climax"	"16"	"DNF"	"Engine"
"1959"	"1959 Dutch F1 GP"	"Aston Martin"	"13"	"DNF"	"Engine"
"1959"	"1959 Monaco F1 GP"	"Cooper-Climax"	"8"	"6"	""
"1958"	"1958 Moroccan F1 GP"	"Cooper-Climax"	"14"	"7"	""
"1958"	"1958 Italian F1 GP"	"Cooper-Climax"	"14"	"5"	""
"1958"	"1958 Portuguese F1 GP"	"Cooper-Climax"	"11"	"9"	""
"1958"	"1958 German F1 GP"	"Cooper-Climax"	"6"	"2"	""
"1958"	"1958 British F1 GP"	"Cooper-Climax"	"3"	"3"	""
"1958"	"1958 French F1 GP"	"Cooper-Climax"	"14"	"11"	""
"1958"	"1958 Belgian F1 GP"	"Cooper-Climax"	"13"	"8"	""
"1958"	"1958 Dutch F1 GP"	"Cooper-Climax"	"9"	"4"	""
"1958"	"1958 Monaco F1 GP"	"Cooper-Climax"	"4"	"DNF"	"Gearbox"
"1957"	"1957 Pescara F1 GP"	"Cooper-Climax"	"15"	"DNF"	"Accident"
"1957"	"1957 German F1 GP"	"Cooper-Climax"	"14"	"DNF"	"Suspension"
"1957"	"1957 British F1 GP"	"Cooper-Climax"	"15"	"5"	""
"1957"	"1957 French F1 GP"	"Vanwall"	"6"	"DNF"	"Engine"
"1957"	"1957 Monaco F1 GP"	"BRM"	"0"	"DNQ"	"No Time"
"1956"	"1956 Italian F1 GP"	"Maserati"	"14"	"11"	""
"1956"	"1956 German F1 GP"	"Maserati"	"9"	"DNF"	"Suspension"
"1956"	"1956 British F1 GP"	"Maserati"	"7"	"DNF"	"Fuel System"
"1955"	"1955 British F1 GP"	"Maserati"	"20"	"DNF"	"Gearbox"
"1954"	"1954 British F1 GP"	"Maserati"	"7"	"DNF"	"Transmission"
"1954"	"1954 French F1 GP"	"Maserati"	"10"	"DNF"	"Half Shaft"
"1953"	"1953 Italian F1 GP"	"Connaught"	"14"	"DNF"	"Throttle"
"1953"	"1953 German F1 GP"	"Connaught"	"13"	"DNF"	"Engine"
"1953"	"1953 British F1 GP"	"Connaught"	"28"	"DNF"	"Wheel"
"1953"	"1953 French F1 GP"	"Connaught"	"19"	"DNF"	"Ignition"
"1953"	"1953 Dutch F1 GP"	"Connaught"	"11"	"DNF"	"Engine"
"1952"	"1952 British F1 GP"	"Ferrari"	"19"	"8"	""
"1958"	"1958 German F1 GP"	"Cooper-Climax"	"6"	"2"	""
"1958"	"1958 British F1 GP"	"Cooper-Climax"	"3"	"3"	""
