"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"2011"	"2011 Brazilian F1 GP"	"Williams"	"12"	"14"	""
"2011"	"2011 Abu Dhabi F1 GP"	"Williams"	"24"	"12"	""
"2011"	"2011 Indian F1 GP"	"Williams"	"15"	"15"	""
"2011"	"2011 Korean F1 GP"	"Williams"	"18"	"12"	""
"2011"	"2011 Japanese F1 GP"	"Williams"	"13"	"17"	""
"2011"	"2011 Singapore F1 GP"	"Williams"	"12"	"13"	""
"2011"	"2011 Italian F1 GP"	"Williams"	"13"	"12"	""
"2011"	"2011 Belgian F1 GP"	"Williams"	"14"	"16"	""
"2011"	"2011 Hungarian F1 GP"	"Williams"	"15"	"13"	""
"2011"	"2011 German F1 GP"	"Williams"	"14"	"DNF"	"Engine"
"2011"	"2011 British F1 GP"	"Williams"	"15"	"13"	""
"2011"	"2011 European F1 GP"	"Williams"	"13"	"12"	""
"2011"	"2011 Canadian F1 GP"	"Williams"	"16"	"9"	""
"2011"	"2011 Monaco F1 GP"	"Williams"	"11"	"9"	""
"2011"	"2011 Spanish F1 GP"	"Williams"	"19"	"17"	""
"2011"	"2011 Turkish F1 GP"	"Williams"	"11"	"15"	""
"2011"	"2011 Chinese F1 GP"	"Williams"	"15"	"13"	""
"2011"	"2011 Malaysian F1 GP"	"Williams"	"15"	"DNF"	"Hydraulics"
"2011"	"2011 Australian F1 GP"	"Williams"	"17"	"DNF"	"Transmission"
"2010"	"2010 Abu Dhabi F1 GP"	"Williams"	"7"	"12"	""
"2010"	"2010 Brazilian F1 GP"	"Williams"	"6"	"14"	""
"2010"	"2010 Korean F1 GP"	"Williams"	"10"	"7"	""
"2010"	"2010 Japanese F1 GP"	"Williams"	"7"	"9"	""
"2010"	"2010 Singapore F1 GP"	"Williams"	"6"	"6"	""
"2010"	"2010 Italian F1 GP"	"Williams"	"10"	"10"	""
"2010"	"2010 Belgian F1 GP"	"Williams"	"7"	"DNF"	"Collision"
"2010"	"2010 Hungarian F1 GP"	"Williams"	"12"	"10"	""
"2010"	"2010 German F1 GP"	"Williams"	"8"	"12"	""
"2010"	"2010 British F1 GP"	"Williams"	"8"	"5"	""
"2010"	"2010 European F1 GP"	"Williams"	"9"	"4"	""
"2010"	"2010 Canadian F1 GP"	"Williams"	"11"	"14"	""
"2010"	"2010 Turkish F1 GP"	"Williams"	"15"	"14"	""
"2010"	"2010 Monaco F1 GP"	"Williams"	"9"	"DNF"	"Accident - Manhole cover"
"2010"	"2010 Spanish F1 GP"	"Williams"	"17"	"9"	""
"2010"	"2010 Chinese F1 GP"	"Williams"	"11"	"12"	""
"2010"	"2010 Malaysian F1 GP"	"Williams"	"7"	"12"	""
"2010"	"2010 Australian F1 GP"	"Williams"	"8"	"8"	""
"2010"	"2010 Bahrain F1 GP"	"Williams"	"11"	"10"	""
"2009"	"2009 Abu Dhabi F1 GP"	"Brawn"	"4"	"4"	""
"2009"	"2009 Brazilian F1 GP"	"Brawn"	"1"	"8"	""
"2009"	"2009 Japanese F1 GP"	"Brawn"	"6"	"7"	""
"2009"	"2009 Singapore F1 GP"	"Brawn"	"9"	"6"	""
"2009"	"2009 Italian F1 GP"	"Brawn"	"5"	"1"	""
"2009"	"2009 Belgian F1 GP"	"Brawn"	"4"	"7"	""
"2009"	"2009 European F1 GP"	"Brawn"	"3"	"1"	""
"2009"	"2009 Hungarian F1 GP"	"Brawn"	"12"	"10"	""
"2009"	"2009 German F1 GP"	"Brawn"	"2"	"6"	""
"2009"	"2009 British F1 GP"	"Brawn"	"2"	"3"	""
"2009"	"2009 Turkish F1 GP"	"Brawn"	"3"	"DNF"	"Gearbox"
"2009"	"2009 Monaco F1 GP"	"Brawn"	"3"	"2"	""
"2009"	"2009 Spanish F1 GP"	"Brawn"	"3"	"2"	""
"2009"	"2009 Bahrain F1 GP"	"Brawn"	"6"	"5"	""
"2009"	"2009 Chinese F1 GP"	"Brawn"	"4"	"4"	""
"2009"	"2009 Malaysian F1 GP"	"Brawn"	"8"	"5"	""
"2009"	"2009 Australian F1 GP"	"Brawn"	"2"	"2"	""
"2008"	"2008 Brazilian F1 GP"	"Honda"	"15"	"15"	""
"2008"	"2008 Chinese F1 GP"	"Honda"	"13"	"11"	""
"2008"	"2008 Japanese F1 GP"	"Honda"	"17"	"13"	""
"2008"	"2008 Singapore F1 GP"	"Honda"	"18"	"DNF"	"Engine"
"2008"	"2008 Italian F1 GP"	"Honda"	"16"	"17"	""
"2008"	"2008 Belgian F1 GP"	"Honda"	"16"	"DNF"	"Gearbox"
"2008"	"2008 European F1 GP"	"Honda"	"19"	"16"	""
"2008"	"2008 Hungarian F1 GP"	"Honda"	"17"	"16"	""
"2008"	"2008 German F1 GP"	"Honda"	"18"	"DNF"	"Collision"
"2008"	"2008 British F1 GP"	"Honda"	"16"	"3"	""
"2008"	"2008 French F1 GP"	"Honda"	"20"	"14"	""
"2008"	"2008 Canadian F1 GP"	"Honda"	"9"	"7"	""
"2008"	"2008 Monaco F1 GP"	"Honda"	"14"	"6"	""
"2008"	"2008 Turkish F1 GP"	"Honda"	"12"	"14"	""
"2008"	"2008 Spanish F1 GP"	"Honda"	"11"	"DNF"	"Front wing"
"2008"	"2008 Bahrain F1 GP"	"Honda"	"12"	"11"	""
"2008"	"2008 Malaysian F1 GP"	"Honda"	"14"	"13"	""
"2008"	"2008 Australian F1 GP"	"Honda"	"10"	"DSQ"	"Disqualified"
"2007"	"2007 Brazilian F1 GP"	"Honda"	"11"	"DNF"	"Engine"
"2007"	"2007 Chinese F1 GP"	"Honda"	"16"	"15"	""
"2007"	"2007 Japanese F1 GP"	"Honda"	"17"	"10"	""
"2007"	"2007 Belgian F1 GP"	"Honda"	"17"	"13"	""
"2007"	"2007 Italian F1 GP"	"Honda"	"12"	"10"	""
"2007"	"2007 Turkish F1 GP"	"Honda"	"22"	"17"	""
"2007"	"2007 Hungarian F1 GP"	"Honda"	"18"	"18"	""
"2007"	"2007 European F1 GP"	"Honda"	"14"	"11"	""
"2007"	"2007 British F1 GP"	"Honda"	"14"	"9"	""
"2007"	"2007 French F1 GP"	"Honda"	"13"	"11"	""
"2007"	"2007 USA F1 GP"	"Honda"	"15"	"DNF"	"Collision"
"2007"	"2007 Canadian F1 GP"	"Honda"	"13"	"12"	""
"2007"	"2007 Monaco F1 GP"	"Honda"	"9"	"10"	""
"2007"	"2007 Spanish F1 GP"	"Honda"	"12"	"10"	""
"2007"	"2007 Bahrain F1 GP"	"Honda"	"15"	"13"	""
"2007"	"2007 Malaysian F1 GP"	"Honda"	"22"	"11"	""
"2007"	"2007 Australian F1 GP"	"Honda"	"16"	"11"	""
"2006"	"2006 Brazilian F1 GP"	"Honda"	"5"	"7"	""
"2006"	"2006 Japanese F1 GP"	"Honda"	"8"	"12"	""
"2006"	"2006 Chinese F1 GP"	"Honda"	"3"	"6"	""
