"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1982"	"1982 Caesars Palace F1 GP"	"March"	"25"	"12"	""
"1982"	"1982 Italian F1 GP"	"March"	"0"	"DNQ"	"No Time"
"1982"	"1982 Swiss F1 GP"	"March"	"22"	"DNF"	"Spun Off"
"1982"	"1982 Austrian F1 GP"	"March"	"24"	"DNF"	"Steering"
"1982"	"1982 German F1 GP"	"March"	"0"	"DNQ"	"No Time"
"1980"	"1980 USA F1 GP"	"Williams"	"15"	"9"	""
"1980"	"1980 Canadian F1 GP"	"Williams"	"0"	"DNQ"	"No Time"
"1980"	"1980 Italian F1 GP"	"Williams"	"21"	"11"	""
"1980"	"1980 Dutch F1 GP"	"Williams"	"0"	"DNQ"	"No Time"
"1980"	"1980 Austrian F1 GP"	"Williams"	"20"	"15"	""
"1980"	"1980 German F1 GP"	"Williams"	"0"	"DNQ"	"No Time"
"1980"	"1980 British F1 GP"	"Williams"	"18"	"11"	""
"1978"	"1978 Dutch F1 GP"	"Surtees"	"0"	"DNS"	"Injury Broken Hand"
"1978"	"1978 Austrian F1 GP"	"Surtees"	"0"	"DNQ"	"No Time"
"1978"	"1978 German F1 GP"	"Surtees"	"0"	"DNQ"	"No Time"
"1978"	"1978 British F1 GP"	"Surtees"	"0"	"DNQ"	"No Time"
"1978"	"1978 French F1 GP"	"Surtees"	"23"	"DNF"	"Engine"
"1978"	"1978 Swedish F1 GP"	"Surtees"	"0"	"DNQ"	"No Time"
"1978"	"1978 Spanish F1 GP"	"Surtees"	"23"	"11"	""
"1978"	"1978 Belgian F1 GP"	"Surtees"	"0"	"DNQ"	"No Time"
"1978"	"1978 Monaco F1 GP"	"Surtees"	"18"	"DNF"	"Transmission"
"1978"	"1978 USA West F1 GP"	"Surtees"	"0"	"DNS"	"Practice Accident"
"1978"	"1978 South African F1 GP"	"Surtees"	"23"	"DNF"	"Engine"
"1978"	"1978 Brazilian F1 GP"	"Surtees"	"24"	"DNF"	"Accident"
"1978"	"1978 Argentine F1 GP"	"Surtees"	"19"	"DNF"	"Overheating"
"1977"	"1977 Canadian F1 GP"	"Hesketh"	"25"	"DNF"	"Accident"
"1977"	"1977 USA F1 GP"	"Hesketh"	"20"	"8"	""
"1977"	"1977 Italian F1 GP"	"Hesketh"	"23"	"9"	""
"1977"	"1977 Dutch F1 GP"	"Hesketh"	"26"	"DNF"	"Accident"
"1977"	"1977 Austrian F1 GP"	"Hesketh"	"20"	"7"	""
"1977"	"1977 German F1 GP"	"Hesketh"	"23"	"DNF"	"Accident"
"1977"	"1977 British F1 GP"	"Hesketh"	"13"	"DNF"	"Accident"
"1977"	"1977 French F1 GP"	"Hesketh"	"14"	"10"	""
"1977"	"1977 Swedish F1 GP"	"Hesketh"	"24"	"13"	""
"1977"	"1977 Belgian F1 GP"	"Hesketh"	"19"	"DNF"	"Accident"
"1977"	"1977 Monaco F1 GP"	"Hesketh"	"20"	"12"	""
"1977"	"1977 Spanish F1 GP"	"Hesketh"	"16"	"DNF"	"Accident"
