"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"2010"	"2010 Korean F1 GP"	"HRT"	"23"	"15"	""
"2010"	"2010 Japanese F1 GP"	"HRT"	"24"	"16"	""
"2010"	"2010 Italian F1 GP"	"HRT"	"23"	"19"	""
"2010"	"2010 Belgian F1 GP"	"HRT"	"19"	"20"	""
"2010"	"2010 Hungarian F1 GP"	"HRT"	"24"	"19"	""
"2010"	"2010 German F1 GP"	"HRT"	"22"	"DNF"	"Gearbox"
"2010"	"2010 British F1 GP"	"HRT"	"24"	"20"	""
"2007"	"2007 Brazilian F1 GP"	"Spyker"	"22"	"DNF"	"Collision"
"2007"	"2007 Chinese F1 GP"	"Spyker"	"22"	"17"	""
"2007"	"2007 Japanese F1 GP"	"Spyker"	"22"	"12"	""
"2007"	"2007 Belgian F1 GP"	"Spyker"	"21"	"17"	""
"2007"	"2007 Italian F1 GP"	"Spyker"	"22"	"20"	""
"2007"	"2007 Turkish F1 GP"	"Spyker"	"20"	"20"	""
"2007"	"2007 Hungarian F1 GP"	"Spyker"	"22"	"DNF"	"Accident"
"2006"	"2006 Brazilian F1 GP"	"Super Aguri"	"20"	"16"	""
"2006"	"2006 Japanese F1 GP"	"Super Aguri"	"22"	"17"	""
"2006"	"2006 Chinese F1 GP"	"Super Aguri"	"19"	"16"	""
"2006"	"2006 Italian F1 GP"	"Super Aguri"	"22"	"DNF"	"Hydraulics"
"2006"	"2006 Turkish F1 GP"	"Super Aguri"	"20"	"DNF"	"Spin"
"2006"	"2006 Hungarian F1 GP"	"Super Aguri"	"21"	"DNF"	"Engine"
"2006"	"2006 German F1 GP"	"Super Aguri"	"22"	"DNF"	"Driveshaft"
