"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1957"	"1957 Indianapolis 500"	"Epperly"	"13"	"1"	""
"1956"	"1956 Indianapolis 500"	"Kurtis Kraft"	"13"	"2"	""
"1955"	"1955 Indianapolis 500"	"Kurtis Kraft"	"6"	"19"	"Transmission"
"1954"	"1954 Indianapolis 500"	"Kurtis Kraft"	"27"	"11"	""
"1954"	"1954 Indianapolis 500"	"Kurtis Kraft"	"10"	"20"	"Spun Off"
"1953"	"1953 Indianapolis 500"	"Kurtis Kraft"	"9"	"3"	""
"1952"	"1952 Indianapolis 500"	"Kurtis Kraft"	"5"	"3"	""
"1951"	"1951 Indianapolis 500"	"Kurtis Kraft"	"12"	"12"	"Engine"
"1950"	"1950 Indianapolis 500"	"Kurtis Kraft"	"25"	"30"	"Oil Pressure"
"1957"	"1957 Indianapolis 500"	"Epperly"	"13"	"1"	""
"1956"	"1956 Indianapolis 500"	"Kurtis Kraft"	"13"	"2"	""
"1953"	"1953 Indianapolis 500"	"Kurtis Kraft"	"9"	"3"	""
"1952"	"1952 Indianapolis 500"	"Kurtis Kraft"	"5"	"3"	""
