"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"2007"	"2007 European F1 GP"	"Toro Rosso"	"18"	"DNF"	"Spun off"
"2007"	"2007 British F1 GP"	"Toro Rosso"	"15"	"DNF"	"Accident"
"2007"	"2007 French F1 GP"	"Toro Rosso"	"15"	"DNF"	"Gearbox"
"2007"	"2007 USA F1 GP"	"Toro Rosso"	"20"	"13"	""
"2007"	"2007 Canadian F1 GP"	"Toro Rosso"	"16"	"DNF"	"Accident"
"2007"	"2007 Monaco F1 GP"	"Toro Rosso"	"18"	"9"	""
"2007"	"2007 Spanish F1 GP"	"Toro Rosso"	"22"	"DNF"	"Tyre"
"2007"	"2007 Bahrain F1 GP"	"Toro Rosso"	"19"	"DNF"	"Collision"
"2007"	"2007 Malaysian F1 GP"	"Toro Rosso"	"17"	"14"	""
"2007"	"2007 Australian F1 GP"	"Toro Rosso"	"17"	"DNF"	"Puncture"
"2006"	"2006 Brazilian F1 GP"	"Toro Rosso"	"16"	"11"	""
"2006"	"2006 Japanese F1 GP"	"Toro Rosso"	"19"	"18"	"Steering"
"2006"	"2006 Chinese F1 GP"	"Toro Rosso"	"11"	"14"	""
"2006"	"2006 Italian F1 GP"	"Toro Rosso"	"15"	"13"	""
"2006"	"2006 Turkish F1 GP"	"Toro Rosso"	"17"	"13"	""
"2006"	"2006 Hungarian F1 GP"	"Toro Rosso"	"20"	"11"	""
"2006"	"2006 German F1 GP"	"Toro Rosso"	"19"	"12"	""
"2006"	"2006 French F1 GP"	"Toro Rosso"	"14"	"10"	""
"2006"	"2006 USA F1 GP"	"Toro Rosso"	"13"	"DNF"	"Accident"
"2006"	"2006 Canadian F1 GP"	"Toro Rosso"	"17"	"10"	""
"2006"	"2006 British F1 GP"	"Toro Rosso"	"15"	"DNF"	"Accident damage"
"2006"	"2006 Monaco F1 GP"	"Toro Rosso"	"18"	"13"	""
"2006"	"2006 Spanish F1 GP"	"Toro Rosso"	"16"	"DNF"	"Engine"
"2006"	"2006 European F1 GP"	"Toro Rosso"	"17"	"11"	""
"2006"	"2006 San Marino F1 GP"	"Toro Rosso"	"18"	"15"	""
"2006"	"2006 Australian F1 GP"	"Toro Rosso"	"18"	"9"	""
"2006"	"2006 Malaysian F1 GP"	"Toro Rosso"	"12"	"DNF"	"Clutch"
"2006"	"2006 Bahrain F1 GP"	"Toro Rosso"	"16"	"13"	""
