"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"2009"	"2009 German F1 GP"	"Toro Rosso"	"19"	"DNF"	"Hydraulics"
"2009"	"2009 British F1 GP"	"Toro Rosso"	"17"	"DNF"	"Collision damage"
"2009"	"2009 Turkish F1 GP"	"Toro Rosso"	"20"	"18"	""
"2009"	"2009 Monaco F1 GP"	"Toro Rosso"	"14"	"8"	""
"2009"	"2009 Spanish F1 GP"	"Toro Rosso"	"17"	"DNF"	"Collision"
"2009"	"2009 Bahrain F1 GP"	"Toro Rosso"	"20"	"13"	""
"2009"	"2009 Chinese F1 GP"	"Toro Rosso"	"15"	"11"	""
"2009"	"2009 Malaysian F1 GP"	"Toro Rosso"	"15"	"10"	""
"2009"	"2009 Australian F1 GP"	"Toro Rosso"	"17"	"8"	""
"2008"	"2008 Brazilian F1 GP"	"Toro Rosso"	"9"	"14"	""
"2008"	"2008 Chinese F1 GP"	"Toro Rosso"	"8"	"13"	""
"2008"	"2008 Japanese F1 GP"	"Toro Rosso"	"10"	"10"	""
"2008"	"2008 Singapore F1 GP"	"Toro Rosso"	"17"	"12"	""
"2008"	"2008 Italian F1 GP"	"Toro Rosso"	"4"	"18"	""
"2008"	"2008 Belgian F1 GP"	"Toro Rosso"	"9"	"7"	""
"2008"	"2008 European F1 GP"	"Toro Rosso"	"10"	"10"	""
"2008"	"2008 Hungarian F1 GP"	"Toro Rosso"	"19"	"18"	""
"2008"	"2008 German F1 GP"	"Toro Rosso"	"15"	"12"	""
"2008"	"2008 British F1 GP"	"Toro Rosso"	"13"	"11"	""
"2008"	"2008 French F1 GP"	"Toro Rosso"	"14"	"17"	""
"2008"	"2008 Canadian F1 GP"	"Toro Rosso"	"18"	"13"	""
"2008"	"2008 Monaco F1 GP"	"Toro Rosso"	"16"	"DNF"	"Collision"
"2008"	"2008 Turkish F1 GP"	"Toro Rosso"	"18"	"DNF"	"Suspension"
"2008"	"2008 Spanish F1 GP"	"Toro Rosso"	"16"	"DNF"	"Collision"
"2008"	"2008 Bahrain F1 GP"	"Toro Rosso"	"15"	"15"	""
"2008"	"2008 Malaysian F1 GP"	"Toro Rosso"	"18"	"DNF"	"Spun off"
"2008"	"2008 Australian F1 GP"	"Toro Rosso"	"17"	"7"	"Engine"
