"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"2011"	"2011 Brazilian F1 GP"	"Toro Rosso"	"14"	"12"	""
"2011"	"2011 Abu Dhabi F1 GP"	"Toro Rosso"	"13"	"DNF"	"Hydraulics"
"2011"	"2011 Indian F1 GP"	"Toro Rosso"	"9"	"DNF"	"Technical"
"2011"	"2011 Korean F1 GP"	"Toro Rosso"	"13"	"9"	""
"2011"	"2011 Japanese F1 GP"	"Toro Rosso"	"15"	"DNF"	"Wheel"
"2011"	"2011 Singapore F1 GP"	"Toro Rosso"	"14"	"12"	""
"2011"	"2011 Italian F1 GP"	"Toro Rosso"	"16"	"10"	""
"2011"	"2011 Belgian F1 GP"	"Toro Rosso"	"11"	"DNF"	"Collision damage"
"2011"	"2011 Hungarian F1 GP"	"Toro Rosso"	"23"	"8"	""
"2011"	"2011 German F1 GP"	"Toro Rosso"	"24"	"15"	""
"2011"	"2011 British F1 GP"	"Toro Rosso"	"19"	"DNF"	"Collision"
"2011"	"2011 European F1 GP"	"Toro Rosso"	"17"	"13"	""
"2011"	"2011 Canadian F1 GP"	"Toro Rosso"	"15"	"10"	""
"2011"	"2011 Monaco F1 GP"	"Toro Rosso"	"16"	"10"	""
"2011"	"2011 Spanish F1 GP"	"Toro Rosso"	"11"	"14"	""
"2011"	"2011 Turkish F1 GP"	"Toro Rosso"	"16"	"9"	""
"2011"	"2011 Chinese F1 GP"	"Toro Rosso"	"9"	"14"	""
"2011"	"2011 Malaysian F1 GP"	"Toro Rosso"	"12"	"13"	""
"2011"	"2011 Australian F1 GP"	"Toro Rosso"	"10"	"8"	""
"2010"	"2010 Abu Dhabi F1 GP"	"Toro Rosso"	"18"	"15"	""
"2010"	"2010 Brazilian F1 GP"	"Toro Rosso"	"19"	"13"	""
"2010"	"2010 Korean F1 GP"	"Toro Rosso"	"16"	"DNF"	"Collision"
"2010"	"2010 Japanese F1 GP"	"Toro Rosso"	"18"	"10"	""
"2010"	"2010 Singapore F1 GP"	"Toro Rosso"	"13"	"14"	""
"2010"	"2010 Italian F1 GP"	"Toro Rosso"	"14"	"11"	""
"2010"	"2010 Belgian F1 GP"	"Toro Rosso"	"16"	"12"	""
"2010"	"2010 Hungarian F1 GP"	"Toro Rosso"	"15"	"12"	""
"2010"	"2010 German F1 GP"	"Toro Rosso"	"16"	"DNF"	"Collision"
"2010"	"2010 British F1 GP"	"Toro Rosso"	"16"	"12"	""
"2010"	"2010 European F1 GP"	"Toro Rosso"	"11"	"9"	""
"2010"	"2010 Canadian F1 GP"	"Toro Rosso"	"15"	"8"	""
"2010"	"2010 Turkish F1 GP"	"Toro Rosso"	"14"	"16"	""
"2010"	"2010 Monaco F1 GP"	"Toro Rosso"	"13"	"10"	""
"2010"	"2010 Spanish F1 GP"	"Toro Rosso"	"14"	"DNF"	"Hydraulics"
"2010"	"2010 Chinese F1 GP"	"Toro Rosso"	"13"	"DNF"	"Collision"
"2010"	"2010 Malaysian F1 GP"	"Toro Rosso"	"13"	"11"	""
"2010"	"2010 Australian F1 GP"	"Toro Rosso"	"12"	"DNF"	"Collision"
"2010"	"2010 Bahrain F1 GP"	"Toro Rosso"	"15"	"16"	"Electrics"
"2009"	"2009 Abu Dhabi F1 GP"	"Toro Rosso"	"10"	"8"	""
"2009"	"2009 Brazilian F1 GP"	"Toro Rosso"	"6"	"7"	""
"2009"	"2009 Japanese F1 GP"	"Toro Rosso"	"13"	"DNF"	"Clutch"
"2009"	"2009 Singapore F1 GP"	"Toro Rosso"	"13"	"DNF"	"Gearbox"
"2009"	"2009 Italian F1 GP"	"Toro Rosso"	"19"	"13"	"Retired"
"2009"	"2009 Belgian F1 GP"	"Toro Rosso"	"16"	"12"	""
"2009"	"2009 European F1 GP"	"Toro Rosso"	"15"	"DNF"	"Brakes"
"2009"	"2009 Hungarian F1 GP"	"Toro Rosso"	"10"	"16"	""
"2009"	"2009 German F1 GP"	"Toro Rosso"	"17"	"16"	""
"2009"	"2009 British F1 GP"	"Toro Rosso"	"20"	"18"	""
"2009"	"2009 Turkish F1 GP"	"Toro Rosso"	"18"	"15"	""
"2009"	"2009 Monaco F1 GP"	"Toro Rosso"	"11"	"DNF"	"Collision"
"2009"	"2009 Spanish F1 GP"	"Toro Rosso"	"15"	"DNF"	"Collision"
"2009"	"2009 Bahrain F1 GP"	"Toro Rosso"	"16"	"17"	""
"2009"	"2009 Chinese F1 GP"	"Toro Rosso"	"10"	"8"	""
"2009"	"2009 Malaysian F1 GP"	"Toro Rosso"	"20"	"16"	"Spun off"
"2009"	"2009 Australian F1 GP"	"Toro Rosso"	"13"	"7"	""
