"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"2018"	"2018 Abu Dhabi F1 GP"	"Williams"	"19"	"15"	""
"2018"	"2018 Brazilian F1 GP"	"Williams"	"14"	"16"	""
"2018"	"2018 Mexican F1 GP"	"Williams"	"19"	"13"	""
"2018"	"2018 USA F1 GP"	"Williams"	"14"	"13"	""
"2018"	"2018 Japanese F1 GP"	"Williams"	"17"	"16"	""
"2018"	"2018 Russian F1 GP"	"Williams"	"13"	"18"	""
"2018"	"2018 Singapore F1 GP"	"Williams"	"19"	"19"	""
"2018"	"2018 Italian F1 GP"	"Williams"	"12"	"10"	""
"2018"	"2018 Belgian F1 GP"	"Williams"	"15"	"12"	""
"2018"	"2018 Hungarian F1 GP"	"Williams"	"19"	"16"	""
"2018"	"2018 German F1 GP"	"Williams"	"12"	"DNF"	"Oil leak"
"2018"	"2018 British F1 GP"	"Williams"	"18"	"14"	""
"2018"	"2018 Austrian F1 GP"	"Williams"	"16"	"13"	""
"2018"	"2018 French F1 GP"	"Williams"	"18"	"15"	""
"2018"	"2018 Canadian F1 GP"	"Williams"	"18"	"17"	""
"2018"	"2018 Monaco F1 GP"	"Williams"	"13"	"16"	""
"2018"	"2018 Spanish F1 GP"	"Williams"	"19"	"14"	""
"2018"	"2018 Azerbijan F1 GP"	"Williams"	"11"	"DNF"	"Collision"
"2018"	"2018 Chinese F1 GP"	"Williams"	"16"	"15"	""
"2018"	"2018 Bahrain F1 GP"	"Williams"	"19"	"15"	""
"2018"	"2018 Australian F1 GP"	"Williams"	"19"	"DNF"	"Brakes"
