"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1971"	"1971 Italian F1 GP"	"Bellasi"	"22"	"DNF"	"Suspension"
"1970"	"1970 Italian F1 GP"	"Bellasi"	"0"	"DNQ"	"No Time"
"1970"	"1970 Austrian F1 GP"	"Bellasi"	"24"	"DNF"	"Radiator"
"1970"	"1970 German F1 GP"	"Bellasi"	"0"	"DNQ"	"No Time"
"1970"	"1970 French F1 GP"	"Bellasi"	"0"	"DNQ"	"No Time"
"1970"	"1970 Dutch F1 GP"	"Bellasi"	"0"	"DNQ"	"No Time"
"1969"	"1969 Mexican F1 GP"	"Brabham"	"13"	"11"	"Fuel Leak"
"1969"	"1969 USA F1 GP"	"Brabham"	"17"	"6"	""
"1969"	"1969 Canadian F1 GP"	"Brabham"	"20"	"DNF"	"Accident"
"1969"	"1969 Italian F1 GP"	"Brabham"	"13"	"DNF"	"Fuel Leak"
"1969"	"1969 French F1 GP"	"Brabham"	"13"	"7"	""
"1969"	"1969 Dutch F1 GP"	"Brabham"	"14"	"DNF"	"Ignition"
"1969"	"1969 Monaco F1 GP"	"Brabham"	"15"	"DNF"	"Halfshaft"
"1968"	"1968 Italian F1 GP"	"Brabham"	"0"	"DNQ"	"No Time"
"1968"	"1968 British F1 GP"	"Brabham"	"19"	"NC"	"Not Classified"
"1968"	"1968 Dutch F1 GP"	"Brabham"	"7"	"5"	""
"1967"	"1967 British F1 GP"	"Cooper-Climax"	"20"	"DNF"	"Oil Pressure"
