"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1982"	"1982 USA West F1 GP"	"Tyrrell"	"24"	"10"	""
"1982"	"1982 Brazilian F1 GP"	"Tyrrell"	"21"	"7"	""
"1982"	"1982 South African F1 GP"	"Tyrrell"	"23"	"16"	""
"1981"	"1981 Caesars Palace F1 GP"	"ATS"	"0"	"DNQ"	"No Time"
"1981"	"1981 Canadian F1 GP"	"ATS"	"21"	"DNF"	"Spun Off"
"1981"	"1981 Italian F1 GP"	"ATS"	"21"	"DNF"	"Spun Off"
"1981"	"1981 Dutch F1 GP"	"ATS"	"23"	"10"	""
"1981"	"1981 Austrian F1 GP"	"ATS"	"21"	"DNF"	"Brakes"
"1981"	"1981 German F1 GP"	"ATS"	"28"	"DNF"	"Engine"
"1981"	"1981 British F1 GP"	"ATS"	"21"	"6"	""
"1981"	"1981 French F1 GP"	"ATS"	"0"	"DNQ"	"No Time"
"1981"	"1981 Spanish F1 GP"	"ATS"	"0"	"DNQ"	"No Time"
"1981"	"1981 Monaco F1 GP"	"ATS"	"0"	"DNQ"	"No Time"
"1981"	"1981 Belgian F1 GP"	"ATS"	"0"	"DNQ"	"No Time"
"1981"	"1981 San Marino F1 GP"	"ATS"	"24"	"13"	""
