"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"2018"	"2018 Abu Dhabi F1 GP"	"McLaren"	"18"	"14"	""
"2018"	"2018 Brazilian F1 GP"	"McLaren"	"20"	"15"	""
"2018"	"2018 Mexican F1 GP"	"McLaren"	"15"	"8"	""
"2018"	"2018 USA F1 GP"	"McLaren"	"17"	"11"	""
"2018"	"2018 Japanese F1 GP"	"McLaren"	"19"	"15"	""
"2018"	"2018 Russian F1 GP"	"McLaren"	"15"	"16"	""
"2018"	"2018 Singapore F1 GP"	"McLaren"	"18"	"12"	""
"2018"	"2018 Italian F1 GP"	"McLaren"	"17"	"12"	""
"2018"	"2018 Belgian F1 GP"	"McLaren"	"20"	"15"	""
"2018"	"2018 Hungarian F1 GP"	"McLaren"	"15"	"DNF"	"Gearbox"
"2018"	"2018 German F1 GP"	"McLaren"	"18"	"13"	""
"2018"	"2018 British F1 GP"	"McLaren"	"17"	"11"	""
"2018"	"2018 Austrian F1 GP"	"McLaren"	"14"	"15"	"Gearbox"
"2018"	"2018 French F1 GP"	"McLaren"	"17"	"12"	""
"2018"	"2018 Canadian F1 GP"	"McLaren"	"15"	"16"	""
"2018"	"2018 Monaco F1 GP"	"McLaren"	"12"	"14"	""
"2018"	"2018 Spanish F1 GP"	"McLaren"	"11"	"DNF"	"Gearbox"
"2018"	"2018 Azerbijan F1 GP"	"McLaren"	"16"	"9"	""
"2018"	"2018 Chinese F1 GP"	"McLaren"	"14"	"13"	""
"2018"	"2018 Bahrain F1 GP"	"McLaren"	"14"	"8"	""
"2018"	"2018 Australian F1 GP"	"McLaren"	"11"	"9"	""
"2017"	"2017 Abu Dhabi F1 GP"	"McLaren"	"13"	"12"	""
"2017"	"2017 Brazilian F1 GP"	"McLaren"	"12"	"DNF"	"Collision damage"
"2017"	"2017 Mexican F1 GP"	"McLaren"	"19"	"12"	""
"2017"	"2017 USA F1 GP"	"McLaren"	"20"	"12"	""
"2017"	"2017 Japanese F1 GP"	"McLaren"	"9"	"14"	""
"2017"	"2017 Malaysian F1 GP"	"McLaren"	"7"	"7"	""
"2017"	"2017 Singapore F1 GP"	"McLaren"	"9"	"7"	""
"2017"	"2017 Italian F1 GP"	"McLaren"	"18"	"DNF"	"Power unit"
"2017"	"2017 Belgian F1 GP"	"McLaren"	"20"	"14"	""
"2017"	"2017 Hungarian F1 GP"	"McLaren"	"8"	"10"	""
"2017"	"2017 British F1 GP"	"McLaren"	"8"	"11"	""
"2017"	"2017 Austrian F1 GP"	"McLaren"	"13"	"12"	""
"2017"	"2017 Azerbaijan F1 GP"	"McLaren"	"12"	"12"	""
"2017"	"2017 Canadian F1 GP"	"McLaren"	"16"	"14"	""
"2017"	"2017 Monaco F1 GP"	"McLaren"	"12"	"DNF"	"Crashed"
"2017"	"2017 Spanish F1 GP"	"McLaren"	"19"	"DNF"	"Power Unit"
"2017"	"2017 Russian F1 GP"	"McLaren"	"20"	"14"	""
"2017"	"2017 Bahrain F1 GP"	"McLaren"	"17"	"DNS"	"Engine"
"2017"	"2017 Chinese F1 GP"	"McLaren"	"15"	"DNF"	"Fuel problem"
"2017"	"2017 Australian F1 GP"	"McLaren"	"18"	"13"	""
"2016"	"2016 Bahrain F1 GP"	"McLaren"	"12"	"10"	""
