"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1995"	"1995 Australian F1 GP"	"Footwork"	"19"	"DNF"	"Spun off"
"1995"	"1995 Japanese F1 GP"	"Footwork"	"18"	"12"	""
"1995"	"1995 Pacific F1 GP"	"Footwork"	"20"	"DNF"	"Electrical"
"1995"	"1995 European F1 GP"	"Footwork"	"21"	"DNF"	"Electrical"
"1995"	"1995 Portuguese F1 GP"	"Footwork"	"19"	"15"	""
"1995"	"1995 Italian F1 GP"	"Footwork"	"20"	"8"	""
"1995"	"1995 Belgian F1 GP"	"Footwork"	"18"	"12"	""
"1995"	"1995 Hungarian F1 GP"	"Footwork"	"18"	"DNF"	"Engine"
"1995"	"1995 German F1 GP"	"Footwork"	"19"	"DNF"	"Gearbox"
"1995"	"1995 British F1 GP"	"Footwork"	"19"	"DNF"	"Spun off"
"1995"	"1995 French F1 GP"	"Footwork"	"18"	"DNF"	"Collision"
"1995"	"1995 Canadian F1 GP"	"Footwork"	"22"	"9"	""
"1995"	"1995 Monaco F1 GP"	"Footwork"	"26"	"DNF"	"Gearbox"
"1995"	"1995 Spanish F1 GP"	"Footwork"	"18"	"DNF"	"Transmission"
"1995"	"1995 San Marino F1 GP"	"Footwork"	"19"	"DNF"	"Spun off"
"1995"	"1995 Argentine F1 GP"	"Footwork"	"26"	"DNF"	"Spun off"
"1995"	"1995 Brazilian F1 GP"	"Footwork"	"21"	"DNF"	"Engine"
"1994"	"1994 Japanese F1 GP"	"Simtek"	"26"	"DNF"	"Spun off"
