"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"2001"	"2001 Belgian F1 GP"	"Minardi"	"22"	"13"	""
"2001"	"2001 Hungarian F1 GP"	"Minardi"	"22"	"DNF"	"Oil Pressure"
"2001"	"2001 German F1 GP"	"Minardi"	"22"	"DNF"	"Gearbox"
"2001"	"2001 British F1 GP"	"Minardi"	"0"	"DNQ"	""
"2001"	"2001 French F1 GP"	"Minardi"	"22"	"15"	""
"2001"	"2001 European F1 GP"	"Minardi"	"22"	"DNF"	"Electrical"
"2001"	"2001 Canadian F1 GP"	"Minardi"	"21"	"9"	""
"2001"	"2001 Monaco F1 GP"	"Minardi"	"22"	"DNF"	"Transmission"
"2001"	"2001 Austrian F1 GP"	"Minardi"	"22"	"DNF"	"Gearbox"
"2001"	"2001 Spanish F1 GP"	"Minardi"	"22"	"16"	""
"2001"	"2001 San Marino F1 GP"	"Minardi"	"22"	"DNF"	"Engine"
"2001"	"2001 Brazilian F1 GP"	"Minardi"	"22"	"9"	""
"2001"	"2001 Malaysian F1 GP"	"Minardi"	"20"	"14"	""
"2001"	"2001 Australian F1 GP"	"Minardi"	"22"	"DNF"	"Battery"
"1997"	"1997 European F1 GP"	"Minardi"	"20"	"15"	""
"1997"	"1997 Japanese F1 GP"	"Minardi"	"20"	"DNF"	"Gearbox"
"1997"	"1997 Luxembourg F1 GP"	"Minardi"	"18"	"DNF"	"Engine"
"1997"	"1997 Austrian F1 GP"	"Minardi"	"0"	"EXC"	"Car underweight in qualifying"
"1997"	"1997 Italian F1 GP"	"Minardi"	"22"	"14"	""
"1997"	"1997 Belgian F1 GP"	"Minardi"	"22"	"DNF"	"Spun off"
"1997"	"1997 Hungarian F1 GP"	"Minardi"	"22"	"12"	""
"1997"	"1997 German F1 GP"	"Minardi"	"21"	"DNF"	"Gearbox"
"1997"	"1997 British F1 GP"	"Minardi"	"21"	"10"	""
"1997"	"1997 French F1 GP"	"Minardi"	"22"	"DNF"	"Engine"
"1996"	"1996 Argentine F1 GP"	"Minardi"	"14"	"DNF"	"Collision"
"1996"	"1996 Brazilian F1 GP"	"Minardi"	"21"	"DNF"	"Spun off"
