"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1993"	"1993 Belgian F1 GP"	"Jordan"	"20"	"DNF"	"Gearbox"
"1993"	"1993 Hungarian F1 GP"	"Jordan"	"24"	"9"	""
"1993"	"1993 German F1 GP"	"Jordan"	"24"	"13"	""
"1993"	"1993 British F1 GP"	"Jordan"	"23"	"DNF"	"Wheel bearing"
"1993"	"1993 French F1 GP"	"Jordan"	"20"	"11"	""
"1993"	"1993 Canadian F1 GP"	"Jordan"	"24"	"12"	""
"1993"	"1993 Monaco F1 GP"	"Jordan"	"23"	"DNF"	"Suspension"
"1993"	"1993 Spanish F1 GP"	"Jordan"	"21"	"11"	""
"1993"	"1993 San Marino F1 GP"	"Jordan"	"19"	"DNF"	"Gearbox"
"1993"	"1993 European F1 GP"	"Jordan"	"19"	"DNF"	"Throttle"
"1992"	"1992 Australian F1 GP"	"Ligier"	"22"	"5"	""
"1992"	"1992 Japanese F1 GP"	"Ligier"	"10"	"DNF"	"Gearbox"
"1992"	"1992 Portuguese F1 GP"	"Ligier"	"11"	"8"	""
"1992"	"1992 Italian F1 GP"	"Ligier"	"8"	"DNF"	"Throttle"
"1992"	"1992 Belgian F1 GP"	"Ligier"	"7"	"DNF"	"Spun off"
"1992"	"1992 Hungarian F1 GP"	"Ligier"	"8"	"DNF"	"Collision"
"1992"	"1992 German F1 GP"	"Ligier"	"8"	"7"	""
"1992"	"1992 British F1 GP"	"Ligier"	"13"	"10"	""
"1992"	"1992 French F1 GP"	"Ligier"	"9"	"DNF"	"Spun Off"
"1992"	"1992 Canadian F1 GP"	"Ligier"	"21"	"10"	""
"1992"	"1992 Monaco F1 GP"	"Ligier"	"22"	"12"	""
"1992"	"San Marino Grand Prix"	"Ligier"	"10"	"DNF"	"Engine"
"1992"	"1992 Spanish F1 GP"	"Ligier"	"14"	"DNF"	"Engine"
"1992"	"1992 Brazilian F1 GP"	"Ligier"	"10"	"DNF"	"Collision"
"1992"	"1992 Mexican F1 GP"	"Ligier"	"22"	"10"	""
"1992"	"1992 South African F1 GP"	"Ligier"	"14"	"DNF"	"Fuel System"
"1991"	"1991 Australian F1 GP"	"Ligier"	"20"	"DNF"	"Accident"
"1991"	"1991 Japanese F1 GP"	"Ligier"	"17"	"9"	""
"1991"	"1991 Spanish F1 GP"	"Ligier"	"26"	"DNF"	"Collision"
"1991"	"1991 Portuguese F1 GP"	"Ligier"	"20"	"16"	""
"1991"	"1991 Italian F1 GP"	"Ligier"	"21"	"DNF"	"Spun off"
"1991"	"1991 Belgian F1 GP"	"Ligier"	"18"	"11"	""
"1991"	"1991 Hungarian F1 GP"	"Ligier"	"19"	"17"	"Engine"
"1991"	"1991 German F1 GP"	"Ligier"	"17"	"9"	""
"1991"	"1991 British F1 GP"	"Ligier"	"19"	"DNF"	"Engine"
"1991"	"French Grand Prix"	"Ligier"	"16"	"12"	""
"1991"	"1991 Mexican F1 GP"	"Ligier"	"10"	"8"	""
"1991"	"1991 Canadian F1 GP"	"Ligier"	"16"	"DNF"	"Engine"
"1991"	"1991 Monaco F1 GP"	"Ligier"	"16"	"7"	""
"1991"	"1991 San Marino F1 GP"	"Ligier"	"24"	"7"	""
