"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"2006"	"2006 Brazilian F1 GP"	"Spyker"	"21"	"15"	""
"2006"	"2006 Japanese F1 GP"	"Spyker"	"21"	"16"	""
"2006"	"2006 Chinese F1 GP"	"Spyker"	"18"	"DNF"	"Spin"
"2006"	"2006 Italian F1 GP"	"Spyker"	"20"	"DNF"	"Brakes"
"2006"	"2006 Turkish F1 GP"	"Midland"	"19"	"DNF"	"Collision"
"2006"	"2006 Hungarian F1 GP"	"Midland"	"16"	"9"	""
"2006"	"2006 German F1 GP"	"Midland"	"18"	"22"	""
"2006"	"2006 French F1 GP"	"Midland"	"19"	"DNF"	"Mechanical"
"2006"	"2006 USA F1 GP"	"Midland"	"15"	"DNF"	"Accident damage"
"2006"	"2006 Canadian F1 GP"	"Midland"	"18"	"14"	""
"2006"	"2006 British F1 GP"	"Midland"	"16"	"16"	""
"2006"	"2006 Monaco F1 GP"	"Midland"	"17"	"15"	""
"2006"	"2006 Spanish F1 GP"	"Midland"	"17"	"16"	""
"2006"	"2006 European F1 GP"	"Midland"	"18"	"12"	""
"2006"	"2006 San Marino F1 GP"	"Midland"	"19"	"16"	""
"2006"	"2006 Australian F1 GP"	"Midland"	"20"	"DNF"	"Mechanical"
"2006"	"2006 Malaysian F1 GP"	"Midland"	"16"	"13"	""
"2006"	"2006 Bahrain F1 GP"	"Midland"	"19"	"17"	""
"2005"	"2005 Chinese F1 GP"	"Jordan"	"19"	"11"	""
"2005"	"2005 Japanese F1 GP"	"Jordan"	"20"	"13"	""
"2005"	"2005 Brazilian F1 GP"	"Jordan"	"11"	"DNF"	"Mechanical"
"2005"	"2005 Belgian F1 GP"	"Jordan"	"19"	"8"	""
"2005"	"2005 Italian F1 GP"	"Jordan"	"17"	"17"	""
"2005"	"2005 Turkish F1 GP"	"Jordan"	"14"	"15"	""
"2005"	"2005 Hungarian F1 GP"	"Jordan"	"20"	"13"	""
"2005"	"2005 German F1 GP"	"Jordan"	"18"	"17"	""
"2005"	"2005 British F1 GP"	"Jordan"	"20"	"17"	""
"2005"	"2005 French F1 GP"	"Jordan"	"19"	"13"	""
"2005"	"2005 USA F1 GP"	"Jordan"	"17"	"3"	""
"2005"	"2005 Canadian F1 GP"	"Jordan"	"18"	"10"	""
"2005"	"2005 European F1 GP"	"Jordan"	"17"	"15"	""
"2005"	"2005 Monaco F1 GP"	"Jordan"	"15"	"13"	""
"2005"	"2005 Spanish F1 GP"	"Jordan"	"18"	"12"	""
"2005"	"2005 San Marino F1 GP"	"Jordan"	"17"	"13"	""
"2005"	"2005 Bahrain F1 GP"	"Jordan"	"16"	"10"	""
"2005"	"2005 Malaysian F1 GP"	"Jordan"	"18"	"12"	""
"2005"	"2005 Australian F1 GP"	"Jordan"	"14"	"16"	""
"2005"	"2005 USA F1 GP"	"Jordan"	"17"	"3"	""
