"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"2012"	"2012 Brazilian F1 GP"	"Manor"	"21"	"16"	""
"2012"	"2012 USA F1 GP"	"Manor"	"19"	"19"	""
"2012"	"2012 Abu Dhabi F1 GP"	"Manor"	"21"	"14"	""
"2012"	"2012 Indian F1 GP"	"Manor"	"21"	"20"	""
"2012"	"2012 Korean F1 GP"	"Manor"	"22"	"18"	""
"2012"	"2012 Japanese F1 GP"	"Manor"	"18"	"16"	""
"2012"	"2012 Singapore F1 GP"	"Manor"	"21"	"12"	""
"2012"	"2012 Italian F1 GP"	"Manor"	"20"	"17"	""
"2012"	"2012 Belgian F1 GP"	"Manor"	"20"	"15"	""
"2012"	"2012 Hungarian F1 GP"	"Manor"	"22"	"21"	""
"2012"	"2012 German F1 GP"	"Manor"	"22"	"22"	""
"2012"	"2012 British F1 GP"	"Manor"	"20"	"18"	""
"2012"	"2012 European F1 GP"	"Manor"	"24"	"DNS"	"Collision"
"2012"	"2012 Canadian F1 GP"	"Manor"	"21"	"DNF"	"Brakes"
"2012"	"2012 Monaco F1 GP"	"Manor"	"19"	"14"	""
"2012"	"2012 Spanish F1 GP"	"Manor"	"21"	"18"	""
"2012"	"2012 Bahrain F1 GP"	"Manor"	"23"	"19"	""
"2012"	"2012 Chinese F1 GP"	"Manor"	"20"	"19"	""
"2012"	"2012 Malaysian F1 GP"	"Manor"	"20"	"17"	""
"2012"	"2012 Australian F1 GP"	"Manor"	"20"	"14"	""
"2011"	"2011 Brazilian F1 GP"	"Virgin Racing"	"24"	"DNF"	"Wheel"
"2011"	"2011 Abu Dhabi F1 GP"	"Virgin Racing"	"19"	"19"	""
"2011"	"2011 Indian F1 GP"	"Virgin Racing"	"22"	"DNF"	"Accident damage"
"2011"	"2011 Korean F1 GP"	"Virgin Racing"	"21"	"18"	""
"2011"	"2011 Japanese F1 GP"	"Virgin Racing"	"21"	"20"	""
"2011"	"2011 Singapore F1 GP"	"Virgin Racing"	"21"	"DNF"	"Accident damage"
"2011"	"2011 Italian F1 GP"	"Virgin Racing"	"21"	"15"	""
"2011"	"2011 Belgian F1 GP"	"Virgin Racing"	"19"	"18"	""
"2011"	"2011 Hungarian F1 GP"	"Virgin Racing"	"20"	"17"	""
"2011"	"2011 German F1 GP"	"Virgin Racing"	"19"	"17"	""
"2011"	"2011 British F1 GP"	"Virgin Racing"	"20"	"16"	""
"2011"	"2011 European F1 GP"	"Virgin Racing"	"21"	"21"	""
"2011"	"2011 Canadian F1 GP"	"Virgin Racing"	"21"	"15"	""
"2011"	"2011 Monaco F1 GP"	"Virgin Racing"	"20"	"DNF"	"Suspension"
"2011"	"2011 Spanish F1 GP"	"Virgin Racing"	"20"	"19"	""
"2011"	"2011 Turkish F1 GP"	"Virgin Racing"	"21"	"DNS"	"Gearbox"
"2011"	"2011 Chinese F1 GP"	"Virgin Racing"	"22"	"21"	""
"2011"	"2011 Malaysian F1 GP"	"Virgin Racing"	"21"	"16"	""
"2011"	"2011 Australian F1 GP"	"Virgin Racing"	"21"	"NC"	""
"2010"	"2010 Abu Dhabi F1 GP"	"Virgin Racing"	"21"	"DNF"	"Gearbox"
"2010"	"2010 Brazilian F1 GP"	"Virgin Racing"	"17"	"20"	""
"2010"	"2010 Korean F1 GP"	"Virgin Racing"	"19"	"DNF"	"Collision"
"2010"	"2010 Japanese F1 GP"	"Virgin Racing"	"22"	"14"	""
"2010"	"2010 Singapore F1 GP"	"Virgin Racing"	"18"	"DNF"	"Hydraulics"
"2010"	"2010 Italian F1 GP"	"Virgin Racing"	"24"	"17"	""
"2010"	"2010 Belgian F1 GP"	"Virgin Racing"	"20"	"18"	""
"2010"	"2010 Hungarian F1 GP"	"Virgin Racing"	"18"	"16"	""
