"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1960"	"1960 Indianapolis 500"	"Watson"	"18"	"23"	"Engine"
"1959"	"1959 Indianapolis 500"	"Epperly"	"15"	"4"	""
"1958"	"1958 Indianapolis 500"	"Epperly"	"9"	"4"	""
"1957"	"1957 Indianapolis 500"	"Kurtis Kraft"	"22"	"15"	""
"1956"	"1956 Indianapolis 500"	"Kurtis Kraft"	"5"	"22"	"Accident"
"1955"	"1955 Indianapolis 500"	"Kurtis Kraft"	"2"	"2"	""
"1954"	"1954 Indianapolis 500"	"Kurtis Kraft"	"8"	"15"	""
"1954"	"1954 Indianapolis 500"	"Kurtis Kraft"	"21"	"29"	"Wheel Bearing"
"1953"	"1953 Indianapolis 500"	"Kuzma"	"6"	"9"	"Accident"
"1952"	"1952 Indianapolis 500"	"Deidt"	"30"	"24"	"Oil Pressure"
"1951"	"1951 Indianapolis 500"	"Deidt"	"9"	"9"	"Spun Off"
"1950"	"1950 Indianapolis 500"	"Deidt"	"8"	"31"	"Wheel Bearing"
"1950"	"1950 Indianapolis 500"	"Kurtis Kraft"	"9"	"5"	""
"1955"	"1955 Indianapolis 500"	"Kurtis Kraft"	"2"	"2"	""
