"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1961"	"1961 USA F1 GP"	"BRM"	"5"	"3"	""
"1961"	"1961 Italian F1 GP"	"BRM"	"13"	"5"	""
"1961"	"1961 German F1 GP"	"BRM"	"9"	"DNF"	"Engine"
"1961"	"1961 British F1 GP"	"BRM"	"6"	"9"	""
"1961"	"1961 French F1 GP"	"BRM"	"11"	"DNF"	"Overheating"
"1961"	"1961 Belgian F1 GP"	"BRM"	"7"	"13"	""
"1961"	"1961 Dutch F1 GP"	"BRM"	"8"	"9"	""
"1961"	"1961 Monaco F1 GP"	"BRM"	"8"	"13"	"Engine"
"1960"	"1960 USA F1 GP"	"Cooper-Climax"	"9"	"DNF"	"Spun Off"
"1960"	"1960 Portuguese F1 GP"	"Cooper-Climax"	"12"	"5"	""
"1960"	"1960 British F1 GP"	"Cooper-Climax"	"9"	"5"	""
"1960"	"1960 French F1 GP"	"Vanwall"	"13"	"DNF"	"Vibration"
"1960"	"1960 Belgian F1 GP"	"Cooper-Climax"	"2"	"DNF"	"Gearbox"
"1960"	"1960 Dutch F1 GP"	"Cooper-Climax"	"10"	"DNF"	"Gearbox"
"1960"	"1960 Monaco F1 GP"	"Cooper-Climax"	"3"	"4"	""
"1959"	"1959 USA F1 GP"	"Ferrari"	"4"	"3"	""
"1959"	"1959 Italian F1 GP"	"Ferrari"	"2"	"DNF"	"Clutch"
"1959"	"1959 Portuguese F1 GP"	"Ferrari"	"10"	"9"	""
"1959"	"1959 German F1 GP"	"Ferrari"	"1"	"1"	""
"1959"	"1959 British F1 GP"	"Vanwall"	"17"	"DNF"	"Ignition"
"1959"	"1959 French F1 GP"	"Ferrari"	"1"	"1"	""
"1959"	"1959 Dutch F1 GP"	"Ferrari"	"8"	"DNF"	"Oil Leak"
"1959"	"1959 Monaco F1 GP"	"Ferrari"	"4"	"2"	""
"1958"	"1958 Moroccan F1 GP"	"Vanwall"	"7"	"DNF"	"Engine"
"1958"	"1958 Italian F1 GP"	"Vanwall"	"2"	"1"	""
"1958"	"1958 Portuguese F1 GP"	"Vanwall"	"5"	"DNF"	"Spun Off"
"1958"	"1958 German F1 GP"	"Vanwall"	"2"	"1"	""
"1958"	"1958 British F1 GP"	"Vanwall"	"9"	"7"	""
"1958"	"1958 French F1 GP"	"Vanwall"	"5"	"DNF"	"Engine"
"1958"	"1958 French F1 GP"	"Vanwall"	"10"	"DNF"	"Engine"
"1958"	"1958 Belgian F1 GP"	"Vanwall"	"5"	"1"	""
"1958"	"1958 Dutch F1 GP"	"Vanwall"	"3"	"DNF"	"Halfshaft"
"1958"	"1958 Monaco F1 GP"	"Vanwall"	"1"	"DNF"	"Engine"
"1957"	"1957 talian F1 GP"	"Vanwall"	"3"	"7"	""
"1957"	"1957 Pescara F1 GP"	"Vanwall"	"6"	"DNF"	"Engine"
"1957"	"1957 German F1 GP"	"Vanwall"	"5"	"9"	""
"1957"	"1957 British F1 GP"	"Vanwall"	"3"	"1"	""
"1957"	"1957 British F1 GP"	"Vanwall"	"0"	"DNF"	"Engine"
"1957"	"1957 Monaco F1 GP"	"Vanwall"	"4"	"2"	""
"1956"	"1956 British F1 GP"	"BRM"	"9"	"DNF"	"Accident"
"1956"	"1956 Monaco F1 GP"	"BRM"	"0"	"WD"	"Engine Valve"
"1961"	"1961 USA F1 GP"	"BRM"	"5"	"3"	""
"1959"	"1959 USA F1 GP"	"Ferrari"	"4"	"3"	""
"1959"	"1959 German F1 GP"	"Ferrari"	"1"	"1"	""
"1959"	"1959 French F1 GP"	"Ferrari"	"1"	"1"	""
"1959"	"1959 Monaco F1 GP"	"Ferrari"	"4"	"2"	""
"1958"	"1958 Italian F1 GP"	"Vanwall"	"2"	"1"	""
"1958"	"1958 German F1 GP"	"Vanwall"	"2"	"1"	""
"1958"	"1958 Belgian F1 GP"	"Vanwall"	"5"	"1"	""
"1957"	"1957 British F1 GP"	"Vanwall"	"3"	"1"	""
"1957"	"1957 Monaco F1 GP"	"Vanwall"	"4"	"2"	""
"1959"	"1959 German F1 GP"	"Ferrari"	"1"	"1"	""
"1959"	"1959 French F1 GP"	"Ferrari"	"1"	"1"	""
"1958"	"1958 Monaco F1 GP"	"Vanwall"	"1"	"DNF"	"Engine"
