"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1965"	"1965 South African F1 GP"	"Team Lotus"	"13"	"11"	""
"1964"	"1964 Austrian F1 GP"	"BRM"	"19"	"4"	""
"1964"	"1964 German F1 GP"	"BRM"	"16"	"6"	""
"1964"	"1964 British F1 GP"	"BRM"	"17"	"DNF"	"Gearbox"
"1964"	"1964 Dutch F1 GP"	"BRM"	"15"	"DNS"	"Practice accident"
"1964"	"1964 Monaco F1 GP"	"BRM"	"0"	"WD"	"Car not ready"
"1963"	"1963 South African F1 GP"	"Cooper-Climax"	"10"	"7"	""
"1963"	"1963 Mexican F1 GP"	"Cooper-Climax"	"13"	"DNF"	"Engine"
"1963"	"1963 USA F1 GP"	"Cooper-Climax"	"10"	"DNF"	"Ignition"
"1963"	"1963 Italian F1 GP"	"Cooper-Climax"	"13"	"6"	""
"1963"	"1963 German F1 GP"	"Cooper-Climax"	"10"	"DNF"	"Engine"
"1963"	"1963 British F1 GP"	"Cooper-Climax"	"7"	"9"	""
"1963"	"1963 French F1 GP"	"Cooper-Climax"	"8"	"2"	""
"1963"	"1963 Dutch F1 GP"	"Cooper-Climax"	"9"	"DNF"	"Overheating"
"1963"	"1963 Belgian F1 GP"	"Cooper-Climax"	"4"	"7"	"Accident"
"1963"	"1963 Monaco F1 GP"	"Cooper-Climax"	"10"	"5"	""
"1962"	"1962 South African F1 GP"	"Cooper-Climax"	"6"	"3"	""
"1962"	"1962 USA F1 GP"	"Cooper-Climax"	"10"	"7"	""
"1962"	"1962 Italian F1 GP"	"Cooper-Climax"	"12"	"7"	""
"1962"	"1962 German F1 GP"	"Cooper-Climax"	"23"	"9"	""
"1962"	"1962 British F1 GP"	"Cooper-Climax"	"13"	"6"	""
"1962"	"1962 French F1 GP"	"Cooper-Climax"	"11"	"2"	""
"1962"	"1962 Belgian F1 GP"	"Cooper-Climax"	"10"	"DNF"	"Gearbox"
"1962"	"1962 Monaco F1 GP"	"Cooper-Climax"	"19"	"DNF"	"Gearbox"
"1962"	"19625 Dutch F1 GP"	"Cooper-Climax"	"15"	"5"	""
"1961"	"1961 German F1 GP"	"Team Lotus"	"22"	"11"	""
"1961"	"1961 British F1 GP"	"Team Lotus"	"24"	"13"	""
"1963"	"1963 French F1 GP"	"Cooper-Climax"	"8"	"2"	""
"1962"	"1962 South African F1 GP"	"Cooper-Climax"	"6"	"3"	""
"1962"	"1962 French F1 GP"	"Cooper-Climax"	"11"	"2"	""
