"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1956"	"1956 Italian F1 GP"	"Maserati"	"19"	"7"	""
"1954"	"1954 Spanish F1 GP"	"Maserati"	"21"	"DNF"	"Engine"
"1954"	"1954 Argentine F1 GP"	"Maserati"	"13"	"8"	""
"1953"	"1953 Italian F1 GP"	"Maserati"	"9"	"DNF"	"Engine"
"1953"	"1953 Swiss F1 GP"	"Maserati"	"8"	"DNF"	"Transmission"
"1953"	"1953 German F1 GP"	"Maserati"	"11"	"5"	""
"1953"	"1953 British F1 GP"	"Maserati"	"26"	"DNF"	"Clutch"
"1953"	"1953 French F1 GP"	"Maserati"	"9"	"7"	""
"1953"	"1953 Belgian F1 GP"	"Maserati"	"9"	"4"	""
"1953"	"1953 Dutch F1 GP"	"Maserati"	"7"	"5"	""
"1952"	"1952 Italian F1 GP"	"Maserati"	"0"	"DNQ"	"Did not qualify"
"1952"	"1952 British F1 GP"	"Maserati"	"31"	"19"	""
"1952"	"1952 French F1 GP"	"Maserati"	"12"	"DNF"	"Brakes"
"1952"	"1952 Swiss F1 GP"	"Maserati"	"8"	"6"	""
"1951"	"1951 Spanish F1 GP"	"Alfa Romeo"	"6"	"6"	""
"1951"	"1951 Italian F1 GP"	"Alfa Romeo"	"9"	"DNF"	"Compressor"
"1951"	"1951 German F1 GP"	"Maserati"	"16"	"DNF"	"Engine"
"1951"	"1951 French F1 GP"	"Maserati"	"16"	"DNF"	"Transmission"
"1951"	"1951 Swiss F1 GP"	"Alfa Romeo"	"5"	"5"	""
"1950"	"1950 Italian F1 GP"	"Maserati"	"17"	"6"	""
"1950"	"1950 Swiss F1 GP"	"Maserati"	"11"	"6"	""
"1950"	"1950 Monaco F1 GP"	"Maserati"	"12"	"DNF"	"Accident"
"1950"	"1950 British F1 GP"	"Maserati"	"8"	"DNF"	"Engine"
