"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1966"	"1966 British F1 GP"	"Shannon"	"18"	"DNF"	"Engine"
"1964"	"1964 Mexican F1 GP"	"BRP"	"18"	"DNF"	"Overheating"
"1964"	"1964 USA F1 GP"	"BRP"	"15"	"6"	""
"1964"	"1964 Italian F1 GP"	"BRP"	"0"	"DNQ"	"No Time"
"1964"	"1964 Austrian F1 GP"	"BRP"	"16"	"DNF"	"Suspension"
"1964"	"1964 British F1 GP"	"Team Lotus"	"18"	"DNF"	"Unwell"
"1964"	"1964 French F1 GP"	"BRP"	"12"	"DNF"	"Accident"
"1964"	"1963 Belgian F1 GP"	"BRP"	"12"	"7"	""
"1964"	"1964 Monaco F1 GP"	"BRP"	"14"	"DNF"	"Fuel Leak"
"1963"	"1963 South African F1 GP"	"Team Lotus"	"8"	"8"	""
"1963"	"1963 Mexican F1 GP"	"Team Lotus"	"12"	"DNF"	"Engine"
"1963"	"1963 USA F1 GP"	"Team Lotus"	"7"	"DNF"	"Electrical"
"1963"	"1963 German F1 GP"	"Team Lotus"	"18"	"8"	""
"1963"	"1963 British F1 GP"	"Team Lotus"	"10"	"DNF"	"Fuel Pump"
"1963"	"1963 French F1 GP"	"Team Lotus"	"7"	"13"	"Suspension"
"1963"	"1963 Dutch F1 GP"	"Team Lotus"	"10"	"10"	""
"1963"	"1963 Belgian F1 GP"	"Team Lotus"	"11"	"DNF"	"Physical"
"1963"	"1963 Monaco F1 GP"	"Team Lotus"	"9"	"6"	""
"1962"	"1962 South African F1 GP"	"Team Lotus"	"9"	"DNF"	"Gearbox"
"1962"	"1962 USA F1 GP"	"Team Lotus"	"8"	"12"	""
"1962"	"1962 Italian F1 GP"	"Team Lotus"	"16"	"DNF"	"Gearbox"
"1962"	"1962 German F1 GP"	"Team Lotus"	"26"	"DNF"	"Accident"
"1962"	"1962 British F1 GP"	"Team Lotus"	"10"	"8"	""
"1962"	"1962 French F1 GP"	"Team Lotus"	"12"	"8"	""
"1962"	"1962 Belgian F1 GP"	"Team Lotus"	"3"	"DNF"	"Accident"
"1962"	"1962 Monaco F1 GP"	"Team Lotus"	"17"	"DNF"	"Oil Leak"
"1962"	"19625 Dutch F1 GP"	"Team Lotus"	"10"	"2"	""
"1961"	"1961 Dutch F1 GP"	"Team Lotus"	"16"	"13"	""
"1959"	"1959 British F1 GP"	"Cooper-Climax"	"0"	"DNQ"	"No Time"
"1962"	"19625 Dutch F1 GP"	"Team Lotus"	"10"	"2"	""
