"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1960"	"1960 Indianapolis 500"	"Watson"	"6"	"20"	"Axle"
"1958"	"1958 German F1 GP"	"Maserati"	"0"	"DNS"	"Engine"
"1958"	"1958 French F1 GP"	"Maserati"	"18"	"10"	""
"1957"	"1957 Indianapolis 500"	"Watson"	"3"	"31"	"Engine"
"1956"	"1956 Indianapolis 500"	"Kurtis Kraft"	"11"	"31"	"Spun Off"
"1954"	"1954 Indianapolis 500"	"Kurtis Kraft"	"11"	"4"	""
"1952"	"1952 Indianapolis 500"	"Kuzma"	"7"	"1"	""
"1951"	"1951 Indianapolis 500"	"Kurtis Kraft"	"6"	"23"	"Engine"
"1950"	"1950 Indianapolis 500"	"Lesovsky"	"24"	"15"	""
"1952"	"1952 Indianapolis 500"	"Kuzma"	"7"	"1"	""
