"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1997"	"1997 European F1 GP"	"Minardi"	"19"	"17"	""
"1997"	"1997 Japanese F1 GP"	"Minardi"	"19"	"DNF"	"Engine"
"1997"	"1997 Luxembourg F1 GP"	"Minardi"	"22"	"DNF"	"Collision"
"1997"	"1997 Austrian F1 GP"	"Minardi"	"19"	"11"	""
"1997"	"1997 Italian F1 GP"	"Minardi"	"21"	"DNF"	"Spun Off"
"1997"	"1997 Belgian F1 GP"	"Minardi"	"20"	"14"	""
"1997"	"1997 Hungarian F1 GP"	"Minardi"	"20"	"10"	""
"1997"	"1997 German F1 GP"	"Minardi"	"22"	"DNF"	"Out of fuel"
"1997"	"1997 British F1 GP"	"Minardi"	"19"	"DNF"	"Spun off"
"1997"	"1997 French F1 GP"	"Minardi"	"21"	"11"	""
"1997"	"1997 Canadian F1 GP"	"Minardi"	"22"	"DNF"	"Spun off"
"1997"	"1997 Spanish F1 GP"	"Minardi"	"20"	"DNF"	"Gearbox"
"1997"	"1997 Monaco F1 GP"	"Minardi"	"20"	"10"	""
"1997"	"1997 San Marino F1 GP"	"Minardi"	"22"	"11"	""
"1997"	"1997 Argentine F1 GP"	"Minardi"	"21"	"DNF"	"Spun off"
"1997"	"1997 Brazilian F1 GP"	"Minardi"	"18"	"18"	""
"1997"	"1997 Australian F1 GP"	"Minardi"	"15"	"DNF"	"Electrical"
"1996"	"1996 Japanese F1 GP"	"Tyrrell"	"14"	"DNF"	"Engine"
"1996"	"1996 Portuguese F1 GP"	"Tyrrell"	"14"	"12"	""
"1996"	"1996 Italian F1 GP"	"Tyrrell"	"16"	"10"	""
"1996"	"1996 Belgian F1 GP"	"Tyrrell"	"17"	"8"	""
"1996"	"1996 Hungarian F1 GP"	"Tyrrell"	"14"	"7"	""
"1996"	"1996 German F1 GP"	"Tyrrell"	"16"	"DNF"	"Spun off"
"1996"	"1996 British F1 GP"	"Tyrrell"	"12"	"DNF"	"Engine"
"1996"	"1996 French F1 GP"	"Tyrrell"	"14"	"DNF"	"Engine"
"1996"	"1996 Canadian F1 GP"	"Tyrrell"	"17"	"DNF"	"Collision"
"1996"	"1996 Spanish F1 GP"	"Tyrrell"	"16"	"DNF"	"Electrical"
"1996"	"1996 Monaco F1 GP"	"Tyrrell"	"15"	"DNF"	"Spun off"
"1996"	"1996 San Marino F1 GP"	"Tyrrell"	"16"	"DNF"	"Spun Off"
"1996"	"1996 European F1 GP"	"Tyrrell"	"16"	"DSQ"	"Disqualified"
"1996"	"1996 Argentine F1 GP"	"Tyrrell"	"13"	"DNF"	"Transmission"
"1996"	"1996 Brazilian F1 GP"	"Tyrrell"	"16"	"9"	""
"1996"	"1996 Australian F1 GP"	"Tyrrell"	"15"	"11"	""
"1995"	"1995 Australian F1 GP"	"Tyrrell"	"16"	"DNF"	"Engine"
"1995"	"1995 Japanese F1 GP"	"Tyrrell"	"13"	"DNF"	"Spun off"
"1995"	"1995 Pacific F1 GP"	"Tyrrell"	"17"	"14"	""
"1995"	"1995 Portuguese F1 GP"	"Tyrrell"	"16"	"DNF"	"Collision"
