"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"2021"	"2021 Abu Dhabi F1 GP"	"Mercedes"	"6"	"6"	""
"2021"	"2021 Saudi Arabian F1 GP"	"Mercedes"	"2"	"3"	""
"2021"	"2021 Qatar F1 GP"	"Mercedes"	"6"	"DNF"	"Puncture damage"
"2021"	"2021 Brazilian F1 GP"	"Mercedes"	"1"	"3"	""
"2021"	"2021 Mexico F1 GP"	"Mercedes"	"1"	"15"	""
"2021"	"2021 USA F1 GP"	"Mercedes"	"9"	"6"	""
"2021"	"2021 Turkish F1 GP"	"Mercedes"	"1"	"1"	""
"2021"	"2021 Russian F1 GP"	"Mercedes"	"5"	"5"	""
"2021"	"2021 Italian F1 GP"	"Mercedes"	"20"	"3"	""
"2021"	"2021 Dutch F1 GP"	"Mercedes"	"3"	"3"	""
"2021"	"2021 Belgian F1 GP"	"Mercedes"	"12"	"12"	""
"2021"	"2021 Hungarian F1 GP"	"Mercedes"	"2"	"DNF"	"Collision"
"2021"	"2021 British F1 GP"	"Mercedes"	"3"	"3"	""
"2021"	"2021 Austrian F1 GP"	"Mercedes"	"5"	"2"	""
"2021"	"2021 Styrian F1 GP"	"Mercedes"	"5"	"3"	""
"2021"	"2021 French F1 GP"	"Mercedes"	"3"	"4"	""
"2021"	"2021 Azerbaijan F1 GP"	"Mercedes"	"10"	"12"	""
"2021"	"2021 Monaco F1 GP"	"Mercedes"	"3"	"DNF"	"Wheel nut"
"2021"	"2021 Spanish F1 GP"	"Mercedes"	"3"	"3"	""
"2021"	"2021 Portuguese F1 GP"	"Mercedes"	"1"	"3"	""
"2021"	"2021 E. Romagna F1 GP"	"Mercedes"	"8"	"DNF"	"Collision"
"2021"	"2021 Bahrain F1 GP"	"Mercedes"	"3"	"3"	""
"2020"	"2020 Abu Dhabi F1 GP"	"Mercedes"	"2"	"2"	""
"2020"	"2020 Sakhir F1 GP"	"Mercedes"	"1"	"8"	""
"2020"	"2020 Bahrain F1 GP"	"Mercedes"	"2"	"8"	""
"2020"	"2020 Turkish F1 GP"	"Mercedes"	"9"	"14"	""
"2020"	"2020 E. Romagna F1 GP"	"Mercedes"	"1"	"2"	""
"2020"	"2020 Portuguese F1 GP"	"Mercedes"	"2"	"2"	""
"2020"	"2020 Eifel F1 GP"	"Mercedes"	"1"	"DNF"	"Power Unit"
"2020"	"2020 Russian F1 GP"	"Mercedes"	"3"	"1"	""
"2020"	"2020 Tuscan F1 GP"	"Mercedes"	"2"	"2"	""
"2020"	"2020 Italian F1 GP"	"Mercedes"	"2"	"5"	""
"2020"	"2020 Belgian F1 GP"	"Mercedes"	"2"	"2"	""
"2020"	"2020 Spanish F1 GP"	"Mercedes"	"2"	"3"	""
"2020"	"70th Anniversary F1 GP"	"Mercedes"	"1"	"3"	""
"2020"	"2020 British F1 GP"	"Mercedes"	"2"	"11"	""
"2020"	"2020 Hungarian F1 GP"	"Mercedes"	"2"	"3"	""
"2020"	"2020 Styrian F1 GP"	"Mercedes"	"4"	"2"	""
"2020"	"2020 Austrian F1 GP"	"Mercedes"	"1"	"1"	""
"2019"	"2019 Abu Dhabi F1 GP"	"Mercedes"	"20"	"4"	""
"2019"	"2019 Brazilian F1 GP"	"Mercedes"	"4"	"DNF"	"Power unit"
"2019"	"2019 USA F1 GP"	"Mercedes"	"1"	"1"	""
"2019"	"2019 Mexican F1 GP"	"Mercedes"	"5"	"3"	""
"2019"	"2019 Japanese F1 GP"	"Mercedes"	"3"	"1"	""
"2019"	"2019 Russian F1 GP"	"Mercedes"	"4"	"2"	""
"2019"	"2019 Singapore F1 GP"	"Mercedes"	"5"	"5"	""
"2019"	"2019 Italian F1 GP"	"Mercedes"	"3"	"2"	""
"2019"	"2019 Belgian F1 GP"	"Mercedes"	"4"	"3"	""
"2019"	"2019 Hungarian F1 GP"	"Mercedes"	"2"	"8"	""
"2019"	"2019 German F1 GP"	"Mercedes"	"3"	"DNF"	"Spun off"
"2019"	"2019 British F1 GP"	"Mercedes"	"1"	"2"	""
"2019"	"2019 Austrian F1 GP"	"Mercedes"	"3"	"3"	""
"2019"	"2019 French F1 GP"	"Mercedes"	"2"	"2"	""
"2019"	"2019 Canadian F1 GP"	"Mercedes"	"6"	"4"	""
"2019"	"2019 Monaco F1 GP"	"Mercedes"	"2"	"3"	""
"2019"	"2019 Spanish F1 GP"	"Mercedes"	"1"	"2"	""
"2019"	"2019 Azerbaijan F1 GP"	"Mercedes"	"1"	"1"	""
"2019"	"2019 Chinese F1 GP"	"Mercedes"	"1"	"2"	""
"2019"	"2019 Bahrain F1 GP"	"Mercedes"	"4"	"2"	""
"2019"	"2019 Australian F1 GP"	"Mercedes"	"2"	"1"	""
"2018"	"2018 Abu Dhabi F1 GP"	"Mercedes"	"2"	"5"	""
"2018"	"2018 Brazilian F1 GP"	"Mercedes"	"3"	"5"	""
"2018"	"2018 Mexican F1 GP"	"Mercedes"	"5"	"5"	""
"2018"	"2018 USA F1 GP"	"Mercedes"	"3"	"5"	""
"2018"	"2018 Japanese F1 GP"	"Mercedes"	"2"	"2"	""
"2018"	"2018 Russian F1 GP"	"Mercedes"	"1"	"2"	""
"2018"	"2018 Singapore F1 GP"	"Mercedes"	"4"	"4"	""
"2018"	"2018 Italian F1 GP"	"Mercedes"	"4"	"3"	""
"2018"	"2018 Belgian F1 GP"	"Mercedes"	"17"	"4"	""
"2018"	"2018 Hungarian F1 GP"	"Mercedes"	"2"	"5"	""
"2018"	"2018 German F1 GP"	"Mercedes"	"2"	"2"	""
