"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"2015"	"2015 Abu Dhabi F1 GP"	"Manor"	"20"	"18"	""
"2015"	"2015 Brazilian F1 GP"	"Manor"	"18"	"17"	""
"2015"	"2015 Mexican F1 GP"	"Manor"	"17"	"16"	""
"2015"	"2015 USA F1 GP"	"Manor"	"19"	"DNF"	"Collision damage"
"2015"	"2015 Russian F1 GP"	"Manor"	"17"	"14"	""
"2015"	"2015 Japanese F1 GP"	"Manor"	"19"	"19"	""
"2015"	"2015 Singapore F1 GP"	"Manor"	"19"	"15"	""
"2015"	"2015 Italian F1 GP"	"Manor"	"13"	"15"	""
"2015"	"2015 Belgian F1 GP"	"Manor"	"15"	"16"	""
"2015"	"2015 Hungarian F1 GP"	"Manor"	"20"	"16"	""
"2015"	"2015 British F1 GP"	"Manor"	"19"	"13"	""
"2015"	"2015 Austrian F1 GP"	"Manor"	"17"	"DNF"	"Oil leak"
"2015"	"2015 Canadian F1 GP"	"Manor"	"17"	"17"	""
"2015"	"2015 Monaco F1 GP"	"Manor"	"18"	"17"	""
"2015"	"2015 Spanish F1 GP"	"Manor"	"17"	"17"	""
"2015"	"2015 Bahrain F1 GP"	"Manor"	"18"	"16"	""
"2015"	"2015 Chinese F1 GP"	"Manor"	"19"	"15"	""
"2015"	"2015 Malaysian F1 GP"	"Manor"	"20"	"WD"	""
"2015"	"2015 Australian F1 GP"	"Manor"	"0"	"DNQ"	""
"2014"	"2014 Abu Dhabi F1 GP"	"Caterham"	"17"	"17"	""
