"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1963"	"1963 German F1 GP"	"Ferrari"	"7"	"DNF"	"Accident"
"1963"	"1963 Belgian F1 GP"	"Ferrari"	"3"	"DNF"	"Injection"
"1963"	"1963 Monaco F1 GP"	"Ferrari"	"7"	"DNF"	"Gearbox"
"1962"	"1962 Italian F1 GP"	"Ferrari"	"10"	"4"	""
"1962"	"1962 Belgian F1 GP"	"Ferrari"	"6"	"DNF"	"Accident"
"1962"	"1962 Monaco F1 GP"	"Ferrari"	"4"	"7"	"Oil Pressure"
"1961"	"1961 German F1 GP"	"Ferrari"	"13"	"DNF"	"Accident"
"1961"	"1961 French F1 GP"	"Team Lotus"	"20"	"DNF"	"Engine"
"1961"	"1961 Belgian F1 GP"	"Team Lotus"	"19"	"DNF"	"Ignition"
"1960"	"1960 Italian F1 GP"	"Ferrari"	"3"	"3"	""
"1960"	"1960 French F1 GP"	"Ferrari"	"11"	"DNF"	"Transmission"
"1960"	"1960 Belgian F1 GP"	"Ferrari"	"13"	"DNF"	"Transmission"
"1960"	"1960 Italian F1 GP"	"Ferrari"	"3"	"3"	""
