"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1962"	"1962 German F1 GP"	"Team Lotus"	"0"	"DNQ"	"No Time"
"1962"	"1962 British F1 GP"	"Team Lotus"	"21"	"DNF"	"Brakes"
"1962"	"19625 Dutch F1 GP"	"Emeryson"	"20"	"NC"	"Not Classified"
"1961"	"1961 Italian F1 GP"	"Team Lotus"	"28"	"DNF"	"Engine"
"1961"	"1961 German F1 GP"	"Team Lotus"	"23"	"DNF"	"Handling"
"1961"	"1961 British F1 GP"	"Team Lotus"	"22"	"17"	""
"1961"	"1961 French F1 GP"	"Team Lotus"	"0"	"DNS"	"Practice only - May's car"
"1961"	"1961 Belgian F1 GP"	"Team Lotus"	"0"	"DNS"	"Start Money Dispute"
"1960"	"1960 Italian F1 GP"	"Cooper-Climax"	"13"	"9"	""
"1958"	"1958 Moroccan F1 GP"	"Cooper-Climax"	"20"	"DNF"	"Accident"
"1958"	"1958 German F1 GP"	"Cooper-Climax"	"17"	"DNF"	"Suspension"
"1958"	"1958 Belgian F1 GP"	"Maserati"	"17"	"DNF"	"Halfshaft"
"1953"	"1953 German F1 GP"	"Veritas"	"29"	"16"	""
