"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1994"	"1994 Portuguese F1 GP"	"Larrousse"	"23"	"14"	""
"1994"	"1994 Italian F1 GP"	"Larrousse"	"23"	"DNF"	"Spun off"
"1990"	"1990 Australian F1 GP"	"AGS"	"0"	"DNQ"	"No Time"
"1990"	"1990 Japanese F1 GP"	"AGS"	"0"	"DNQ"	"No Time"
"1990"	"1990 Spanish F1 GP"	"AGS"	"23"	"9"	""
"1990"	"1990 Portuguese F1 GP"	"AGS"	"24"	"DNF"	"Halfshaft"
"1990"	"1990 Italian F1 GP"	"AGS"	"24"	"DNF"	"Not Classified"
"1990"	"1990 Belgian F1 GP"	"AGS"	"0"	"DNQ"	"No Time"
"1990"	"1990 Hungarian F1 GP"	"AGS"	"0"	"DNQ"	"No Time"
"1990"	"1990 German F1 GP"	"AGS"	"0"	"DNQ"	"No Time"
"1990"	"1990 British F1 GP"	"AGS"	"0"	"DNPQ"	"No Time"
"1990"	"1990 French F1 GP"	"AGS"	"26"	"17"	""
"1990"	"1990 Mexican F1 GP"	"AGS"	"0"	"DNPQ"	"No Time"
"1990"	"1990 Canadian F1 GP"	"AGS"	"0"	"DNPQ"	"No Time"
"1990"	"1990 Monaco F1 GP"	"AGS"	"0"	"DNPQ"	"No Time"
"1990"	"1990 San Marino F1 GP"	"AGS"	"0"	"DNPQ"	"No Time"
"1990"	"1990 Brazilian F1 GP"	"AGS"	"26"	"DNF"	"Suspension"
"1990"	"1990 USA F1 GP"	"AGS"	"0"	"DNPQ"	"No Time"
"1989"	"1989 Spanish F1 GP"	"AGS"	"0"	"DNPQ"	"No Time"
"1989"	"1989 Portuguese F1 GP"	"AGS"	"0"	"DNPQ"	"No Time"
"1989"	"1989 Italian F1 GP"	"AGS"	"0"	"DNPQ"	"No Time"
"1989"	"1989 Belgian F1 GP"	"AGS"	"0"	"DNPQ"	"No Time"
"1989"	"1989 Hungarian F1 GP"	"AGS"	"0"	"DNPQ"	"No Time"
"1989"	"1989 German F1 GP"	"AGS"	"0"	"DNPQ"	"No Time"
"1989"	"1989 British F1 GP"	"AGS"	"0"	"DNPQ"	"No Time"
"1989"	"1989 Canadian F1 GP"	"Larrousse"	"0"	"DNQ"	"No Time"
"1989"	"1989 USA F1 GP"	"Larrousse"	"0"	"DNQ"	"No Time"
"1989"	"1989 Mexican F1 GP"	"Larrousse"	"0"	"DNQ"	"No Time"
"1989"	"1989 Monaco F1 GP"	"Larrousse"	"0"	"DNQ"	"No Time"
"1989"	"1989 San Marino F1 GP"	"Larrousse"	"26"	"DNF"	"Electrical"
"1989"	"1989 Brazilian F1 GP"	"Larrousse"	"0"	"DNQ"	"No Time"
"1988"	"1988 Spanish F1 GP"	"Larrousse"	"16"	"11"	""
"1988"	"1988 Portuguese F1 GP"	"Larrousse"	"15"	"DNF"	"Alternator"
"1988"	"1988 Italian F1 GP"	"Larrousse"	"25"	"DNF"	"Radiator"
"1988"	"1988 Belgian F1 GP"	"Larrousse"	"23"	"DNF"	"Engine"
"1988"	"1988 Hungarian F1 GP"	"Larrousse"	"17"	"9"	""
"1988"	"1988 German F1 GP"	"Larrousse"	"21"	"19"	"Clutch"
"1988"	"1988 British F1 GP"	"Larrousse"	"23"	"13"	""
"1988"	"1988 French F1 GP"	"Larrousse"	"19"	"13"	""
"1988"	"1988 Detroit F1 GP"	"Larrousse"	"24"	"7"	""
"1988"	"1988 Canadian F1 GP"	"Larrousse"	"0"	"DNQ"	"No Time"
"1988"	"1988 Mexican F1 GP"	"Larrousse"	"22"	"9"	""
"1988"	"1988 Monaco F1 GP"	"Larrousse"	"21"	"7"	""
"1988"	"1988 San Marino F1 GP"	"Larrousse"	"19"	"12"	""
"1988"	"1988 Brazilian F1 GP"	"Larrousse"	"17"	"DNF"	"Engine"
"1987"	"1987 Australian F1 GP"	"Larrousse"	"21"	"5"	""
"1987"	"1987 Japanese F1 GP"	"Larrousse"	"22"	"14"	""
"1987"	"1987 Mexican F1 GP"	"Larrousse"	"23"	"9"	""
