"year"	"name"
"2022"	"G.ZHOU"
"2022"	"V.BOTTAS"
"2021"	"K.RAIKKONEN"
"2021"	"R.KUBICA"
"2021"	"C.ILOTT"
"2021"	"A.GIOVINAZZI"
"2020"	"K.RAIKKONEN"
"2020"	"M.SCHUMACHER"
"2020"	"R.KUBICA"
"2020"	"A.GIOVINAZZI"
"2019"	"K.RAIKKONEN"
"2019"	"A.GIOVINAZZI"
"1985"	"R.PATRESE"
"1985"	"E.CHEEVER"
"1984"	"R.PATRESE"
"1984"	"E.CHEEVER"
"1983"	"A.De CESARIS"
"1983"	"M.BALDI"
"1982"	"A.De CESARIS"
"1982"	"B.GIACOMELLI"
"1981"	"M.ANDRETTI"
"1981"	"B.GIACOMELLI"
"1981"	"M.BALDI"
"1980"	"A.De CESARIS"
"1980"	"V.BRAMBILLA"
"1980"	"P.DEPAILLER"
"1980"	"B.GIACOMELLI"
"1979"	"B.GIACOMELLI"
"1979"	"V.BRAMBILLA"
"1951"	"G.FARINA"
"1951"	"J.FANGIO"
"1951"	"C.SANESI"
"1951"	"F.BONETTO"
"1951"	"L.FAGIOLI"
"1951"	"E.De GRAFFENRIED"
"1951"	"G.GUIDOTTI"
"1951"	"P.PIETSCH"
"1950"	"J.FANGIO"
"1950"	"G.FARINA"
"1950"	"G.GUIDOTTI"
"1950"	"L.FAGIOLI"
"1950"	"R.PARNELL"
"1950"	"J.MAURO"
"1950"	"C.SANESI"
"1950"	"P.TARUFFI"
