"year"	"name"
"2003"	"E.BERNOLDI"
"2002"	"H.FRENTZEN"
"2002"	"E.BERNOLDI"
"2001"	"J.VERSTAPPEN"
"2001"	"E.BERNOLDI"
"2000"	"P.De La ROSA"
"2000"	"J.VERSTAPPEN"
"1999"	"P.De La ROSA"
"1999"	"T.TAKAGI"
"1998"	"P.DINIZ"
"1998"	"M.SALO"
"1997"	"D.HILL"
"1997"	"P.DINIZ"
"1990"	"M.ALBORETO"
"1990"	"B.SCHNEIDER"
"1990"	"A.CAFFI"
"1989"	"M.DONNELLY"
"1989"	"D.WARWICK"
"1989"	"E.CHEEVER"
"1988"	"D.WARWICK"
"1988"	"E.CHEEVER"
"1987"	"D.WARWICK"
"1987"	"E.CHEEVER"
"1986"	"C.DANNER"
"1986"	"M.SURER"
"1986"	"T.BOUTSEN"
"1985"	"G.BERGER"
"1985"	"T.BOUTSEN"
"1984"	"M.SURER"
"1984"	"T.BOUTSEN"
"1983"	"M.SURER"
"1983"	"T.BOUTSEN"
"1983"	"C.SERRA"
"1983"	"A.JONES"
"1982"	"M.SURER"
"1982"	"B.HENTON"
"1982"	"M.BALDI"
"1981"	"R.PATRESE"
"1981"	"J.VILLENEUVE"
"1981"	"S.STOHR"
"1980"	"R.PATRESE"
"1980"	"M.WINKELHOCK"
"1980"	"M.THACKWELL"
"1980"	"J.MASS"
"1979"	"R.PATRESE"
"1979"	"J.MASS"
"1978"	"R.PATRESE"
"1978"	"R.STOMMELEN"
