"year"	"name"
"1992"	"E.Van De POELE"
"1992"	"J.BAILEY"
"1992"	"G.AMATI"
"1992"	"D.HILL"
"1991"	"M.BRUNDLE"
"1991"	"M.BLUNDELL"
"1990"	"D.BRABHAM"
"1990"	"G.FOITEK"
"1990"	"S.MODENA"
"1989"	"M.BRUNDLE"
"1989"	"S.MODENA"
"1987"	"S.MODENA"
"1987"	"R.PATRESE"
"1987"	"M.BALDI"
"1987"	"A.De CESARIS"
"1986"	"R.PATRESE"
"1986"	"D.WARWICK"
"1986"	"E.De ANGELIS"
"1985"	"N.PIQUET"
"1985"	"F.HESNAULT"
"1985"	"M.SURER"
"1984"	"N.PIQUET"
"1984"	"C.FABI"
"1984"	"T.FABI"
"1984"	"M.WINKELHOCK"
"1983"	"N.PIQUET"
"1983"	"R.PATRESE"
"1982"	"N.PIQUET"
"1982"	"R.PATRESE"
"1981"	"N.PIQUET"
"1981"	"H.REBAQUE"
"1980"	"N.PIQUET"
"1980"	"R.ZUNINO"
"1980"	"H.REBAQUE"
"1979"	"R.ZUNINO"
"1979"	"N.LAUDA"
"1979"	"N.PIQUET"
"1978"	"N.LAUDA"
"1978"	"J.WATSON"
"1978"	"N.PIQUET"
"1977"	"J.WATSON"
"1977"	"H.STUCK"
"1977"	"C.PACE"
"1977"	"G.FRANCIA"
"1976"	"L.PERKINS"
"1976"	"C.REUTEMANN"
"1976"	"R.STOMMELEN"
"1976"	"C.PACE"
"1976"	"L.KESSEL"
"1976"	"B.EVANS"
"1976"	"J.NELLEMAN"
"1976"	"E.De VILLOTA"
"1976"	"P.NEVE"
"1976"	"D.MAGEE"
"1976"	"L.LOMBARDI"
"1975"	"C.REUTEMANN"
"1975"	"C.PACE"
"1974"	"C.REUTEMANN"
"1974"	"R.ROBARTS"
"1974"	"C.PACE"
"1974"	"R.Von OPEL"
"1974"	"S.MOSER"
"1974"	"G.LARROUSSE"
"1974"	"J.WATSON"
"1974"	"M.MOHR"
"1974"	"C.FACETTI"
"1974"	"H.KOINIGG"
"1974"	"J.LAFOSSE"
"1974"	"T.PILETTE"
"1974"	"I.ASHLEY"
"1974"	"A.SUTCLIFFE"
"1974"	"E.WIETZES"
"1974"	"L.LOMBARDI"
"1973"	"J.WATSON"
"1973"	"R.STOMMELEN"
"1973"	"A.De ADAMICH"
"1973"	"C.REUTEMANN"
"1973"	"W.FITTIPALDI"
"1972"	"G.HILL"
"1972"	"C.REUTEMANN"
"1972"	"W.FITTIPALDI"
"1972"	"W.FERGUSON"
"1971"	"G.HILL"
"1971"	"T.SCHENKEN"
"1971"	"D.CHARLTON"
"1971"	"C.CRAFT"
"1971"	"J.PRETORIUS"
"1970"	"J.BRABHAM"
"1970"	"R.STOMMELEN"
"1970"	"D.BELL"
"1970"	"T.SCHENKEN"
"1970"	"P.De KLERK"
"1970"	"G.HUTCHISON"
"1969"	"J.BRABHAM"
"1969"	"J.ICKX"
"1969"	"D.GURNEY"
"1969"	"P.COURAGE"
"1969"	"S.MOSER"
"1969"	"S.TINGLE"
"1969"	"P.De KLERK"
"1969"	"J.CORDTS"
"1968"	"J.RINDT"
"1968"	"J.BRABHAM"
"1968"	"S.MOSER"
"1968"	"K.AHRENS"
"1968"	"J.LOVE"
"1968"	"D.GURNEY"
"1968"	"D.CHARLTON"
"1968"	"J.PRETORIUS"
"1967"	"J.BRABHAM"
"1967"	"D.HULME"
"1967"	"G.LIGIER"
"1967"	"B.ANDERSON"
"1967"	"D.CHARLTON"
"1967"	"L.BOTHA"
"1966"	"J.BRABHAM"
"1966"	"D.HULME"
"1966"	"C.IRWIN"
"1966"	"J.SIFFERT"
"1966"	"B.ANDERSON"
"1966"	"J.TAYLOR"
"1966"	"J.BONNIER"
"1966"	"C.AMON"
"1965"	"J.BRABHAM"
"1965"	"D.HULME"
"1965"	"D.GURNEY"
"1965"	"B.ANDERSON"
"1965"	"G.BAGHETTI"
"1965"	"F.GARDNER"
"1965"	"J.BONNIER"
"1965"	"J.SIFFERT"
"1965"	"P.HAWKINS"
"1965"	"D.PROPHET"
"1965"	"I.RABY"
"1965"	"C.AMON"
"1964"	"D.GURNEY"
"1964"	"J.BRABHAM"
"1964"	"J.BONNIER"
"1964"	"J.RINDT"
"1964"	"J.SIFFERT"
"1964"	"B.ANDERSON"
"1964"	"I.RABY"
"1964"	"H.SHARP"
"1964"	"F.GARDNER"
"1964"	".GEKI"
"1963"	"D.GURNEY"
"1963"	"J.BRABHAM"
"1963"	"D.PROPHET"
"1962"	"J.BRABHAM"
