"year"	"name"
"1977"	"L.PERKINS"
"1977"	"T.PILETTE"
"1977"	"C.ANDERSSON"
"1977"	"G.EDWARDS"
"1976"	"I.ASHLEY"
"1975"	"B.EVANS"
"1975"	"M.WILDS"
"1974"	"J.BELTOISE"
"1974"	"H.PESCAROLO"
"1974"	"C.AMON"
"1974"	"F.MIGAULT"
"1973"	"C.REGAZZONI"
"1973"	"J.BELTOISE"
"1973"	"N.LAUDA"
"1973"	"P.GETHIN"
"1972"	"H.GANLEY"
"1972"	"R.WISELL"
"1972"	"P.GETHIN"
"1972"	"J.BELTOISE"
"1972"	"A.SOLER-ROIG"
"1972"	"H.MARKO"
"1972"	"J.OLIVER"
"1972"	"B.REDMAN"
"1972"	"B.BRACK"
"1972"	"V.SCHUPPAN"
"1971"	"P.RODRIGUEZ"
"1971"	"J.SIFFERT"
"1971"	"H.GANLEY"
"1971"	"P.GETHIN"
"1971"	"H.MARKO"
"1971"	"V.ELFORD"
"1971"	"J.CANNON"
"1971"	"G.EATON"
"1970"	"P.RODRIGUEZ"
"1970"	"J.OLIVER"
"1970"	"G.EATON"
"1970"	"W.BICKEL"
"1970"	"P.WESTBURY"
"1969"	"P.RODRIGUEZ"
"1969"	"J.SURTEES"
"1969"	"J.OLIVER"
"1969"	"B.BRACK"
"1969"	"G.EATON"
"1968"	"P.RODRIGUEZ"
"1968"	"P.COURAGE"
"1968"	"C.IRWIN"
"1968"	"M.SPENCE"
"1968"	"B.UNSER"
"1968"	"D.ATTWOOD"
"1968"	"T.LANFRANCHI"
"1968"	"D.HOBBS"
"1968"	"F.GARDNER"
"1967"	"J.STEWART"
"1967"	"M.SPENCE"
"1967"	"P.COURAGE"
"1967"	"D.HOBBS"
"1967"	"C.IRWIN"
"1966"	"G.HILL"
"1966"	"J.STEWART"
"1966"	"D.ATTWOOD"
"1966"	"B.BONDURANT"
"1966"	"V.WILSON"
"1966"	"I.IRELAND"
"1966"	"P.HAWKINS"
"1965"	"G.HILL"
"1965"	"J.STEWART"
"1965"	"M.GREGORY"
"1965"	"R.BUSSINELLO"
"1965"	"L.BIANCHI"
"1965"	"W.MAIRESSE"
"1965"	"J.SCHLESSER"
"1965"	"D.ATTWOOD"
"1965"	"G.BASSI"
"1964"	"G.HILL"
"1964"	"R.GINTHER"
"1964"	"M.TRINTIGNANT"
"1964"	"G.BAGHETTI"
"1964"	"T.MAGGS"
"1964"	"D.ATTWOOD"
"1964"	"A.FOYT"
"1963"	"G.HILL"
"1963"	"R.GINTHER"
"1963"	"L.BANDINI"
"1963"	"M.SOLANA"
"1963"	"M.TRINTIGNANT"
"1962"	"G.HILL"
"1962"	"R.GINTHER"
"1962"	"T.MARSH"
"1962"	"G.ASHMORE"
"1962"	"B.JOHNSTONE"
"1962"	"J.LEWIS"
"1961"	"G.HILL"
"1961"	"T.BROOKS"
"1960"	"J.BONNIER"
"1960"	"D.GURNEY"
"1960"	"G.HILL"
"1959"	"S.MOSS"
"1959"	"H.SCHELL"
"1959"	"J.BONNIER"
"1959"	"R.FLOCKHART"
"1959"	"H.HERRMANN"
"1958"	"J.BEHRA"
"1958"	"H.SCHELL"
"1958"	"R.FLOCKHART"
"1958"	"J.BONNIER"
"1958"	"M.TRINTIGNANT"
"1958"	"M.GREGORY"
"1957"	"R.FLOCKHART"
"1957"	"R.SALVADORI"
"1957"	"J.FAIRMAN"
"1957"	"L.LESTON"
"1957"	"H.MacKAY-FRASER"
"1956"	"M.HAWTHORN"
"1956"	"T.BROOKS"
"1956"	"R.FLOCKHART"
"1951"	"R.PARNELL"
"1951"	"P.WALKER"
"1951"	"K.RICHARDSON"
"1951"	"H.STUCK"
