"year"	"name"
"1959"	"B.SAID"
"1959"	"B.HALFORD"
"1958"	"B.ECCLESTONE"
"1958"	"B.KESSLER"
"1958"	"P.EMERY"
"1958"	"J.FAIRMAN"
"1958"	"I.BUEB"
"1957"	"S.LEWIS-EVANS"
"1957"	"I.BUEB"
"1956"	"L.LESTON"
"1956"	"A.SCOTT-BROWN"
"1956"	"R.FLOCKHART"
"1956"	"J.FAIRMAN"
"1956"	"D.TITTERINGTON"
"1956"	"M.OLIVER"
"1956"	"P.SCOTTI"
"1955"	"P.WALKER"
"1955"	"K.McALPINE"
"1955"	"J.FAIRMAN"
"1955"	"T.ROLT"
"1955"	"L.MARR"
"1954"	"B.WHITEHOUSE"
"1954"	"L.MARR"
"1954"	"J.RISELEY-PRICHARD"
"1954"	"D.BEAUMAN"
"1954"	"L.THORNE"
"1953"	"P.BIRA"
"1953"	"K.McALPINE"
"1953"	"R.SALVADORI"
"1953"	"J.CLAES"
"1953"	"T.ROLT"
"1953"	"I.STEWART"
"1953"	"J.FAIRMAN"
"1953"	"S.MOSS"
"1953"	"A.PILETTE"
"1952"	"K.McALPINE"
"1952"	"K.DOWNING"
"1952"	"E.THOMPSON"
"1952"	"D.POORE"
"1952"	"S.MOSS"
