"year"	"name"
"2005"	"T.MONTEIRO"
"2005"	"N.KARTHIKEYAN"
"2005"	"S.YAMAMOTO"
"2005"	"F.MONTAGNY"
"2005"	"R.DOORNBOS"
"2005"	"N.KIESA"
"2004"	"N.HEIDFELD"
"2004"	"T.GLOCK"
"2004"	"G.PANTANO"
"2004"	"R.DOORNBOS"
"2003"	"G.FISICHELLA"
"2003"	"Z.BAUMGARTNER"
"2003"	"R.FIRMAN"
"2003"	"S.MOTOYAMA"
"2003"	"B.WIRDHEIM"
"2002"	"G.FISICHELLA"
"2002"	"T.SATO"
"2001"	"R.ZONTA"
"2001"	"J.TRULLI"
"2001"	"H.FRENTZEN"
"2001"	"J.ALESI"
"2000"	"H.FRENTZEN"
"2000"	"J.TRULLI"
"1999"	"D.HILL"
"1999"	"H.FRENTZEN"
"1998"	"D.HILL"
"1998"	"R.SCHUMACHER"
"1997"	"R.SCHUMACHER"
"1997"	"G.FISICHELLA"
"1996"	"R.BARRICHELLO"
"1996"	"M.BRUNDLE"
"1995"	"R.BARRICHELLO"
"1995"	"E.IRVINE"
"1994"	"R.BARRICHELLO"
"1994"	"E.IRVINE"
"1994"	"A.SUZUKI"
"1994"	"A.De CESARIS"
"1993"	"R.BARRICHELLO"
"1993"	"E.IRVINE"
"1993"	"M.APICELLA"
"1993"	"E.NASPETTI"
"1993"	"I.CAPELLI"
"1993"	"T.BOUTSEN"
"1992"	"S.MODENA"
"1992"	"M.GUGELMIN"
"1991"	"A.ZANARDI"
"1991"	"M.SCHUMACHER"
"1991"	"B.GACHOT"
"1991"	"R.MORENO"
"1991"	"A.De CESARIS"
