"year"	"name"
"1960"	"J.THOMSON"
"1960"	"J.TURNER"
"1960"	"J.ROUNDS"
"1959"	"J.THOMSON"
"1959"	"L.SUTTON"
"1959"	"R.EASTON"
"1959"	"J.TOLAN"
"1958"	"R.WARD"
"1958"	"J.TURNER"
"1957"	"R.WARD"
"1957"	"G.HARTLEY"
"1956"	"J.REECE"
"1956"	"L.SUTTON"
"1956"	"D.RATHMANN"
"1956"	"B.CHEESBOURG"
"1955"	"G.TICHENOR"
"1954"	"H.BANKS"
"1954"	"B.CHRISTIE"
"1954"	"W.FAULKNER"
"1953"	"D.CARTER"
"1953"	"H.BANKS"
"1953"	"B.TAYLOR"
"1953"	"B.HOMEIER"
"1952"	"D.CARTER"
"1952"	"H.BANKS"
"1952"	"M.AYULO"
"1952"	"B.TAYLOR"
"1951"	"G.CONNOR"
"1951"	"M.AYULO"
"1951"	"J.BRYAN"
"1950"	"G.CONNOR"
"1950"	"T.RUTTMAN"
