"year"	"name"
"1996"	"O.PANIS"
"1996"	"P.DINIZ"
"1995"	"A.SUZUKI"
"1995"	"M.BRUNDLE"
"1995"	"O.PANIS"
"1994"	"F.LAGORCE"
"1994"	"E.BERNARD"
"1994"	"J.HERBERT"
"1994"	"O.PANIS"
"1993"	"M.BRUNDLE"
"1993"	"M.BLUNDELL"
"1992"	"T.BOUTSEN"
"1992"	"E.COMAS"
"1991"	"T.BOUTSEN"
"1991"	"E.COMAS"
"1990"	"N.LARINI"
"1990"	"P.ALLIOT"
"1989"	"R.ARNOUX"
"1989"	"O.GROUILLARD"
"1988"	"R.ARNOUX"
"1988"	"S.JOHANSSON"
"1987"	"R.ARNOUX"
"1987"	"P.GHINZANI"
"1986"	"R.ARNOUX"
"1986"	"P.ALLIOT"
"1986"	"J.LAFFITE"
"1985"	"P.STREIFF"
"1985"	"A.De CESARIS"
"1985"	"J.LAFFITE"
"1984"	"F.HESNAULT"
"1984"	"A.De CESARIS"
"1983"	"J.JARIER"
"1983"	"R.BOESEL"
"1982"	"E.CHEEVER"
"1982"	"J.LAFFITE"
"1981"	"P.TAMBAY"
"1981"	"J.JABOUILLE"
"1981"	"J.JARIER"
"1981"	"J.LAFFITE"
"1980"	"D.PIRONI"
"1980"	"J.LAFFITE"
"1979"	"P.DEPAILLER"
"1979"	"J.ICKX"
"1979"	"J.LAFFITE"
"1978"	"J.LAFFITE"
"1977"	"J.LAFFITE"
"1977"	"J.JARIER"
"1976"	"J.LAFFITE"
