"year"	"name"
"2015"	"R.GROSJEAN"
"2015"	"P.MALDONADO"
"2015"	"J.PALMER"
"2014"	"R.GROSJEAN"
"2014"	"P.MALDONADO"
"2014"	"C.PIC"
"2014"	"E.OCON"
"2013"	"H.KOVALAINEN"
"2013"	"K.RAIKKONEN"
"2013"	"R.GROSJEAN"
"2012"	"K.RAIKKONEN"
"2012"	"R.GROSJEAN"
"2012"	"J.d'AMBROSIO"
"2011"	"K.CHANDHOK"
"2011"	"H.KOVALAINEN"
"2011"	"D.VALSECCHI"
"2011"	"L.RAZIA"
"2011"	"J.TRULLI"
"2010"	"J.TRULLI"
"2010"	"F.FAUZY"
"2010"	"H.KOVALAINEN"
"1994"	"E.BERNARD"
"1994"	"P.LAMY"
"1994"	"M.SALO"
"1994"	"A.ZANARDI"
"1994"	"P.ADAMS"
"1994"	"J.HERBERT"
"1993"	"A.ZANARDI"
"1993"	"P.LAMY"
"1993"	"J.HERBERT"
"1992"	"M.HAKKINEN"
"1992"	"J.HERBERT"
"1991"	"M.HAKKINEN"
"1991"	"J.HERBERT"
"1991"	"M.BARTELS"
"1991"	"J.BAILEY"
"1990"	"D.WARWICK"
"1990"	"J.HERBERT"
"1990"	"M.DONNELLY"
"1989"	"N.PIQUET"
"1989"	"S.NAKAJIMA"
"1988"	"N.PIQUET"
"1988"	"S.NAKAJIMA"
"1987"	"S.NAKAJIMA"
"1987"	"A.SENNA"
"1986"	"J.DUMFRIES"
"1986"	"A.SENNA"
"1985"	"E.De ANGELIS"
"1985"	"A.SENNA"
"1984"	"E.De ANGELIS"
"1984"	"N.MANSELL"
"1983"	"E.De ANGELIS"
"1983"	"N.MANSELL"
"1982"	"E.De ANGELIS"
"1982"	"G.LEES"
"1982"	"R.MORENO"
"1982"	"N.MANSELL"
"1981"	"E.De ANGELIS"
"1981"	"N.MANSELL"
"1980"	"M.ANDRETTI"
"1980"	"E.De ANGELIS"
"1980"	"N.MANSELL"
"1979"	"M.ANDRETTI"
"1979"	"C.REUTEMANN"
"1979"	"H.REBAQUE"
"1978"	"M.ANDRETTI"
"1978"	"R.PETERSON"
"1978"	"H.REBAQUE"
"1978"	"J.JARIER"
"1977"	"M.ANDRETTI"
"1977"	"G.NILSSON"
"1976"	"R.PETERSON"
"1976"	"M.ANDRETTI"
"1976"	"B.EVANS"
"1976"	"G.NILSSON"
"1975"	"R.PETERSON"
"1975"	"B.HENTON"
"1975"	"J.WATSON"
"1975"	"J.CRAWFORD"
"1975"	"J.ICKX"
"1975"	"E.KEIZAN"
"1975"	"G.TUNMER"
"1974"	"R.PETERSON"
"1974"	"J.ICKX"
"1974"	"J.McNICOL"
"1974"	"I.SCHECKTER"
"1974"	"P.DRIVER"
"1974"	"T.SCHENKEN"
"1973"	"E.FITTIPALDI"
"1973"	"R.PETERSON"
"1973"	"D.CHARLTON"
"1972"	"E.FITTIPALDI"
"1972"	"D.WALKER"
"1972"	"R.WISELL"
"1972"	"T.TRIMMER"
"1972"	"D.CHARLTON"
"1971"	"E.FITTIPALDI"
"1971"	"D.CHARLTON"
