"year"	"name"
"1960"	"G.SCARLATTI"
"1960"	"O.CABALEN"
"1960"	"P.LLANO"
"1960"	"N.ESTEFANO"
"1960"	"A.CREUS"
"1960"	"G.MUNARON"
"1960"	"H.GOULD"
"1960"	"B.DRAKE"
"1960"	"E.CHIMERI"
"1960"	"J.GONZALEZ-POLA"
"1959"	"F.d'OREY"
"1959"	"R.LIGUORI"
"1959"	"E.CHIMERI"
"1959"	"P.CADE"
"1959"	"G.CABIANCA"
"1959"	"A.BAYARDO"
"1959"	"G.SCARLATTI"
"1959"	"C.GODIN de BEAUFORT"
"1959"	"A.TESTUT"
"1959"	"K.KAVANAGH"
"1958"	"J.FANGIO"
"1958"	"K.CAMPBELL"
"1958"	"F.GODIA-SALES"
"1958"	"J.BEHRA"
"1958"	"C.SHELBY"
"1958"	"G.GERINI"
"1958"	"C.MENDITEGUY"
"1958"	"H.SCHELL"
"1958"	"G.SCARLATTI"
"1958"	"J.BONNIER"
"1958"	"M.GREGORY"
"1958"	"H.GOULD"
"1958"	"T.RUTTMAN"
"1958"	"H.HERRMANN"
"1958"	"C.ALLISON"
"1958"	"G.CABIANCA"
"1958"	"W.SEIDEL"
"1958"	"M.De FILIPPIS"
"1958"	"M.TRINTIGNANT"
"1958"	"J.GONZALEZ"
"1958"	"R.MIERES"
"1958"	"K.KAVANAGH"
"1958"	"C.de OLIVEIRA"
"1958"	"L.PIOTTI"
"1958"	"P.HILL"
"1958"	"L.TARAMAZZO"
"1958"	"L.CHIRON"
"1958"	"A.TESTUT"
"1957"	"J.FANGIO"
"1957"	"M.GREGORY"
"1957"	"J.BEHRA"
"1957"	"H.SCHELL"
"1957"	"A.SIMON"
"1957"	"G.SCARLATTI"
"1957"	"S.MOSS"
"1957"	"C.MENDITEGUY"
"1957"	"F.GODIA-SALES"
"1957"	"L.PIOTTI"
"1957"	"H.GOULD"
"1957"	"B.HALFORD"
"1957"	"J.BONNIER"
"1957"	"H.HERRMANN"
"1957"	"O.VOLONTERIO"
"1957"	"I.BUEB"
